call,gota_call,club_name,section,transmitters,class,power_source,final_score,total_qsos,total_cw_qsos,total_digital_qsos,total_phone_qsos,power_multiplier,bonus_points,number_of_participants
K4HJ,NA,Stubblefield Rep Club / Shelby Cty,KY,4,4A,G,2146,309,229,0,80,2,10.7,32
K4HRS,NA,Harris - Intersil ARC,SFL,1,1A,G,1470,308,2,0,306,2,8.5,10
K4HY,NA,Owensboro ARC,KY,3,3A,G,3950,902,494,54,354,2,10.5,17
K4II,NA,Spartanburg ARC,SC,2,2AC,C,3316,924,709,0,215,2,0.5,35
K4JJ,NF4GA,No Fulton ARL,GA,3,3A,B,14610,4055,1995,60,2000,2,23.9,200
K4K,NA,Bankhead ARC,AL,2,2A,G,1846,491,100,12,379,2,6.4,10
K4KJP,NA,NA,AL,1,1B1B,B,750,70,70,0,0,5,0.5,1
K4KJQ,NA,Bluegrass ARS,KY,4,4A,G,1300,253,0,22,231,2,7.5,25
K4KNS,NA,ARC of Columbia Cty,GA,3,3A,G,1706,227,0,1,226,2,12.5,48
K4KSR,NA,NA,VA,1,1E,B,1350,100,100,0,0,5,3.5,1
K4LKL,K1DU,Lakeland ARC,WCF,4,4A,G,4062,933,301,2,630,2,15.9,30
K4LRA,NA,Lighthouse AR Alliance,SFL,4,4A,G,8120,2205,1196,54,955,2,12.1,13
K4LRG,K5NOB,Loudoun ARG,VA,4,4A,G,11840,3549,1726,0,1823,2,12.9,56
K4LY (+W4SFV),NA,NA,SC,2,2B2B,B,3375,288,287,0,1,5,5,2
K4M,KJ4MFW,Three Guys with Radios,AL,2,2AC,C,650,40,0,0,40,2,5.7,3
K4MN,WA4WHV,Cape Fear ARS,NC,2,2A,G,6480,1737,608,0,1129,2,17.9,20
K4MSU,W4GZ,Murray State Univ ARC,KY,3,3A,G,2366,358,71,69,218,2,13.7,35
K4NAB,KK4AMJ,North Augusta / Belvedere RC,SC,5,5A,G,8120,1996,1093,156,747,2,16.3,35
K4NCS,NA,Nat Comm Sys ARC,VA,1,1F,C,1172,305,206,0,99,2,1.5,2
K4NRC,NA,Bill Gremillion Mem RC,GA,4,4A,G,6274,1369,980,153,236,2,12.7,60
K4NVA,NQ4K,Sterling Park ARC,VA,3,3A,B,4768,1101,438,0,663,2,16.9,20
K4OAQ,NA,NA,VA,1,1E,G,2190,535,535,0,0,2,0.5,1
K4OO,NA,NA,NC,2,2A,B,6044,1565,872,0,693,2,11.7,10
K4PAR,NA,Piedmont ARES,GA,2,2A,G,958,129,0,0,129,2,7,15
K4PJ,NA,Oak Ridge ARC,TN,2,2AC,C,2170,463,297,0,166,2,6.5,30
K4PMH,NA,Page Valley ARC,VA,1,1A,G,3600,824,247,44,533,2,13.7,18
K4PP,NA,NA,AL,1,1B1B,B,510,41,41,0,0,5,1,1
K4PUA,NA,NA,AZ,1,1D,C,92,21,0,0,21,2,0.5,1
K4QPL,NA,NA,NC,1,1E,B,4250,400,400,0,0,5,2.5,1
K4RAE,NA,NA,TN,1,1B1,B,220,35,0,0,35,2,1.5,1
K4RAN,NA,Randolph Cty Em RC,AL,3,3A,G,2168,458,146,5,307,2,9.5,9
K4RC,AI4WU,Williamsburg Area ARC,VA,2,2A,B,7200,1991,835,29,1127,2,14.9,32
K4RCA,NA,NA,VA,1,1E,G,1770,760,0,0,760,2,2.5,1
K4RDU,NA,NA,VA,1,1D,C,788,346,332,10,4,1,1,1
K4RFT,N4MJ,Reelfoot ARC,TN,3,3A,G,5440,944,494,317,133,2,19.3,15
K4RSG,NA,NA,NC,1,1E,B,232,91,0,0,91,2,0.5,1
K4RTX,NA,NA,SC,2,2B2,B,650,50,50,0,0,2,4.5,2
K4RUM,NA,NA,SFL,1,1D,C,518,240,228,0,12,1,0.5,1
K4SV,NY4G,Greer ARC,SC,2,2A,G,7670,2140,1110,0,1030,2,11.7,25
K4TEP,NA,NA,AL,2,2D,C,388,89,0,55,34,2,1,2
K4TG,KY4LAW,Anderson RC,KY,3,3F,C,2718,NA,220,50,374,2,8.9,19
K4TLH,NA,Tallahassee ARS,NFL,3,3A,G,4576,1010,733,120,157,2,8.5,43
K4TN,KC4MMR,Brandon ARS,WCF,2,2A,G,2304,383,224,0,159,2,10.9,29
K4TRH,NA,NA,TN,1,1E,B,550,30,30,0,0,5,2.5,1
K4TS,NA,Rappahannock Valley  ARC,VA,5,5A,G,3428,1049,290,0,759,2,7.5,27
K4TSO,NA,NA,SC,1,1D,C,32,16,0,0,16,2,0,1
K4V,NA,Union Cty ARS,NC,3,3A,O,1940,405,15,75,315,2,9.5,15
K4VBM,NA,NA,GA,1,1D,C,166,58,0,0,58,2,0.5,1
K4VD,NA,Barred Owl RC,VA,2,2AB,B,2180,183,177,6,0,5,3.5,5
K4VMO,KT4BW,Cumberland Plateau ARC,TN,3,3A,G,4544,902,465,170,267,2,14.7,64
K4VRC,NA,The Villages ARC,NFL,1,1A,G,1540,795,295,0,500,1,4.5,25
K4W,W4HEM,Highlands Cty ARC,WCF,4,4F,B,3170,443,305,92,46,2,14.9,23
K4WAK,K4GKJ,Sportsman's Paradise  ARC,NFL,3,3A,G,2100,354,254,57,43,2,7.7,10
K4WC,W4GHV,Cabarrus ARS,NC,3,3A,G,3528,820,358,1,461,2,11.7,43
K4WLG,NA,NA,KY,1,1D,C,50,25,0,0,25,2,0,1
K4WO,NA,Albermarle ARS,NC,2,2A,G,1700,241,0,34,207,2,11.5,20
K4WOC,NA,Cherokee Capital ARS,GA,4,4A,G,1784,183,60,24,99,2,12.5,30
K4WW,NA,NA,KY,1,1E,G,2050,550,440,10,100,2,0.5,1
K4XY,K4HTA,Vienna Wireless,VA,4,4A,G,7010,1531,1022,77,432,2,17.5,100
K4Y,NA,River Cities ARA,KY,2,2A,G,858,53,0,1,52,2,7.5,15
K4YTZ,KK4ONT,York Cty ARS,SC,3,3A,B,3820,669,400,116,153,2,14.5,12
K4YYL,NA,NA,SC,1,1D,C,119,61,58,0,3,1,0,1
K5BAY,NA,Baytown Area ARC,STX,2,2A,G,1030,77,0,63,14,2,7.5,12
K5BS,NA,Tidelands ARS,STX,3,3A,B,1322,152,34,0,118,2,9.5,8
K5BWD,NA,Brownwood ARC,NTX,3,3A,G,1746,165,77,46,42,2,11.7,17
K5CAO,NA,NA,SV,1,1B1B,B,1640,149,149,0,0,5,1.5,1
K5CCG,NA,NA,WTX,1,1B1,G,258,73,0,6,67,2,1,1
K5CCL,NA,Cedar Creek ARC,NTX,1,1A,G,710,105,0,0,105,2,5,28
K5CM,NJ8Q,Muskogee ARC,OK,2,2A,G,10234,2528,2079,25,424,2,9.7,13
K5COW,KF5SNL,Cowtown ARC,NTX,4,4A,G,3714,704,358,0,346,2,15.9,35
K5CRA,NA,Cove Repeater Assn,NTX,5,5A,G,1548,194,0,0,194,2,11.6,33
K5EOK,AF5DI,Edmond ARS,OK,3,3A,G,4462,1044,520,32,492,2,12.7,49
K5FD,W5JSR,Big Bend ARC,WTX,2,2A,G,9674,2723,1369,45,1309,2,14,21
K5GCC,NA,Grayson Cty  ARC,NTX,3,3A,G,1558,260,180,64,16,2,5.5,20
K5GDX,NA,NA,MS,5,5E,G,5892,1407,821,193,393,2,10.5,18
K5GJ,NA,NA,STX,1,1D,C,692,180,141,0,39,2,0.5,2
K5GVL,NA,Sabine Valley ARA,NTX,1,1AC,C,162,81,0,0,81,2,0,10
K5HLA,NA,Highland Lakes ARC,STX,2,2AC,C,382,12,1,3,8,2,3.5,18
K5HOU,NA,Clear Lake ARC,STX,5,5A,G,1178,41,0,23,18,2,10.5,6
K5LET,NA,Longview East TX ARC,NTX,3,3F,C,1008,195,110,74,11,2,2.5,9
K5LRK,KC0L,Lake Area ARK,NTX,4,4A,G,1834,436,0,46,390,2,8.7,15
K5MDX,NA,NA,MS,2,2A,G,1470,251,0,9,242,2,9.5,15
K5MKS,NA,NA,NTX,1,1E,B,202,26,0,0,26,2,1.5,1
K5MNY,NA,ARC of Sabine,LA,5,5F,C,300,50,0,0,50,2,2,10
K5MUG,NA,NA,STX,1,1E,B,1160,111,111,0,0,5,0.5,1
K5NE,NA,Benton ARS,AR,1,1A,G,3012,839,4,38,797,2,12.5,12
K5NEA,NA,NorthEast Arkansas RC,AR,3,3AC,C,978,111,3,0,108,2,7.5,25
K5NRH,W5HP,North Richland Hills ARC,NTX,4,4A,O,2456,356,57,60,239,2,15.1,18
K5NZ,NA,NA,MO,1,1C,G,154,1,1,0,0,2,1.5,2
K5OUR,NA,NA,NM,2,2A,B,2350,432,198,0,234,2,10.9,54
K5PDC,NA,NA,NE,1,1B1,B,168,9,0,0,9,2,1.5,1
K5PLD,NA,Pearland ARC,STX,2,2A,G,1022,136,0,0,136,2,7.5,25
K5PN,NA,LARC/HARC,MS,1,1A,G,2432,641,0,0,641,2,11.5,21
K5PRK,K5F,Plano AR Klub,NTX,5,5A,G,3408,729,184,16,529,2,15.5,105
K5PX,NA,Boomer CC,OK,1,1A,G,5882,1408,1408,0,0,2,2.5,6
K5PXP,KB5FLA,Arkansas River Valley AR Foundation,AR,3,3A,G,6604,1552,1037,138,377,2,11.5,20
K5QHD,KO8V,Garland ARC,NTX,2,2A,G,2908,588,237,24,327,2,12.1,80
K5R,NA,Rusk Cty ARC,NTX,2,2F,G,1572,475,0,6,469,2,6.1,9
K5RA,NA,Murphy's Law FD Group,NTX,1,1A,G,5768,1388,971,0,417,2,10.5,10
K5RDT,NA,Red Daemon Contest Team,STX,5,5A,G,1960,470,70,115,285,2,6.5,7
K5RWK,KG5MKQ,Richardson Wireless Klub,NTX,2,2A,G,2666,739,100,69,570,2,8.5,52
K5S,NA,Sachse ARA,NTX,3,3A,G,1812,326,0,0,326,2,11.6,35
K5SAG,NA,Saginaw ARC,NTX,3,3A,G,560,5,0,0,5,2,5.5,8
K5SLD,N5ACK,Arlington ARC,NTX,2,2A,G,1944,300,0,97,203,2,11.5,50
K5SP,NA,NA,NTX,1,1D,C,138,22,0,22,0,2,0.5,1
K5SS,NA,NA,NTX,1,1D,C,378,82,82,0,0,2,0.5,1
K5TA,NA,NA,MN,1,1B2,B,750,125,125,0,0,2,2.5,2
K5TLE,NA,NA,AR,1,1D,C,78,14,0,0,14,2,0.5,1
K5TQ,NA,NA,NM,3,3E,G,9624,2374,2163,0,211,2,5.5,5
K5TSK,NA,NA,AR,1,1D,C,1074,268,244,0,24,2,0.5,1
K5TXM,NA,NA,WTX,1,1C,G,232,34,0,32,2,2,1,1
K5TYR,NA,Tyler  ARC,NTX,5,5A,G,5152,1586,305,10,1271,2,13.5,50
K5UZ,K5BRC,Batesville ARC/Brock Mtn CG,AR,2,2A,B,15898,4811,1578,570,2663,2,19.8,22
K5VV,NA,NA,LA,1,1E,B,534,142,0,0,142,2,2.5,1
K5VX,NA,NA,NTX,2,2B2C,C,394,79,0,43,36,2,1.5,2
K5WI,NA,NA,NTX,1,1B1B,B,1150,80,80,0,0,5,3.5,1
K5WNH,NA,NA,NTX,1,1B1B,B,4040,379,379,0,0,5,2.5,1
K5WPH,NA,NA,WTX,3,3E,G,3710,1228,152,0,1076,2,9.5,40
K5WWT,NA,NA,STX,1,1D,C,23,15,0,8,7,1,0,1
K6AA,NA,United Radio Amateur Club,LAX,3,3A,G,5910,1354,1001,0,353,2,12,21
K6AGF,AG6YS,Tri-County ARA,LAX,1,1A,G,418,139,0,0,139,2,1.4,8
K6AJA,NA,NA,SDG,1,1E,G,1002,224,102,0,122,2,3.5,1
K6ATO,NA,NA,LAX,1,1C,G,58,4,0,0,4,2,0.5,1
K6BB,NA,Big Bear ARC,ORG,7,7A,G,1522,248,7,81,160,2,8.5,20
K6CAW,NA,NA,LAX,3,3E,B,438,190,0,4,186,2,0.5,3
K6CCR,KF7EE,CCARES,LAX,2,2F,G,1450,379,1,150,228,2,3.9,30
K6CME,NA,Fresno Emcomm Satern,SJV,2,2F,G,1304,435,0,42,393,2,3.5,6
K6CSL,NA,NA,SJV,1,1D,C,466,104,104,0,0,2,0.5,1
K6DY,NA,NA,ORG,1,1E,B,105,5,0,0,5,1,1,1
K6EI,W6ZZZ,West Valley AR Assn,SCV,12,12AB,B,19245,2007,1197,155,655,5,24.5,22
K6F,NA,NA,SJV,2,2E,G,1796,410,300,13,97,2,3.5,2
K6HS,NA,High Sierra FD Group,SV,3,3A,G,2424,785,2,0,783,2,8.5,8
K6III,NA,NA,SV,1,1D,C,116,18,15,0,3,2,0.5,1
K6IS,NA,North Hills RC,SV,3,3A,G,678,164,0,0,164,2,3.5,8
K6KP,NA,Cupertino AR Em Serv,SCV,2,2F,B,762,45,0,11,34,2,6.5,43
K6KQV,NA,NA,SCV,1,1D,C,1200,294,254,27,13,2,0.5,1
K6KS,NA,NA,SV,1,1B1,G,556,103,0,0,103,2,3.5,1
K6LDF,WR9P,NA,ORG,3,3A,B,1746,136,2,0,134,2,14.7,41
K6LI,NA,North Bay ARA,EB,6,6A,G,2686,402,254,12,136,2,13.5,50
K6LL,NA,NA,AZ,1,1E,G,7566,2046,1662,0,384,2,1.5,2
K6LMR,NA,NA,SDG,1,1B1,B,74,12,0,0,12,2,0.5,1
K6LRN,NA,NA,SV,1,1D,C,450,100,100,0,0,2,0.5,1
K6LY,K6NPS,Naval Postgraduate School ARC,SCV,3,3A,B,5512,1480,471,110,899,2,13.9,20
K6MA,NA,Los Angeles ARES NW Dist,LAX,2,2A,G,2116,292,81,0,211,2,13.7,24
K6MAN,NA,Manteca ARC,SJV,3,3F,C,488,219,0,0,219,2,0.5,12
K6MCS,NA,NA,SV,1,1E,B,86,18,0,0,18,2,0.5,1
K6MEP,NA,NA,SB,8,8A,G,2554,380,19,103,258,2,15.5,15
K6MI,NA,Chew's Ridge Gang,SCV,1,1AB,B,5955,567,398,0,169,5,11.3,8
K6MMM,N6OTA,San Lorenzo Valley ARC/Santa Cruz Cty ARC,SCV,3,3A,G,5738,1272,819,38,415,2,14.8,91
K6ORI,NA,Lamorinda Area Radio Interest Group,EB,3,3A,G,1238,91,0,3,88,2,10.5,15
K6OTT,NA,NA,SCV,1,1E,B,160,5,0,0,5,2,1.5,1
K6OX,K6A,Antelope Valley ARC,LAX,2,2A,G,1870,312,88,0,224,2,10.7,50
K6P,NA,NA,SDG,2,2A,B,1182,192,124,0,68,2,5.5,5
K6PDQ,NA,NA,SB,1,1B1,B,494,72,0,0,72,2,3.5,1
K6PV,NA,Palos Verdes ARC,LAX,2,2A,O,4742,1165,931,0,234,2,5.5,29
K6QLF,NA,NA,EB,3,3AB,B,1410,41,31,0,10,5,10.5,8
K6QWR,KJ6MYV,Victor Valley ARC,ORG,3,3A,G,1112,81,0,0,81,2,9.5,33
K6RB,NA,NA,SCV,1,1E,G,1272,511,511,0,0,1,2.5,1
K6RCR,NA,Auxilliary Comm Serv,ORG,2,2A,G,1076,113,0,0,113,2,8.5,20
K6RIA,NA,Rialto ARC,ORG,1,1AC,C,234,37,30,0,7,2,1,10
K6SB,NA,Z Family Radio Adventure FD Team,SJV,1,1A,B,702,145,106,0,39,2,2,3
K6SEE,NA,Lakeside ARC,SDG,5,5F,B,1960,529,0,76,453,2,7.5,33
K6SOA,K6WO,South Orange ARA,ORG,3,3A,G,4912,1060,528,88,444,2,15.6,81
K6SON,W6SON,Sonoma Cty Radio Amateurs,SF,3,3A,O,2230,311,149,0,162,2,13.1,60
K6T,WA6YBN,Sierra ARC,SJV,4,4A,G,1828,271,93,5,173,2,10.9,17
K6TI,W6DRT,Topanga Disaster Radio Team,LAX,4,4A,B,4074,766,532,4,230,2,14.7,40
K6TUO,NA,TCARES,SJV,5,5A,G,1408,174,55,0,119,2,9.5,20
K6TY,NA,NA,SJV,1,1B2,B,1122,199,187,0,12,2,3.5,2
K6UF,NA,NA,SCV,1,1E,B,658,161,139,4,18,2,0.5,1
K6VN,NA,NA,LAX,1,1D,C,88,19,0,0,19,2,0.5,1
K6WRU,NA,NA,SCV,1,1D,C,72,11,0,0,11,2,0.5,1
K6YA,W6VYC,Foothills ARS,SCV,3,3A,G,4090,1296,379,25,892,2,6.9,25
K6YK/M,NA,NA,SV,1,1C,G,298,68,6,0,62,2,1.5,1
K7AGE,NA,NA,OR,1,1B1,B,320,35,0,0,35,2,2.5,1
K7AM,NA,NA,OR,2,2B2,G,438,119,0,0,119,2,2,2
K7AWA,NA,NA,AZ,2,2B2B,B,1530,132,100,24,8,5,2.5,2
K7BPH,NA,Brush Prairie Hams,WWA,3,3A,G,1252,225,7,49,169,2,6.9,21
K7BSK,NA,Skyline RC,UT,1,1A,G,380,95,0,0,95,2,1.9,8
K7CCH,NA,NA,OR,4,4A,G,2568,488,233,38,217,2,10.5,82
K7CEM,NA,Centralia ARES/Lewis Cty ARES/Chehalis Valley ARA,WWA,4,4F,G,1410,244,76,10,158,2,7.5,27
K7CST,NA,Kent Comm Support Team,WWA,2,2A,G,1030,139,0,1,138,2,7.5,4
K7CWA,NA,NA,AZ,1,1C,G,172,36,0,0,36,2,1,1
K7DAA,W6KRK,Morgan Hill ARS/Garlic Valley ARC / San Benito ARA,SCV,4,4A,B,1626,200,30,8,162,2,11.5,24
K7DAV,N7CN,Davis ARC,UT,3,3A,G,5204,1265,328,124,813,2,17.7,54
K7DBN,NA,NA,UT,1,1E,B,112,31,0,0,31,2,0.5,1
K7DLX,NA,NA,UT,2,2D,C,348,149,0,0,149,2,0.5,2
K7DNH,NA,NA,NV,1,1B1,B,304,77,0,0,77,2,1.5,1
K7E,NA,NA,MT,1,1B1,G,1068,189,120,0,69,2,4.5,1
K7EAR,NA,Eastern Arizona ARS,AZ,2,2A,G,2690,492,391,17,84,2,8.9,22
K7EKO,NA,NA,WY,1,1D,C,174,62,0,0,62,2,0.5,1
K7EW,NA,NA,OR,1,1B1B,B,990,74,74,0,0,5,2.5,1
K7FA,NA,NA,AZ,1,1D,C,1822,443,443,0,0,2,0.5,1
K7FDF,NA,Renton Em Comm Serv,WWA,2,2A,B,1070,110,0,0,110,2,8.5,19
K7G,NA,Yellowstone RC,MT,3,3A,G,1676,216,0,47,169,2,11.5,38
K7GGG,NA,NA,AZ,1,1B2,B,2742,748,348,0,400,2,5.5,2
K7GO,NA,NA,MT,1,1E,B,3120,277,277,0,0,5,3.5,1
K7HON,NA,Honeywell - Glendale ARC,AZ,3,3A,B,1526,453,0,35,418,2,5.5,10
K7HP,NA,NA,AZ,1,1D,C,108,54,54,0,0,1,0,1
K7IA,NA,NA,NM,1,1E,B,1538,297,297,0,0,2,3.5,1
K7ID,NA,Kootenai ARS,ID,3,3AC,C,1336,234,159,0,75,2,5.5,34
K7JEO,NA,NA,UT,1,1B1,B,1258,454,0,0,454,2,3.5,1
K7JKM,NA,NA,OR,1,1D,C,74,37,0,0,37,2,0,1
K7JQ,NA,NA,AZ,1,1D,C,220,58,52,0,6,2,0,1
K7KHC,NA,NA,MT,1,1B1,G,998,307,142,0,165,2,1,1
K7KVH,NA,NA,WY,1,1D,C,148,49,0,0,49,2,0.5,1
K7LED,AE7G,Mike & Key ARC,WWA,6,6A,G,13816,4004,1743,46,2215,2,22.3,55
K7LHC,NA,London Bridge ARA,AZ,2,2F,C,1400,222,23,180,19,2,5.5,12
K7LRB,NA,NA,AZ,1,1E,B,2750,260,260,0,0,5,1.5,1
K7LYY,NA,Flathead ARC,MT,2,2A,G,1264,229,128,0,101,2,5.5,12
K7M,N6WN,Rogue Valley  ARC,OR,3,3A,G,5522,1493,615,78,800,2,11.5,39
K7MAR,KI7ESW,ARES Marion Cty,OR,3,3F,B,1900,195,4,36,155,2,14.3,26
K7MPR,NA,Mohave ARC,AZ,4,4A,G,3408,995,138,46,811,2,10.5,15
K7MS,NA,Sierra Hams,SV,3,3A,G,1310,418,12,0,406,2,4.5,5
K7MVA,NA,Magic Valley ARC,ID,3,3A,G,2232,424,267,0,157,2,8.5,24
K7NM,NA,NA,UT,1,1E,G,576,211,52,0,159,2,0.5,1
K7NTW,NA,The Chuck-A-Nuts,WWA,3,3A,G,1634,321,314,7,0,2,3.5,3
K7NWS,NA,Boeing Employees ARS,WWA,2,2F,G,732,141,0,0,141,2,4.5,12
K7PPM,NA,NA,SV,1,1E,B,108,4,0,0,4,2,1,1
K7RDG,N7AUX,Cochise ARA,AZ,3,3A,O,5088,966,742,71,153,2,15.3,30
K7REM,NA,City Of Redmond ARES,WWA,4,4A,G,2130,327,0,133,194,2,12.1,15
K7RF,NA,NA,OR,1,1B2,G,1470,415,245,0,170,2,1.5,2
K7RFW,NA,NA,UT,1,1E,B,444,63,0,34,29,2,2.5,1
K7RJ,NA,NA,AZ,1,1D,C,96,18,5,0,13,2,0.5,1
K7RK,NA,NA,EWA,2,2A,B,596,69,54,0,15,2,3.5,4
K7RQN,NA,NA,AZ,1,1E,G,256,74,0,4,70,2,1,1
K7RTM,NA,Read The Manual,AZ,1,1A,B,678,264,25,0,239,2,1,4
K7SEL,NA,Schweitzer Engineering Laboratories ARC,EWA,3,3A,B,1572,272,185,54,33,2,5.5,7
K7SI,NA,Snake River ARC,ID,5,5AB,B,1800,103,42,15,46,5,10,6
K7SKE,NA,NA,ID,1,1E,O,322,36,0,0,36,2,2.5,1
K7SVX,NA,4x4 Hams,ID,1,1A,G,444,147,0,0,147,2,1.5,3
K7T,W7AI,Oro Valley ARC,AZ,3,3F,G,5924,1325,1019,128,178,2,9.8,56
K7TR,NA,NA,AZ,1,1D,C,378,103,86,0,17,2,0,1
K7UAZ,NA,K7UAZ ARC,AZ,3,3AC,C,304,48,10,19,19,2,1.5,13
K7UVA,K7GSL,Utah Valley ARC,UT,3,3A,G,4032,1305,5,161,1139,2,10.9,70
K7VBY,NA,NA,OR,1,1D,C,66,5,0,3,2,2,0.5,1
K7YJ,NA,NA,AZ,1,1D,C,4,2,0,0,2,2,0,1
K7Z,N0KZO,Rochester ARC,MN,2,2A,G,4788,1216,469,14,733,2,13.9,26
K7ZI,NA,NA,UT,1,1B1,B,412,53,53,0,0,2,2,1
K7ZYV,NA,NA,MS,1,1D,C,182,33,33,0,0,2,0.5,1
K8AJS,NA,NA,OH,2,2E,G,4312,1087,843,1,243,2,4.5,7
K8BF,NA,Portage Cty AR Serv,OH,4,4A,G,10632,3393,1077,21,2295,2,16.5,72
K8BMI,NA,Barry ARA,MI,8,8A,G,2460,445,7,3,435,2,15.5,24
K8BTU,NA,NA,OH,2,2B2,G,7246,1749,1749,0,0,2,2.5,2
K8BXQ,NA,Fulton Cty ARC,OH,7,7A,G,3324,686,126,175,385,2,13.5,10
K8CAD,NA,Wexaukee ARC,MI,2,2A,G,962,133,63,0,70,2,5.7,22
K8CPA,NA,NA,MI,1,1D,C,266,54,54,0,0,2,0.5,1
K8CY,K8EST,Ashtabula Cty ARC,OH,3,3A,G,3890,1041,56,63,922,2,15.7,17
K8DAC,KD8KDP,Saginaw Valley ARA,MI,5,5A,G,1940,258,100,37,121,2,11.5,20
K8DF,K8TPH,Stonewall Jackson ARA,WV,4,4A,G,5490,1404,577,59,768,2,14.1,20
K8DTX,NA,MICON-DTX,MI,3,3F,G,2420,524,278,133,113,2,5.5,6
K8EEN,NA,Mt Vernon ARC,OH,4,4A,G,6576,1795,767,51,977,2,13.5,22
K8EG,NA,NA,OH,1,1B1,B,750,147,103,0,44,2,2.5,1
K8EMA,NA,Shelby Cty ARES,OH,2,2F,C,1848,378,0,21,357,2,10.5,15
K8EP,NA,Eastern Panhandle ARC,WV,2,2A,G,4236,1385,208,0,1177,2,10.5,29
K8EPY,NA,Eastern MI ARC,MI,2,2A,G,904,204,48,0,156,2,4,16
K8ES,W8JK,Delaware AR Assn,OH,4,4A,G,13484,3802,1978,17,1807,2,18.9,64
K8ESQ,NA,The FPL Group,MI,3,3A,G,2350,579,167,154,258,2,5.5,4
K8GC,NA,Garden City ARC,MI,5,5A,G,2410,314,11,75,228,2,16.1,34
K8GE,NA,DeForest ARC,OH,2,2A,G,1186,187,106,0,81,2,6,12
K8GQB,KE8ATZ,Lisbon Area ARA,OH,3,3F,C,1418,232,66,16,150,2,7.9,18
K8HRC,NA,NA,MI,3,3AC,C,756,160,0,23,137,2,3.9,19
K8KSM,NA,NA,OH,1,1E,G,518,67,67,0,0,2,2.5,1
K8LBH,NA,Zoo Crew 147.120 Repeater Group,NFL,1,1A,G,260,210,0,0,210,1,0.5,10
K8LGN,NA,Hocking Valley ARC,OH,2,2F,G,630,90,0,0,90,2,4.5,20
K8LL,NA,NA,OH,1,1C,G,52,1,0,0,1,2,0.5,1
K8MU,NA,NA,MI,1,1B2C,C,1820,656,229,0,427,2,0.5,2
K8MZ,NA,The Three Amigos,OH,1,1A,G,1826,412,301,0,111,2,4,3
K8NOW,NA,Metropolitan ARC,MI,3,3A,G,1024,243,0,44,199,2,4.5,5
K8NQW,AA8BV,Not Quite Workable Contest Club,OH,2,2A,G,2830,749,516,0,233,2,3,4
K8PA,NA,Thunder Bay ARC,MI,3,3A,G,1406,246,32,0,214,2,8.5,22
K8PI,W8BLV,Dial RC,OH,3,3A,G,6802,1872,894,0,978,2,12.7,26
K8PL,NA,Delta Cty ARA,MI,3,3A,G,1054,131,0,21,110,2,7.5,10
K8QIK,KE8AFP,Lancaster & Fairfield Cty ARC,OH,5,5A,G,1698,399,0,130,269,2,6.4,12
K8RJW,NA,NA,OH,2,2B2C,C,382,116,0,0,116,2,1.5,2
K8SCH,N8YC,Oh-Ky-In ARS,OH,3,3A,G,6930,1796,696,148,952,2,16.5,30
K8TKA,NA,"20/9 Radio Club, Inc.",OH,5,5A,G,4066,665,571,22,72,2,15.5,55
K8UNS,K8UTT,Livonia ARC / Ford AR League,MI,4,4A,G,7582,2305,740,71,1494,2,13.5,65
K8UO,NA,Utica Shelby Em Comm Assn,MI,11,11AB,B,8580,822,479,37,306,5,18.9,56
K8UU,NA,Drake ARC,OH,3,3AC,C,2260,692,0,313,379,2,2.5,7
K8WQK,NA,NA,MI,1,1D,C,56,3,0,0,3,2,0.5,1
K8WRD,NA,NA,MI,1,1D,C,49,39,10,0,29,1,0,1
K8YR,NA,Preble ARA,OH,2,2F,C,3098,890,334,0,556,2,6.5,13
K8ZT,NA,NA,OH,2,2B1B,B,2675,252,232,1,19,5,2.5,1
K9ARR,NA,NA,NFL,1,1A,B,152,1,0,0,1,2,1.5,3
K9AVE,NA,Illinois Valley RA,IL,1,1A,G,1904,419,283,0,136,2,5,4
K9BAR,NA,Bolingbrook ARS,IL,3,3A,G,1258,271,0,13,258,2,6.9,9
K9BY,NA,Greater Beloit ARC,WI,3,3A,G,3272,815,380,16,419,2,8.5,15
K9CEW,NA,NA,IL,1,1C,G,384,36,2,29,5,2,2.5,1
K9CFH,NA,Piatt Ham RC,IL,2,2A,G,918,134,0,0,134,2,6.5,6
K9CU,NA,Twin City ARC,IL,4,4A,C,2090,NA,249,0,172,2,7.5,30
K9DIY,K9SOU,Bloomington ARC,IN,4,4A,G,3834,691,339,122,230,2,15.3,69
K9EAM,NA,Green Bay Mike & Key Club,WI,2,2A,B,940,143,0,2,141,2,6.5,33
K9EGS,NA,NA,IL,3,3A,B,794,21,0,1,20,2,7.5,3
K9ESV,NA,McHenry Cty RACES/ARES,IL,3,3F,G,5324,1114,967,6,141,2,11.5,15
K9FOH,NA,NA,IN,1,1B1B,B,1930,148,148,0,0,5,4.5,1
K9GDF,NA,NA,WI,1,1D,C,766,179,179,0,0,2,0.5,1
K9GWS,NA,NA,IL,1,1D,C,63,63,0,0,63,1,0,1
K9GXU,NA,PRIME/ST. Clair ARC,IL,2,2A,B,850,157,43,0,114,2,4.5,4
K9HAM,NA,Lewis and Clark RC,IL,4,4A,B,1614,204,78,0,126,2,10.5,26
K9HC,NA,Huntington Cty ARS,IN,2,2A,G,1100,250,0,0,250,2,6,13
K9HD,NA,Land of Lakes ARC,IN,2,2A,G,1470,257,106,47,104,2,6.5,12
