call,gota_call,final_score,class,section,power_multiplier,club_name,number_of_participants,transmitters,power_source,total_cw_qsos,total_digital_qsos,total_phone_qsos,total_qsos,bonus_points,checklog_y_n,x17
K9WWT,NA,3134,1D,IN,2,NA,1,1,C,746,0,0,746,150,NA,NA
K9XE,NA,90,1D,IL,2,NA,1,1,C,10,0,0,10,50,NA,NA
K9ZA,NA,3862,1A,IL,2,Federation of AR Ops,3,1,G,708,0,140,848,750,NA,NA
K9ZLQ,NA,134,1D,IN,2,Marshall Co. ARC,6,1,C,0,0,32,32,70,NA,NA
KÃ˜LOA,NA,266,1D,NTX,2,Richardson Wireless Klub,1,1,C,54,0,0,54,50,NA,NA
KA0B,NA,92,1D,NM,2,NA,1,1,C,0,0,21,21,50,NA,NA
KA0CSW,NA,534,1D,MN,2,Minnesota Wireless Assn.,1,1,C,121,0,0,121,50,NA,NA
KA0DOS,NA,124,1D,IA,2,Des Moines Radio Amateurs Assn.,1,1,C,0,0,37,37,50,NA,NA
KA0HMQ,NA,154,1D,MO,2,NA,1,1,C,0,26,0,26,50,NA,NA
KA0YJE,NA,386,1D,MO,2,Heart of America RC,1,1,C,42,42,0,84,50,NA,NA
KA1BZE,NA,332,1D,WMA,2,3730 Grp.,1,1,C,0,0,141,141,50,NA,NA
KA1GG (+N1NTM),N1NTM,4495,5F,EMA,2,Pilgrim Amateur Wireless Assn.,20,5,C,151,322,954,1427,695,NA,NA
KA1LHJ,NA,296,1D,CT,2,NA,1,1,C,49,0,0,49,100,NA,NA
KA1O,NA,2440,1E,NH,5,NA,1,1,B,229,0,0,229,150,NA,NA
KA1PPV,NA,150,1D,CT,2,NA,1,1,C,0,25,0,25,50,NA,NA
KA1RWY,NA,52,1D,CT,2,NA,1,1,C,0,0,1,1,50,NA,NA
KA2BEO,NA,740,1B1B,SNJ,5,NA,1,1,B,54,0,0,54,200,NA,NA
KA2BXH,NA,280,1E,SNJ,2,David Sarnoff ARC,1,1,G,0,0,15,15,250,NA,NA
KA2ENE,NA,814,1D,WNY,2,NA,1,1,C,6,157,56,219,50,NA,NA
KA2FHN,NA,386,1E,WNY,2,NA,1,1,B,0,3,62,65,250,NA,NA
KA2FIR,NA,612,1E,NNJ,2,NA,1,1,B,71,0,89,160,150,NA,NA
KA2IWK,NA,238,1D,WNY,2,NA,1,1,C,22,0,0,22,150,NA,NA
KA2JAI,NA,690,1D,MDC,2,Team Montrose,1,1,C,0,135,0,135,150,NA,NA
KA2MGE,NA,1910,1D,WNY,2,Niagara Frontier Radiosport,1,1,C,213,252,0,465,50,NA,NA
KA2OEE,NA,374,1B1,AR,2,NA,1,1,G,0,0,112,112,150,NA,NA
KA2VZX,NA,0,1D,NLI,0,NA,1,1,C,0,0,46,46,0,Y,NA
KA3E,NA,698,1D,EPA,2,NA,1,1,C,0,162,0,162,50,NA,NA
KA3HFS,NA,440,1E,SV,5,NA,1,1,B,0,19,0,19,250,NA,NA
KA3KSP,NA,198,1C,WPA,2,NA,1,1,G,0,0,24,24,150,NA,NA
KA3PMW,NA,858,1D,WPA,2,NA,1,1,C,0,202,0,202,50,NA,NA
KA3TTT,NA,1085,1E,EPA,5,Phil-Mont Mobile RC,1,1,B,62,0,3,65,450,NA,NA
KA3UFV,NA,180,1AB,CO,5,NA,3,1,B,0,0,6,6,150,NA,NA
KA3VEB,NA,62,1D,WPA,2,Monessen ARC,1,1,C,0,0,6,6,50,NA,NA
KA3YJM,NA,88,1E,MDC,2,Northeast MD AR Contest Soc.,1,1,B,0,0,19,19,50,NA,NA
KA4EPB,NA,450,1B1B,NM,5,Echelon ARC,1,1,B,1,9,0,10,350,NA,NA
KA4J,NA,4788,5E,TN,2,Cleveland ARC,76,5,G,381,300,252,933,1560,NA,NA
KA4JAM,NA,732,1D,NC,2,NA,1,1,C,126,35,9,170,70,NA,NA
KA4JRY,NA,244,1D,GA,2,NA,1,1,C,0,0,97,97,50,NA,NA
KA4ZZZ,NA,1208,2E,GA,2,NA,1,2,B,0,209,11,220,350,NA,NA
KA5B,NA,402,2AC,NM,2,Eastern NM ARC,15,2,C,12,0,152,164,50,NA,NA
KA5CJJ,NA,7650,3AB,NTX,5,NE TX QRP Contest Fed.,3,3,B,222,508,0,730,350,NA,NA
KA5CRL,NA,128,1A,MI,2,NA,3,1,B,9,0,21,30,50,NA,NA
KA5D,NA,7130,1AB,STX,5,South Texas Rovers,4,1,B,242,332,88,662,950,NA,NA
KA5FDX,NA,90,1D,AR,2,NA,2,1,C,0,10,0,10,50,NA,NA
KA5HSL,NA,856,1E,LA,2,Bayouland Em. ARS,1,1,G,0,78,97,175,350,NA,NA
KA5LMZ,NA,296,1E,LA,2,Bayouland Em. ARS,1,1,G,0,0,23,23,250,NA,NA
KA5M,NA,1450,1E,LA,2,CW Operators' Club,1,1,G,325,0,0,325,150,NA,NA
KA5RBZ,NA,350,1D,NTX,2,McKinney ARC,1,1,C,0,75,0,75,50,NA,NA
KA5ULE,NA,306,1D,WTX,2,NA,2,1,C,0,0,128,128,50,NA,NA
KA6BJR,NA,234,1B1,SB,2,NA,1,1,B,0,0,42,42,150,NA,NA
KA6BMZ,NA,290,1D,ORG,2,NA,1,1,C,0,0,120,120,50,NA,NA
KA6HUM,NA,54,1D,SF,2,NA,1,1,C,0,0,2,2,50,NA,NA
KA6JLT,NA,280,1E,NV,5,NA,1,1,B,13,0,0,13,150,NA,NA
KA6OES,NA,304,2F,SF,2,Humboldt Co. AUXCOMM Team,5,2,C,0,0,27,27,250,NA,NA
KA6UAI,NA,84,1D,SV,2,Sierra Foothills ARC,1,1,C,0,0,17,17,50,NA,NA
KA6ZTO,NA,86,1D,ORG,2,South Bay ARC,1,1,C,0,5,8,13,50,NA,NA
KA7EYX,NA,730,1A,ID,2,Bonner Co. ARC,4,1,G,123,0,44,167,150,NA,NA
KA7QJN,NA,0,1D,UT,0,NA,1,1,C,0,112,0,112,0,Y,NA
KA7RRA,NA,280,1D,WWA,2,Snohomish Co. Hams Club,1,1,C,0,0,115,115,50,NA,NA
KA8HOK,NA,2580,1E,AL,2,NA,1,1,B,495,0,125,620,350,NA,NA
KA8JBK,NA,1930,1D,MI,2,NA,1,1,C,470,0,0,470,50,NA,NA
KA8MNT,NA,442,1D,OH,2,Canton ARC,1,1,C,0,98,0,98,50,NA,NA
KA8ZEP,NA,502,1D,OH,2,NOARS/LCARA,1,1,C,0,113,0,113,50,NA,NA
KA9BHD,NA,2190,1D,IL,2,Dupage ARC,1,1,C,334,201,0,535,50,NA,NA
KA9MDP,NA,228,1D,SV,2,Calaveras ARS,1,1,C,0,0,89,89,50,NA,NA
KA9NNR,NA,112,1D,IL,2,NA,1,1,C,0,0,31,31,50,NA,NA
KA9OZP,NA,146,1D,IA,2,NA,1,1,C,0,0,48,48,50,NA,NA
KA9QWC,NA,200,1D,IN,2,21 Repeater Club,2,1,C,0,0,75,75,50,NA,NA
KB0GT,NA,618,1D,MN,2,NA,1,1,C,0,142,0,142,50,NA,NA
KB0JI,NA,714,1D,CO,2,NA,1,1,C,0,151,30,181,50,NA,NA
KB0MU,NA,482,1F,KS,2,Nemaha Co. AR Org.,3,1,C,0,23,70,93,250,NA,NA
KB0OLA,NA,368,1E,UT,2,NA,1,1,B,0,0,109,109,150,NA,NA
KB0SMX,NA,1338,2A,NE,2,Plattsmouth ARC,18,2,G,73,0,88,161,870,NA,NA
KB0TLL,NA,1120,5A,MO,2,Jefferson Co. (MO) ARC,9,5,G,14,1,95,110,870,NA,NA
KB0TUA,NA,546,1D,MO,2,NA,1,1,C,124,0,0,124,50,NA,NA
KB0TUC (+NC0A),NC0A,2438,4A,CO,2,Royal Gorge ARC,12,4,G,186,79,89,354,1200,NA,NA
KB1AWM (+KA8JCC),NA,2414,2B2,SC,2,NA,2,2,B,451,0,80,531,450,NA,NA
KB1BYP,NA,106,1D,ND,2,NA,1,1,C,0,0,28,28,50,NA,NA
KB1DGY,NA,750,2E,CT,2,Eastford EmComm,1,2,B,0,75,0,75,450,NA,NA
KB1EWM,NA,90,1D,CT,2,NA,1,1,C,0,0,20,20,50,NA,NA
KB1HKN,NA,1070,1D,EMA,2,PART of Westford,1,1,C,0,255,0,255,50,NA,NA
KB1HXO,NA,410,1B1B,WMA,5,NA,1,1,B,0,0,32,32,250,NA,NA
KB1PGF,NA,205,1B2B,OH,5,NA,2,1,B,0,0,1,1,200,NA,NA
KB1RVU,NA,644,1D,CT,2,NA,1,1,C,0,0,297,297,50,NA,NA
KB1RZA,NA,310,1B1,VT,2,NA,1,1,B,0,0,80,80,150,NA,NA
KB1SL,NA,112,1D,CT,2,NA,1,1,C,0,0,31,31,50,NA,NA
KB1UJS (+KB1VTD),NA,288,1B2,ME,2,NA,2,1,B,0,0,69,69,150,NA,NA
KB1VXY,NA,106,1D,EMA,2,Framingham ARA,1,1,C,0,0,28,28,50,NA,NA
KB1WSE,NA,54,1D,SFL,2,NA,1,1,C,0,1,0,1,50,NA,NA
KB1YO,NA,150,1E,CT,2,NA,1,1,B,0,0,50,50,50,NA,NA
KB2BIT,NA,2370,2E,NFL,5,NA,1,2,B,15,185,0,200,370,NA,NA
KB2DSQ (+KB2DSR),NA,3150,2B2B,WNY,5,NA,2,2,B,0,239,42,281,550,NA,NA
KB2DX,NA,136,1D,ENY,2,NA,1,1,C,0,0,43,43,50,NA,NA
KB2MN,NA,1370,1D,SNJ,2,Southern Counties ARA,2,1,C,210,0,190,400,150,NA,NA
KB2RTI,NA,304,1D,NNJ,2,Garden State ARA,1,1,C,0,63,1,64,50,NA,NA
KB2SNL,NA,82,1D,NNJ,2,NA,1,1,C,0,0,16,16,50,NA,NA
KB2TDT,NA,188,1D,WNY,2,NA,1,1,C,0,0,69,69,50,NA,NA
KB2URI,NA,1814,3E,WNY,2,NA,1,3,S,129,123,28,280,750,NA,NA
KB3CAN,NA,68,1D,MDC,2,Charlestown ARC,1,1,C,0,0,9,9,50,NA,NA
KB3HLL,NA,452,1A,EPA,2,Bald Eagle Repeater Assn.,3,1,B,0,0,1,1,450,NA,NA
KB3IAI,NA,204,1D,MDC,2,Anne Arundel RC,1,1,C,0,13,1,14,150,NA,NA
KB3ITQ,NA,510,1E,MDC,5,NA,1,1,B,36,0,0,36,150,NA,NA
KB3KOC,NA,368,1E,MDC,2,NA,1,1,B,0,0,109,109,150,NA,NA
KB3NSK,NA,1258,1D,WPA,2,NA,1,1,C,302,0,0,302,50,NA,NA
KB3RKM,NA,162,1D,EPA,2,NA,1,1,C,0,0,56,56,50,NA,NA
KB3RN,NA,0,1D,EPA,0,Phil-Mont Mobile RC,1,1,C,0,0,25,25,0,Y,NA
KB3RWT,NA,104,1D,NTX,2,Irving ARC,1,1,C,0,1,25,26,50,NA,NA
KB3SPH,NA,260,1B1,MDC,2,NA,1,1,B,0,0,55,55,150,NA,NA
KB3SRU,NA,190,1E,WCF,5,Zephyrhills Area ARC,1,1,B,0,14,0,14,50,NA,NA
KB3Z,NA,450,1D,EPA,2,Potomac Valley RC,1,1,C,100,0,0,100,50,NA,NA
KB4AS,NA,150,1D,GA,2,Piedmont ARC,1,1,C,0,0,50,50,50,NA,NA
KB4CC,NA,346,1F,GA,2,Camden Co. ARS,1,1,C,0,0,98,98,150,NA,NA
KB4CG,NA,3694,1B1,VA,2,Potomac Valley RC,1,1,G,807,0,58,865,350,NA,NA
KB4DE,NA,470,1D,SC,2,CARCSC,1,1,C,105,0,0,105,50,NA,NA
KB4FB,NA,0,1D,WCF,1,NA,1,1,C,20,0,0,20,0,Y,NA
KB4FHA,NA,184,1D,SC,2,Swamp Fox Contest Grp.,1,1,C,0,0,67,67,50,NA,NA
KB4IRR,NA,1870,1B1B,MO,5,NA,1,1,B,162,0,0,162,250,NA,NA
KB4MOX,NA,1092,1E,GA,2,Piedmont ARC,1,1,S,0,110,1,111,650,NA,NA
KB4OLM,NA,394,1D,VA,2,Valley and Massanutten ARA,1,1,C,0,86,0,86,50,NA,NA
KB4UF,NA,660,3D,NFL,2,NA,3,3,C,0,91,123,214,50,NA,NA
KB5A (+NN5R),NN5R,2683,3AC,NTX,2,Metrocrest ARS,36,3,C,350,108,38,496,775,NA,NA
KB5ILY,NA,170,1E,AR,2,NA,1,1,B,0,0,10,10,150,NA,NA
KB5MAR,NA,1182,2F,NTX,2,Marshall ARC,6,2,B,0,117,82,199,550,NA,NA
KB5QR,NA,218,1D,AR,2,Benton ARS,1,1,C,0,31,22,53,50,NA,NA
KB6A,NA,362,1D,ORG,2,NA,1,1,C,78,0,0,78,50,NA,NA
KB6BEN (+KB6EOC),KB6EOC,2939,11A,EB,2,Benicia ARC,13,11,B,11,267,31,309,1765,NA,NA
KB6CA,NA,626,1D,ORG,2,NA,1,1,C,119,0,0,119,150,NA,NA
KB6JFL,NA,726,1D,SJV,2,NA,1,1,C,40,112,24,176,70,NA,NA
KB6NTW,NA,104,1D,SCV,2,NA,1,1,C,0,9,9,18,50,NA,NA
KB6ODH,NA,304,1E,SV,2,North Hills RC,1,1,B,0,0,77,77,150,NA,NA
KB6QEW,NA,284,1D,ME,2,NA,1,1,C,41,0,35,76,50,NA,NA
KB6TAZ,NA,2536,1D,SB,2,Paso Robles ARC,3,1,C,0,0,1243,1243,50,NA,NA
KB7DUJ,NA,74,1D,MT,2,Hi-Line ARC,1,1,C,0,0,12,12,50,NA,NA
KB7GFL,NA,454,1D,WWA,2,Sky Valley ARC,1,1,C,0,76,0,76,150,NA,NA
KB7GK,NA,725,1E,ID,5,NA,1,1,B,0,0,115,115,150,NA,NA
KB7LJP,NA,740,1B1B,WWA,5,NA,1,1,B,39,0,0,39,350,NA,NA
KB7MLK,NA,1270,1D,NTX,2,Red Mountain Radio Amateurs,2,1,C,0,0,610,610,50,NA,NA
KB7QWC,NA,170,1D,SV,2,Sierra Foothills ARC,1,1,C,0,30,0,30,50,NA,NA
KB7WHO,NA,394,1E,ID,2,NA,1,1,B,0,61,0,61,150,NA,NA
KB7XL (+W6AAE),NA,710,1B2,NV,2,Desert Creek DX'ers,2,1,B,0,0,230,230,250,NA,NA
KB7YS,NA,180,1B1B,EWA,5,NA,1,1,B,0,0,6,6,150,NA,NA
KB8GUN,NA,570,1D,OH,2,Hocking Valley ARC,1,1,C,130,0,0,130,50,NA,NA
KB8MQ,NA,390,1B1C,OH,2,NA,1,1,C,0,0,120,120,150,NA,NA
KB8MYC,NA,434,1D,OH,2,NA,1,1,C,0,96,0,96,50,NA,NA
KB8PAI,NA,300,1D,OH,2,Toledo Mobile Radio Assn.,1,1,C,0,0,125,125,50,NA,NA
KB8RTB,NA,440,1B1B,OH,5,NA,1,1,B,0,9,0,9,350,NA,NA
KB8U,NA,230,1C,MI,5,NA,1,1,B,18,0,0,18,50,NA,NA
KB8UFP,NA,174,1D,SFL,2,NA,1,1,C,0,0,62,62,50,NA,NA
KB8VOM,NA,772,1D,OH,2,Hocking Valley ARC,1,1,C,0,15,256,271,200,NA,NA
KB8ZR,NA,458,1D,OH,2,NA,1,1,C,0,102,0,102,50,NA,NA
KB8ZYE,NA,258,1D,OH,2,West Chester ARA,1,1,C,0,14,76,90,50,NA,NA
KB9ENS,NA,432,1C,LAX,2,NA,3,1,G,42,0,47,89,170,NA,NA
KB9FU,NA,436,1E,STX,2,NA,1,1,B,0,0,93,93,250,NA,NA
KB9HGI,NA,598,1D,IL,2,NA,1,1,C,0,137,0,137,50,NA,NA
KB9LHT,NA,634,1D,AZ,2,NA,1,1,C,0,121,50,171,50,NA,NA
KB9OFH,NA,254,1E,IL,2,NA,1,1,B,0,18,16,34,150,NA,NA
KB9OHY,NA,1516,3A,IN,2,Orange Co. (IN) ARC,9,3,G,10,6,241,257,970,NA,NA
KB9REV,NA,182,1D,IL,2,STARS ARC,1,1,C,0,4,58,62,50,NA,NA
KB9S,NA,638,1B1,WI,2,NA,1,1,B,91,6,0,97,250,NA,NA
KB9SCT,NA,826,1D,WI,2,NA,1,1,C,0,194,0,194,50,NA,NA
KB9SIG,NA,134,1D,WI,2,NA,1,1,C,0,20,2,22,50,NA,NA
KB9WFS,NA,265,1B1B,ORG,5,NA,1,1,B,0,0,3,3,250,NA,NA
KC0AGX,NA,52,1E,MO,2,NA,1,1,B,0,0,1,1,50,NA,NA
KC0AMJ,NA,574,1E,MO,2,Macon Co. ARC,1,1,G,0,0,237,237,100,NA,NA
KC0CQD,NA,202,1D,MO,2,NA,1,1,C,0,0,76,76,50,Y,NA
KC0INP,NA,278,1D,MN,2,St. Paul RC/Mining RC,1,1,C,38,0,38,76,50,NA,NA
KC0LFQ (+KC0MJY),NA,202,1B2,CO,2,NA,2,1,B,0,0,26,26,150,NA,NA
KC0QNB,NA,70,1D,NE,2,NA,1,1,C,0,0,10,10,50,NA,NA
KC0RVS,NA,1076,3A,CO,2,Village 7 ARC,18,3,B,0,0,213,213,650,NA,NA
KC0UJC,NA,958,1D,IA,2,NA,1,1,C,187,36,8,231,50,NA,NA
KC0WEI,NA,242,1A,MO,2,NA,3,1,B,0,0,46,46,150,NA,NA
KC0WIR,NA,244,1D,MO,2,NA,1,1,C,0,36,0,36,100,NA,NA
KC0ZPS,NA,930,1B1B,CO,5,NA,1,1,B,88,0,0,88,50,NA,NA
KC1AEM,NA,0,1D,VT,1,NA,1,1,C,0,0,23,23,0,Y,NA
KC1BDJ,NA,1202,1B1,VT,2,NA,1,1,B,263,0,0,263,150,NA,NA
KC1CUE (+W1KDA),W1KDA,4833,2F,RI,2,Coventry EMA,40,2,C,24,400,691,1115,1755,NA,NA
KC1CYT,NA,438,1D,CT,2,NA,1,1,C,0,58,28,86,150,NA,NA
KC1DSQ,NA,1780,1E,EMA,5,PART of Westford,1,1,B,0,163,0,163,150,NA,NA
KC1FOZ,NA,298,1B1,NH,2,NA,1,1,B,0,0,24,24,250,NA,NA
KC1NXT,NA,170,1D,EMA,2,Framingham ARA,1,1,C,0,30,0,30,50,NA,NA
KC1OT,NA,854,1E,CT,2,NA,1,1,B,0,0,302,302,250,NA,NA
KC1OXM,NA,200,1D,NH,2,Port City ARC,1,1,C,0,0,75,75,50,NA,NA
KC1QEM,NA,618,1D,EMA,2,Barnstable ARC,1,1,C,0,142,0,142,50,NA,NA
KC1QKU,NA,94,1D,EMA,2,Billerica ARS/Billerica EMA,1,1,C,0,0,22,22,50,NA,NA
KC1TIW,NA,324,1B1,WMA,2,Quaboag Valley ARC,1,1,B,0,0,87,87,150,NA,NA
KC1TUF,NA,66,1D,EMA,2,Cape Ann ARA,1,1,C,0,4,0,4,50,NA,NA
KC1TWR,NA,120,1D,NC,2,NA,1,1,C,0,0,35,35,50,NA,NA
KC1UER,NA,230,1E,CT,5,NA,1,1,B,0,8,0,8,150,NA,NA
KC2ELS,NA,582,1E,WWA,2,NA,1,1,B,0,55,56,111,250,NA,NA
KC2FTD,NA,538,2F,ENY,2,NA,2,2,C,0,0,144,144,250,NA,NA
KC2HRO,NA,202,1D,ENY,2,East Greenbush ARA,1,1,C,0,4,68,72,50,NA,NA
KC2HZW,NA,268,1E,IN,2,NA,1,1,B,0,0,59,59,150,NA,NA
KC2NJ,NA,634,1D,NNJ,2,West Essex ARC,1,1,C,0,146,0,146,50,NA,NA
KC2TOO,NA,450,1E,WNY,2,NA,1,1,B,0,0,50,50,350,NA,NA
KC2TV,NA,92,1D,NH,2,Granite State ARA,1,1,C,0,0,21,21,50,NA,NA
KC2USA,NA,206,1B1,WNY,2,NA,1,1,G,0,0,28,28,150,NA,NA
KC2VTM,NA,92,1D,ENY,2,Orange Co. (IN) ARC,1,1,C,0,0,21,21,50,NA,NA
KC2WUF,NA,482,1D,NNJ,2,New Providence ARC,1,1,C,0,83,0,83,150,NA,NA
KC2ZA,NA,378,1D,EPA,2,NA,1,1,C,0,82,0,82,50,NA,NA
KC3AEZ,NA,190,1D,EPA,2,NA,1,1,C,0,0,20,20,150,NA,NA
KC3BHI,NA,76,1A,WPA,2,Nittany ARC,4,1,B,0,0,13,13,50,NA,NA
KC3BLF,NA,170,1D,EPA,2,Lehigh Valley ARC,1,1,C,0,30,0,30,50,NA,NA
KC3EUU,NA,250,1B1,EPA,2,NA,1,1,B,0,0,50,50,150,NA,NA
KC3FHC (+W3H),W3H,2493,3F,MDC,2,Harford Co. ARES RACES,18,3,G,164,62,82,308,1425,NA,NA
KC3FQF,NA,2122,1B1,DE,2,Frankford RC,1,1,B,518,0,0,518,50,NA,NA
KC3FVN,NA,546,1B1,EPA,2,NA,1,1,B,0,99,0,99,150,NA,NA
KC3KRZ,NA,0,1D,WPA,1,NA,1,1,C,28,0,22,50,0,Y,NA
KC3LUV,NA,106,1D,MDC,2,Queen Anne's ARC,1,1,C,0,0,28,28,50,NA,NA
KC3MAL,NA,194,1D,DE,2,Sussex ARA,1,1,C,36,0,0,36,50,NA,NA
KC3NAF,NA,250,1D,WPA,2,BCARS,1,1,C,0,36,28,64,50,NA,NA
KC3PIB,NA,655,1B1B,AZ,5,NA,1,1,B,0,46,5,51,170,NA,NA
KC3PIK,NA,56,1E,WPA,2,NA,1,1,B,0,0,3,3,50,NA,NA
KC3RHQ,NA,1932,1D,WPA,2,Butler Co. AR Public Srvc. Grp.,1,1,C,0,470,1,471,50,NA,NA
KC3SDJ,NA,438,1D,WPA,2,Skyview Radio Soc.,1,1,C,0,97,0,97,50,NA,NA
KC3SER,NA,212,1E,EPA,2,NA,1,1,B,0,0,31,31,150,NA,NA
KC3SMA,NA,416,3E,WPA,2,NA,4,3,B,0,59,65,124,50,NA,NA
KC3SWR,NA,300,1B1B,WPA,5,NA,1,1,B,0,15,0,15,150,NA,NA
KC3TL,NA,812,2A,WPA,2,TLSC Ham Radio Grp.,15,2,B,0,0,31,31,750,NA,NA
KC3UII,NA,1690,1D,EPA,2,Frankford RC,1,1,C,86,263,112,461,70,NA,NA
KC3UZK,NA,338,1E,EPA,2,NA,1,1,B,0,0,94,94,150,NA,NA
KC3VII,NA,298,1D,EPA,2,NA,1,1,C,0,62,0,62,50,NA,NA
KC3WCR,NA,155,1E,EPA,5,NA,1,1,B,0,0,1,1,150,NA,NA
KC3WOV,NA,102,1D,WPA,2,NA,1,1,C,0,13,0,13,50,NA,NA
KC3WWC,NA,180,1B1B,MDC,5,NA,1,1,B,0,3,0,3,150,NA,NA
KC3WX,NA,6134,2D,EPA,2,NA,3,2,C,1026,78,784,1888,150,NA,NA
KC3YBG,NA,112,1B1C,NC,2,Cumberland Valley ARC,1,1,C,0,0,31,31,50,NA,NA
KC3YQI,NA,174,1D,MDC,2,NA,1,1,C,0,0,12,12,150,NA,NA
KC3ZCH,NA,216,1D,WPA,2,NA,1,1,C,0,34,15,49,50,NA,NA
KC4CR,NA,950,1B1B,OR,5,NA,1,1,B,55,0,0,55,400,NA,NA
"KC4GYM (N5CWH, KO4UWM)",NA,1744,2B2,SC,2,Southern Sands ARC,2,2,G,0,322,103,425,250,NA,NA
KC4KEZ,NA,190,1B2,KY,2,NA,2,1,G,0,0,20,20,150,NA,NA
KC4KZR,NA,460,1D,NC,2,NA,1,1,C,0,65,0,65,200,NA,NA
KC4M,NA,702,1D,NC,2,NA,1,1,C,163,0,0,163,50,NA,NA
KC4TNQ,NA,996,1D,TN,2,NA,1,1,C,0,177,69,246,150,NA,NA
KC4UG,NA,1374,2A,AL,2,West Alabama ARC,20,2,G,0,0,132,132,1110,NA,NA
KC4WPS,NA,962,1D,KY,2,Paducah ARA,1,1,C,0,203,0,203,150,NA,NA
KC4X,NA,982,1D,NC,2,Forsyth ARC,1,1,C,233,0,0,233,50,NA,NA
KC5AJS,NA,66,1C,STX,2,NA,1,1,B,0,0,8,8,50,NA,NA
KC5GFL,NA,88,1D,AR,2,NA,1,1,C,0,0,19,19,50,NA,NA
KC5LL,NA,98,1D,NTX,2,Lake Area AR Klub,1,1,C,0,0,24,24,50,NA,NA
KC5OLO,NA,1456,3F,WTX,2,Key City ARC,53,3,C,0,59,375,434,470,NA,NA
KC5ULN,NA,366,2A,MS,2,Lowndes Co. ARC,12,2,B,0,16,26,42,250,NA,NA
KC5ZAP,NA,1384,2B2,CT,2,Pioneer Valley Radio Assn.,2,2,B,0,331,5,336,50,NA,NA
KC6UFE,NA,84,1D,SV,2,Golden Empire ARS,1,1,C,0,0,42,42,0,NA,NA
KC6ZBE,NA,202,1E,STX,2,NA,1,1,B,13,0,0,13,150,NA,NA
KC7CCK (+KE7AUP),NA,520,1B2B,EWA,5,NA,2,1,B,0,0,54,54,250,NA,NA
KC7CS,NA,1226,1D,AZ,2,NA,1,1,C,0,294,0,294,50,Y,NA
KC7KCN,NA,2478,3A,AZ,2,Coconino ARC,8,3,B,0,196,272,468,1150,NA,NA
KC7KFF,NA,966,1D,AZ,2,Milky Way Wireless Club,3,1,C,124,36,63,223,200,NA,NA
KC7ND,NA,256,1E,TN,2,Delta and Neshoba ARC Memphis,1,1,B,0,0,53,53,150,NA,NA
KC7O,NA,810,1E,LAX,2,Pasadena RC,1,1,B,0,0,280,280,250,NA,NA
KC7V,NA,0,1D,AZ,0,Arizona Outlaws Contest Club,1,1,C,1002,0,0,1002,0,Y,NA
KC7WDL,NA,390,1B1B,WWA,5,NA,1,1,B,0,24,0,24,150,NA,NA
KC7XE,NA,902,1B1,UT,2,West Valley ARA,1,1,B,0,119,88,207,250,NA,NA
KC8AAF,NA,230,1B1,MI,2,NA,1,1,B,0,0,40,40,150,NA,NA
KC8EHR,NA,1172,2A,MI,2,NA,4,2,G,96,0,184,280,420,NA,NA
KC8HQS,NA,254,1D,OH,2,Oh-Ky-In ARS,1,1,C,0,0,102,102,50,NA,NA
KC8J,NA,0,1D,SDG,1,NA,1,1,C,250,0,0,250,0,Y,NA
KC8JRS,NA,466,1D,OH,2,NA,1,1,C,0,104,0,104,50,NA,NA
KC8LIM,NA,298,1A,MI,2,Graham-Conner,7,1,G,0,0,54,54,190,NA,NA
KC8OH (+KC8LAR),KC8LAR,1240,3A,OH,2,Amigos RC Ashtabula,18,3,B,0,28,289,317,550,NA,NA
KC8RJS,NA,666,1B1,OH,2,NA,1,1,B,0,0,108,108,450,NA,NA
KC8VC (+KE8RKF),KE8RKF,2025,2A,MI,2,Mich-A-Con ARC,12,2,G,0,136,228,364,1025,NA,NA
KC8VMG,NA,386,1D,WV,2,NA,2,1,C,0,0,168,168,50,NA,NA
KC9EOQ,NA,0,1D,IL,0,Fox River Radio League,1,1,C,0,0,59,59,0,Y,NA
KC9EZP,NA,262,1D,IN,2,Allen Co. AR Technical Soc.,1,1,C,0,2,102,104,50,NA,NA
KC9GRD,NA,136,1D,WI,2,NA,1,1,C,0,0,43,43,50,NA,NA
KC9KQ (+KC9MCC),KC9MCC,1392,3AC,WI,2,Hidden Valleys ARC,18,3,C,174,50,63,287,370,NA,NA
KC9LDR,NA,334,1D,IL,2,NA,1,1,C,0,49,44,93,50,NA,NA
KC9LMF,NA,724,3AC,IL,2,Big Bend ARC,9,3,C,0,15,7,22,650,NA,NA
KC9NJZ,NA,1790,1B1B,IL,5,NA,1,1,B,0,134,0,134,450,NA,NA
KC9OLF,NA,632,2AC,IN,2,Southern IN Tri-Co. Club,4,2,C,0,0,241,241,150,NA,NA
KC9OYE,NA,566,1D,IN,2,NWI DX Club,1,1,C,0,126,6,132,50,NA,NA
KC9PL,NA,870,1D,IL,2,Ft. Madison ARC,1,1,C,0,205,0,205,50,NA,NA
KC9QFH,NA,110,1D,WI,2,NA,1,1,C,0,0,30,30,50,NA,NA
KC9SFL,NA,124,1D,IN,2,Daviess Co. RC,2,1,C,10,0,17,27,50,NA,NA
KC9SJJ,NA,576,2F,IN,2,Vigo Co. EmComm Team,3,2,B,0,69,25,94,250,NA,NA
KC9UR,NA,590,1D,IN,2,Ft. Wayne RC,1,1,C,100,35,0,135,50,NA,NA
