call_does_not_include_checklogs,gota_call,club_name,section,number_of_transmitters,category,power_source,final_score,total_qsos,total_cw_qs_os,total_digital_qs_os,total_phone_qs_os,power_multiplier,bonus_points,number_of_participants
K4BRW,NA,NA,VA,1,A,B,1658,344,0,0,344,2,970,16
K4BSK,NA,NA,NC,1,E,G,582,108,108,0,0,2,150,1
K4BT,NA,Orange Park ARC,NFL,4,A,G,4702,1045,713,18,314,2,1150,65
K4BV,NA,Daytona Beach ARA,NFL,3,A,G,806,137,90,1,46,2,350,21
K4BW,NA,Eastern Shore ARC,VA,2,A,G,1932,294,0,27,267,2,1290,12
K4CO,KY4DH,Northern Kentucky ARC,KY,3,A,G,2324,471,0,26,445,2,1330,35
K4CPO,N1NUT,Nashville ARC,TN,3,A,G,2732,566,200,175,191,2,850,37
K4CQ,W3CQ,Lynchburg ARC,VA,3,A,G,11308,3110,1675,84,1351,2,1570,62
K4CWW,NA,NA,AL,1,E,G,734,342,0,0,342,2,50,3
K4DSR,NA,Deep South ARC,AL,3,A,G,1726,409,0,79,330,2,750,49
K4E,NA,NA,TN,1,F,G,1230,175,0,10,165,2,860,24
K4EG,W4VGZ,Alamance ARC,NC,3,F,C,5368,1252,731,36,485,2,1330,23
K4EX,KM4YGV,East Pasco ARS,WCF,2,A,G,1718,247,18,109,120,2,970,16
K4FAU,NA,Florida Atlantic Univ ARC,SFL,2,A,G,1776,443,0,90,353,2,710,15
K4FBC,NA,Huntsville First Baptist Church Ham Club,AL,2,A,G,2286,458,300,0,158,2,770,8
K4FC,KT4Q,Lake ARA,NFL,5,A,G,13694,3795,1947,100,1748,2,2010,53
K4FTP,NA,NA,GA,1,D,C,172,61,0,0,61,2,50,1
K4FTY,NA,NA,AL,1,E,B,1045,179,0,0,179,5,150,1
K4FU,NA,NA,NFL,1,E,G,664,141,141,0,0,2,100,1
K4GNV,NA,Gainesville ARS,NFL,2,A,G,912,221,5,55,161,2,350,32
K4GOP,NA,NA,NFL,1,D,C,116,33,0,0,33,2,50,1
K4GSO,NA,Silver Springs RC,NFL,8,A,G,2940,370,105,20,245,2,1950,25
K4GVA,NA,NA,VA,4,A,G,2086,246,103,19,124,2,1350,50
K4HAL,NA,NA,AL,1,E,G,2190,510,510,0,0,2,150,1
K4HCK,NA,NA,TN,1,D,C,150,25,0,25,0,2,50,1
K4HH,NA,Jessamine Amateur Wireless Society,KY,1,A,B,5122,1193,1193,0,0,2,350,3
K4HJ,NA,Stubblefield Repeater Club,KY,3,A,G,2546,478,225,85,168,2,970,15
K4HRS,K3VN,Harris-Intersil ARC,SFL,2,A,G,1466,253,5,0,248,2,950,15
K4II,NA,Spartanburg ARC,SC,2,AC,C,3962,1153,753,0,400,2,150,35
K4IJK,NA,NA,WCF,1,D,C,76,13,0,0,13,2,50,1
K4INC,NA,NA,NC,1,B1B,B,2730,244,230,0,14,5,360,1
K4IYN,NA,NA,TN,1,D,C,64,7,0,0,7,2,50,1
K4J,NA,GARA / CCARS Glynn / Camden Co's Joint FD,GA,7,A,G,3150,559,67,124,368,2,1650,27
K4KJQ,KE6IVK,Bluegrass ARS,KY,4,A,G,1876,339,164,0,175,2,870,8
K4KNS,NA,ARC of Columbia Co,GA,4,A,B,2102,372,110,64,198,2,1010,23
K4KSR,NA,NA,VA,1,E,B,1370,102,102,0,0,5,350,1
K4LKL,NA,Lakeland ARC,WCF,4,A,G,4068,886,408,0,478,2,1480,30
K4LRA,NA,Lighthouse AR Alliance,SFL,4,A,G,8848,2424,1365,10,1049,2,1250,14
K4LRG,W5ODJ,Loudoun Amateur Radio Group,VA,5,A,G,14918,4109,2406,9,1694,2,1870,64
K4MIL,NA,NA,VA,1,E,B,300,20,20,0,0,5,100,1
K4MN,K4PGM,Cape Fear ARS,NC,2,A,G,8602,2301,775,0,1526,2,2450,20
K4MSU,W4GZ,Murray State University ARC,KY,3,A,G,3032,603,101,97,405,2,1430,55
K4MX,NA,NA,VA,1,D,C,908,227,227,0,0,2,0,1
K4NAB,WB5NHL,North Augusta - Belvedere RC,SC,5,A,G,8878,2336,1072,176,1088,2,1710,33
K4NCS,NA,NCS ARC,VA,1,F,C,1890,492,249,79,164,2,250,1
K4NGA,NA,North Georgia VHF Society,GA,1,AC,C,504,192,35,0,157,2,50,10
K4NPC,NA,NA,GA,1,E,G,2014,466,466,0,0,2,150,2
K4NRC,NA,Bill Gremillion Memorial RC,GA,4,A,G,7882,2261,1082,173,1006,2,850,38
K4NVA,NQ4K,Sterling Park ARC,VA,3,A,G,4594,1134,358,0,776,2,1610,20
K4OAQ,NA,NA,VA,1,E,G,2830,695,695,0,0,2,50,1
K4OBI,NA,Piedmont Triad AmRRON Corps,NC,4,A,G,2024,427,0,210,217,2,750,8
K4OO,W2RML,Smith Chart ARS,NC,2,A,G,7606,2111,1247,0,864,2,890,22
K4PAR,K4P,Piedmont ARES,GA,2,A,G,2548,451,4,4,443,2,1630,15
K4PH,NA,NA,NC,1,E,G,370,60,0,0,60,2,250,1
K4PJ,NA,Oak Ridge ARC,TN,2,AC,C,2516,540,343,0,197,2,750,41
K4PMH,NA,Page Valley ARC,VA,1,A,G,4654,1265,281,106,878,2,1350,17
K4RC,AI4WU,Williamsburg Area ARC,VA,2,A,B,7718,2129,1035,0,1094,2,1390,44
K4RCA,NA,NA,VA,1,E,G,2374,1012,0,0,1012,2,350,1
K4RDU,NA,NA,VA,1,D,C,730,298,272,10,16,1,150,1
K4RFT,N4MJ,Reelfoot ARC,TN,3,A,G,6840,1419,579,557,283,2,1730,13
K4RSG,NA,NA,NC,1,E,G,518,184,0,0,184,2,150,1
K4RUM,NA,NA,NLI,1,D,C,646,191,132,0,59,2,0,1
K4SHP,NA,NA,SC,1,E,G,1014,382,0,0,382,2,250,1
K4SV,NY4G,Greer ARC,SC,2,A,G,8358,2432,1232,0,1200,2,1030,22
K4SWR,NA,Johnston Co ARS,NC,3,A,G,816,182,0,1,181,2,450,26
K4TCG,NA,NA,TN,1,D,C,1382,389,277,0,112,2,50,1
K4TEP,NA,NA,AL,1,D,C,590,121,0,99,22,2,150,2
K4TG,KY4LAW,Anderson RC,KY,3,F,C,3792,796,325,100,371,2,1350,16
K4TLH,NA,Tallahassee ARS,NFL,3,A,G,4918,1024,757,53,214,2,1250,28
K4TN,KC4MMR,Brandon ARS,WCF,2,A,G,3066,662,306,0,356,2,1130,27
K4TNS,NA,Jim Bell Wireless Assn,AL,1,A,B,374,112,0,0,112,2,150,5
K4TS,NX4Q,Rappahannock Valley ARC,VA,8,A,G,8514,2222,1246,64,912,2,1450,40
K4TSO,NA,NA,SC,1,D,C,112,31,0,0,31,2,50,1
K4UB,NA,NA,UT,1,D,C,176,35,17,11,7,2,50,2
K4V,NA,Union Co ARS,NC,3,A,G,3036,873,5,190,678,2,900,19
K4VBM,NA,NA,GA,1,D,C,160,55,0,0,55,2,50,1
K4VRC,NA,The Villages ARC,NFL,1,A,G,1803,1169,184,0,985,1,450,25
K4W,NA,Highlands Co ARC,WCF,5,F,C,3456,542,260,101,181,2,1650,30
K4WAK,NA,Sportsman's Paradise ARC,NFL,2,A,G,3000,840,471,64,305,2,250,7
K4WC,W4AWS,NA,NC,2,A,G,2480,558,0,7,551,2,1350,44
K4WLG,NA,NA,KY,1,D,C,132,41,0,0,41,2,50,1
K4WO,NA,The Albermarle ARS,NC,2,A,G,2056,414,92,47,275,2,950,18
K4WOC,NA,Cherokee Capital ARS,GA,4,A,G,956,74,0,19,55,2,770,25
K4WW,NA,NA,KY,1,E,G,2050,650,350,0,300,2,50,1
K4XY,K4HTA,Vienna Wireless Society,VA,4,A,G,12302,3173,1978,75,1120,2,1850,100
K4XZ,NA,NA,SFL,1,D,C,94,22,0,0,22,2,50,1
K4Y,NA,River Cities ARA,KY,4,A,G,1496,215,0,58,157,2,950,13
K4YHB,NA,ARASWF,SFL,4,AC,C,1124,297,190,0,107,2,150,15
K4YYL,NA,NA,SC,1,D,C,44,44,0,0,44,1,0,1
K4ZK,WX4MC,Martin Co ARA & ARES,SFL,2,A,G,2150,424,126,0,298,2,1050,27
K5BAY,NA,Baytown Area ARC,STX,3,F,C,1232,200,40,51,109,2,650,11
K5BED,NA,Bedford ARC,NTX,3,A,G,1142,158,0,38,120,2,750,10
K5BIU,NA,NA,LA,1,B1,G,558,30,24,0,6,2,450,1
K5BRZ,NA,Brazoria Co ARES,STX,1,AC,C,406,28,0,0,28,2,350,16
K5BS,NA,Tidelands ARS,STX,2,A,G,1240,361,9,0,352,2,500,15
K5C,NA,NA,NTX,2,B2,G,816,47,0,36,11,2,650,2
K5CAO,NA,NA,SV,1,B1B,B,2700,255,255,0,0,5,150,1
K5CCL,NA,Cedar Creek ARC,NTX,1,F,C,876,243,20,0,223,2,350,30
K5CM,N5KK,Muskogee ARC,OK,2,A,G,12274,3001,2501,0,500,2,1270,7
K5CMO,NA,NA,NTX,1,D,C,26,13,0,0,13,2,0,1
K5COW,NA,Cowtown ARC,NTX,4,A,B,3040,420,270,5,145,2,1650,46
K5EBY,NA,NA,STX,1,B1B,B,260,1,0,1,0,5,250,1
K5EOK,AF5DI,Edmond ARS,OK,3,A,G,5524,1373,501,213,659,2,1350,37
K5FD,W5JSR,Big Bend ARC,WTX,2,A,G,7894,2130,1222,5,903,2,1180,18
K5GDX,NA,NA,MS,4,E,G,4324,1005,614,118,273,2,850,15
K5HOU,NA,NA,STX,5,A,G,1770,81,0,79,2,2,1450,5
K5IX,NA,NA,STX,1,E,B,490,14,14,0,0,5,350,1
K5JTB,NA,Boston Mountain RC,AR,1,A,B,256,3,0,0,3,2,250,3
K5JVL,NA,Cherokee Co ARC,NTX,2,AC,C,184,17,0,0,17,2,150,10
K5LET,NA,Longview East Texas ARC,NTX,3,AC,C,1230,163,99,28,36,2,650,18
K5LRK,K5VOP,NA,NTX,4,A,G,5316,994,739,150,105,2,1550,32
K5LXP,NA,NA,NM,1,B1B,B,1925,158,137,0,21,5,450,1
K5MLY,NA,NA,STX,1,B1,B,174,12,0,0,12,2,150,1
K5MNY,NA,NA,LA,5,F,C,854,156,0,21,135,2,500,10
K5MV,NA,NA,STX,1,D,C,1282,656,576,0,80,1,50,1
K5NE,NA,Benton ARS,AR,1,A,G,2308,602,0,27,575,2,1050,13
K5NEA,NA,Northeast Arkansas ARC,AR,2,AC,C,534,37,0,0,37,2,460,8
K5NRH,W5HP,North Richland Hills ARC,NTX,4,A,G,3786,753,251,64,438,2,1650,18
K5OUR,KC5OUR,Valencia Co ARA,NM,2,A,B,2214,280,192,0,88,2,1270,74
K5PAL,NA,Palestine/Anderson Co ARC,NTX,2,A,G,808,29,0,0,29,2,750,16
K5PAV,NA,NA,NTX,1,B1,G,210,30,0,0,30,2,150,1
K5PLD,NA,Pearland ARC,STX,2,A,G,874,102,0,60,42,2,550,30
K5PN,KF5ZCI,Hattiesburg ARC / Lamar ARC,MS,2,A,G,5038,1273,596,0,677,2,1300,50
K5PRK,K5F,Plano AR Klub,NTX,5,A,G,3876,739,303,71,365,2,1650,87
K5PX,NA,NA,OK,1,A,G,5410,1340,1340,0,0,2,50,5
K5PXP,KB5FLA,Arkansas River Valley AR Foundation,AR,3,A,G,6252,1389,1083,134,172,2,1040,25
K5QHD,K5WRB,Garland ARC,NTX,2,A,O,2688,461,154,24,283,2,1410,64
K5QR,NA,NA,NTX,1,B2B,B,1750,151,149,0,2,5,250,2
K5RKW,NA,Rockwall ARC,NTX,3,AC,C,404,127,0,0,127,2,150,14
K5RRD,NA,NA,OK,1,D,C,278,57,0,57,0,2,50,1
K5RWK,NA,The Richardson Wireless Klub,NTX,3,F,C,5484,1736,373,8,1355,2,1250,20
K5SL,NA,NA,LA,1,B1B,B,5980,573,573,0,0,5,250,1
K5SLD,NA,Arlington ARC,NTX,3,A,G,2432,431,222,38,171,2,1050,40
K5SS,NA,NA,NTX,1,D,C,382,83,83,0,0,2,50,1
K5T,NA,Hunt Co Packet Club,NTX,1,AB,B,2700,205,205,0,0,5,650,3
K5TRO,N5QBU,Mills Co ARC,NTX,2,A,G,1912,318,138,0,180,2,1000,20
K5TU,NA,NA,STX,2,E,G,10436,2636,2407,0,229,2,350,6
K5TUP,NA,Tupelo ARC,MS,2,A,B,1332,141,0,0,141,2,1050,10
K5TYR,NA,Tyler ARC,NTX,6,A,G,3920,1046,239,150,657,2,1050,50
K5URU,NA,NA,STX,1,D,C,332,80,0,61,19,2,50,1
K5UTA,NA,Maverick Radio Mentors,NTX,1,A,G,494,22,0,0,22,2,450,3
K5UZ,K5BRC,Batesville ARC / Brock Mtn Contest Group,AR,2,A,G,14664,4434,1677,426,2331,2,1590,16
K5VOP,NA,NA,NTX,1,E,O,254,2,0,0,2,2,250,1
K5WNH,NA,NA,NTX,1,B1B,B,4460,411,411,0,0,5,350,1
K5WPH,NA,NA,WTX,4,E,G,3388,845,206,18,621,2,1250,40
K5Z,NA,NA,NTX,2,E,B,854,107,0,95,12,2,450,1
K5ZD,NA,NA,WMA,1,D,C,2378,644,520,0,124,2,50,1
K6AA,NA,United Radio Amateur Club,LAX,2,A,G,5460,1233,997,0,236,2,1000,20
K6AGF,KK6CRP,Tri Co ARA,ORG,1,A,G,976,163,0,0,163,2,650,25
K6AJA,NA,NA,SDG,1,E,G,1080,256,109,0,147,2,350,1
K6AO,NA,NA,SV,1,D,C,955,905,0,0,905,1,50,2
K6ARP,NA,Clovis AR Pioneers,SJV,2,A,G,1108,355,0,124,231,2,150,24
K6ATO,NA,NA,LAX,1,C,G,102,1,0,0,1,2,100,1
K6BB,NA,Big Bear ARC,ORG,7,A,G,1694,200,106,16,78,2,1050,16
K6BP,NA,NA,SV,1,B1,G,338,44,0,0,44,2,250,1
K6CCR,AJ7C,CCARES,LAX,3,F,C,1726,326,100,112,114,2,650,22
K6CZH,NA,NA,NV,1,E,B,380,58,57,0,1,2,150,1
K6EI,W6ZZZ,West Valley ARA,SCV,13,AB,B,19350,2004,1168,188,648,5,2550,26
K6ELE,NA,NA,SF,1,D,C,325,275,0,0,275,1,50,1
K6FNI,NA,NA,SV,1,D,C,80,15,0,0,15,2,50,1
K6FW,NA,NA,ORG,1,D,C,282,66,0,0,66,2,150,1
K6GB,NA,NA,ORG,1,D,C,210,40,10,30,0,2,50,1
K6HAI,NA,North Shore ARC,SDG,4,A,B,696,68,30,0,38,2,500,5
K6IJ,NA,NA,SV,1,D,C,1236,593,593,0,0,1,50,2
K6KQV,NA,NA,SCV,1,D,C,1080,247,205,13,29,2,150,1
K6KS,NA,NA,SV,1,B1,G,550,100,0,0,100,2,350,1
K6LDF,K6SSI,Lee deForest ARC,ORG,3,A,B,1674,31,0,1,30,2,1610,31
K6LI,NA,North Bay ARA,EB,8,A,G,2734,418,274,0,144,2,1350,50
K6LL,NA,NA,AZ,1,E,G,6764,1802,1422,33,347,2,250,4
K6LMR,NA,NA,SDG,1,B1,G,122,11,0,0,11,2,100,1
K6LRN,NA,NA,SV,1,D,C,250,50,38,12,0,2,50,1
K6MAN,NA,Manteca ARC,SJV,3,F,C,522,235,1,0,234,2,50,7
K6MCS,NA,NA,SV,1,E,B,310,80,0,0,80,2,150,1
K6MEP,NA,Ventura Co ARC,SB,10,A,G,2572,334,37,10,287,2,1810,15
K6MI,NA,Chew's Ridge Gang,SCV,1,AB,B,5720,516,438,0,78,5,950,6
K6MMM,N6OTA,San Lorenzo Valley ARC,SCV,3,A,G,5142,1194,463,229,502,2,1370,60
K6NBR,NA,Newport Beach Repeater Club,ORG,2,A,G,904,146,56,0,90,2,500,20
K6NV,NA,northern california contest club,SV,4,A,G,3836,1112,531,0,581,2,550,5
K6OGO,NA,NA,ORG,1,D,C,32,16,16,0,0,1,0,1
K6ORI,NA,Lamorinda Area Radio Interest Group,EB,2,A,G,838,83,1,0,82,2,670,10
K6OX,K6A,Antelope Valley ARC,LAX,2,A,G,1480,248,17,0,231,2,950,38
K6P,NA,NA,SDG,2,A,B,1570,360,200,0,160,2,450,9
K6PDQ,NA,NA,SB,1,B1,B,484,67,0,0,67,2,350,1
K6PSR,NA,NA,AZ,1,D,C,54,27,0,0,27,2,0,1
K6PV,NA,Palos Verdes ARC,LAX,2,A,G,4208,1087,692,0,395,2,650,25
K6QCB,NA,NA,ORG,1,D,C,110,29,0,1,28,2,50,1
K6QLF,NA,ARC of Alameda,EB,3,AB,B,1595,87,31,31,25,5,850,32
K6QWR,NA,Victor Valley ARC,ORG,3,A,G,970,93,17,0,76,2,750,32
K6SB,NA,NA,SB,1,E,B,1470,112,112,0,0,5,350,1
K6SEE,NA,NA,SDG,5,F,G,2000,414,0,11,403,2,1150,45
K6SNY,NA,Sunnyvale ARES,SCV,2,AC,C,716,127,5,1,121,2,450,60
K6SOA,K6WO,South Orange ARA,ORG,3,A,G,5838,1361,629,174,558,2,1510,57
K6SON,W6SON,Sonoma Co Radio Amateurs,SF,3,A,G,2922,417,233,36,148,2,1550,60
K6T,NA,Sierra ARC,SJV,3,A,G,1054,129,23,0,106,2,750,18
K6TI,NA,Topanga Disaster Radio Team,LAX,4,F,C,1776,506,27,80,399,2,550,40
K6TUO,NA,TCARES,SJV,5,A,G,2102,306,220,0,86,2,1050,20
K6TY,NA,NA,SJV,1,B2,B,936,107,80,6,21,2,550,2
K6VT,NA,HSFDG,SV,3,A,G,1748,406,40,3,363,2,850,8
K6YA,W6VYC,Foothills ARS,SCV,3,A,G,3776,1040,411,2,627,2,870,25
K7A,NA,NA,MT,1,B1,G,1204,290,37,0,253,2,550,1
K7AM (+K7QFE),NA,NA,OR,2,B2,G,366,83,0,0,83,2,200,2
K7AWA,NA,NA,AZ,2,AB,B,1270,103,101,0,2,5,250,3
K7BNR,W7FYV,Bonner Co ARES,ID,4,A,G,1392,123,0,73,50,2,1000,11
K7C,NA,Auburn Area EmComm Team,WWA,2,A,B,1550,109,0,41,68,2,1250,17
K7CCH,NA,NA,OR,2,A,G,1036,205,37,1,167,2,550,35
K7CEM,NA,Centralia ARES / Lewis Co ARES / Chehalis Valley ARS,WWA,5,F,C,1298,295,72,7,216,2,550,28
K7CST,NA,Comms Support Team for Puget Sound Fire,WWA,3,F,G,1438,154,40,0,114,2,1050,52
K7DAA,W6KRK,Morgan Hill ARS / Garlic Valley ARC / San Benito ARA,SCV,4,A,B,1856,343,30,0,313,2,1110,20
K7DAV,N7CN,NA,UT,3,A,B,4504,944,479,154,311,2,1350,44
K7DLX,NA,NA,UT,2,E,G,804,177,0,0,177,2,450,3
K7DTB,NA,NA,AZ,1,D,C,316,43,0,40,3,2,150,1
K7EAR,NA,Eastern Arizona ARS,AZ,3,A,G,2590,399,314,17,68,2,1130,13
K7ELH,NA,NA,SDG,1,B1,G,356,3,0,0,3,2,350,1
K7EW,NA,NA,OR,1,B1B,B,610,26,26,0,0,5,350,1
K7FDF,NA,Renton EmComm Service,WWA,2,A,G,1048,124,0,0,124,2,800,7
K7G,N7ELN,Yellowstone RC,MT,3,A,G,1478,162,0,87,75,2,980,55
K7GGG,NA,NA,AZ,1,B2,B,2716,710,373,0,337,2,550,2
K7GMX,NA,NA,UT,1,B2C,C,118,34,0,0,34,2,50,2
K7HKR,NA,NA,AZ,1,D,C,194,72,0,0,72,2,50,1
K7HON,NA,Honeywell - Glendale ARC,AZ,3,A,B,742,65,0,31,34,2,550,6
K7HP,NA,NA,AZ,1,D,C,118,34,34,0,0,1,50,1
K7JAN,NA,NA,ID,1,D,C,90,45,0,0,45,2,0,2
K7JAR,NA,NA,EWA,2,E,G,1480,265,0,0,265,2,950,3
K7JKM,NA,NA,OR,1,D,C,68,9,0,0,9,2,50,1
K7JQ,NA,NA,AZ,1,D,C,514,128,104,0,24,2,50,1
K7L,NA,NA6ST Snaptrack ARC,AK,1,A,B,1608,92,63,24,5,2,1250,3
K7LED,AE7G,Mike and Key ARC,WWA,8,A,G,15298,4382,1791,11,2580,2,2930,51
K7LTF,NA,NA,WWA,1,D,C,56,28,0,0,28,2,0,1
K7LWH,NA,NA,WWA,4,E,G,1792,313,298,0,15,2,570,26
K7M,NA,RVARC + CARE + JCARES,OR,4,A,G,4932,1257,650,34,573,2,1050,49
K7MGX,NA,NA,UT,1,B2C,C,118,34,0,0,34,2,50,2
K7MK,NA,NA,ID,1,D,C,818,630,138,0,492,1,50,1
K7MPR,WB6KOO,NA,AZ,5,A,G,3494,797,35,90,672,2,1650,42
K7MVA,NA,Magic Valley ARC,ID,4,A,G,3068,614,295,0,319,2,1250,12
K7MY,NA,NA,AZ,1,D,C,94,26,21,0,5,2,0,1
K7NEW,NA,NA,WWA,1,E,B,778,157,157,0,0,2,150,1
K7NWS,NA,Boeing Employees ARS,WWA,2,F,C,2116,420,263,0,157,2,750,16
K7OJL,NA,NA,UT,1,D,C,78,12,0,2,10,2,50,1
K7P,NA,Pahrump AR Repeater Assn,NV,2,A,G,670,109,1,0,108,2,450,28
K7PCB,NA,NA,UT,1,D,C,138,22,0,22,0,2,50,1
K7PDW,NA,NA,UT,1,E,B,560,46,0,46,0,5,100,1
K7RDG,W7SVD,Cochise ARA,AZ,3,F,C,4316,924,480,189,255,2,1130,41
K7RFH,NA,NA,WWA,1,E,G,66,8,0,0,8,2,50,1
K7RFW,NA,NA,UT,1,E,B,690,101,0,69,32,2,350,1
K7RL,NA,NA,WWA,1,D,C,1547,931,566,0,365,1,50,1
K7RQN,NA,NA,AZ,1,E,G,226,58,0,5,53,2,100,1
K7RTL,NA,Coast to Range ARC,OR,3,A,G,1534,202,22,18,162,2,1050,6
K7RTM,NA,Read The Manual,AZ,1,A,B,2092,874,0,12,862,2,320,5
K7SI,NA,Snake River ARC,ID,6,AB,B,2830,227,111,18,98,5,1050,12
K7T,W7AI,Oro Valley ARC,AZ,3,F,C,5554,1225,813,114,298,2,1250,40
K7TH,NA,NA,MI,1,E,B,1352,464,0,37,427,2,350,1
K7UAZ,NA,Univ of AZ ARC,AZ,3,A,G,586,68,0,0,68,2,450,7
K7UM,NA,NA,UT,1,D,C,4456,1426,777,0,649,2,50,3
K7UVA,K7GSL,NA,UT,3,A,G,4236,1237,0,246,991,2,1270,55
K7V,NA,West Valley ARC,AZ,4,A,G,6210,1526,1037,17,472,2,1050,53
K7VBY,NA,NA,OR,1,D,C,70,7,0,3,4,2,50,1
K7XC,NA,NA,NV,1,E,G,1285,740,332,63,345,1,150,1
K7YIC,NA,NA,OR,1,B1B,B,240,9,9,0,0,5,150,1
K7YJ,NA,NA,AZ,1,D,C,80,15,0,0,15,2,50,2
K7ZYV,NA,NA,MS,1,D,C,254,51,51,0,0,2,50,1
K8AC,NA,NA,NC,1,E,O,2554,600,552,0,48,2,250,1
K8AG/VE3,NA,NA,ONS,1,B1B,B,320,7,7,0,0,5,250,1
K8ARY,NA,NA,SC,1,E,G,1776,418,140,205,73,2,250,1
K8BF,NA,Portage Co ARS,OH,4,A,G,13186,4320,1133,315,2872,2,1650,72
K8BLP,NA,Triangle ARC,OH,3,A,G,1412,290,141,0,149,2,550,7
K8BMI,KB8YGQ,Barry ARA,MI,5,A,G,1910,367,27,106,234,2,910,17
K8BRC,NA,Black River ARC,MI,4,A,G,1588,385,0,74,311,2,670,28
K8BTU,NA,NA,OH,1,B1,G,3986,959,959,0,0,2,150,1
K8BXQ,NA,Fulton Co ARC,OH,4,A,G,1904,358,18,151,189,2,850,8
K8CI,NA,NA,OH,1,D,C,1222,268,268,0,0,2,150,1
K8CY,KC8NAN,Ashtabula Co ARC,OH,3,AC,C,1688,393,0,6,387,2,890,15
K8DAA,KE8BSL,Holland ARC,MI,6,A,G,6506,1711,492,245,974,2,1610,37
K8DAC,NA,Saginaw Valley ARA and Midland ARC,MI,6,A,G,2086,290,172,76,42,2,1010,20
K8DF,KC8AJH,Stonewall Jackson ARA,WV,3,A,G,6390,1936,447,227,1262,2,1170,30
K8DRC,NA,Dayton Area Chptr Am Red Cross,OH,1,A,G,694,111,11,0,100,2,450,5
K8EEN,NA,Mt Vernon ARC,OH,4,AC,C,4530,1253,575,112,566,2,650,16
K8EG,NA,NA,OH,1,B1,B,876,221,142,0,79,2,150,1
K8EMA,NA,Shelby Co Ohio ARES,OH,2,F,G,1336,335,4,29,302,2,600,14
K8EP,NA,Eastern Panhandle ARC,WV,2,A,G,4728,1496,187,6,1303,2,1350,15
K8EPV,NA,Eastern Michigan ARC,MI,2,A,G,1568,240,69,0,171,2,950,18
K8ER,NA,NA,MI,1,B1,B,3146,749,749,0,0,2,150,1
K8ES,W8JK,Delaware ARA,OH,4,F,C,9188,2626,1098,25,1503,2,1690,70
K8ESQ,N8LJ,The FPL Group,MI,3,A,G,3784,916,516,155,245,2,610,7
K8FEY,NA,NA,OH,1,B1C,C,118,59,0,0,59,2,0,1
K8GC,NA,Garden City ARC,MI,3,F,C,1800,318,75,32,211,2,950,19
K8GQB,NA,NA,OH,2,F,C,882,196,70,0,126,2,350,4
K8KRG,NA,Northern Ohio ARS,OH,6,A,G,1734,136,100,6,30,2,1250,20
K8LGN,NA,Hocking Valley ARC,OH,3,A,G,1624,362,175,0,187,2,550,17
K8LL,NA,NA,OH,4,C,G,598,74,0,0,74,2,450,1
K8M/K8BCI,NA,NA,OH,1,B2B,B,595,29,0,0,29,5,450,2
K8MR,NA,NA,OH,1,E,B,1885,184,183,0,1,5,50,1
K8NEO,NA,NA,OH,2,B2C,C,898,137,0,137,0,2,350,2
K8NGW,NA,NA,MI,1,D,C,210,50,30,0,20,2,50,1
K8NOW,NA,Metropolitan ARC,MI,3,A,G,1110,290,0,40,250,2,450,4
K8PA,NA,Thunder Bay ARC,MI,3,A,G,1806,264,81,33,150,2,1050,36
K8PI,W8BLV,Dial RC,OH,3,A,G,7666,1937,1129,2,806,2,1530,35
K8PL,NA,Delta Co ARS,MI,3,A,G,1520,371,0,114,257,2,550,12
K8QIK,NA,Lancaster Fairfield Co ARC,OH,6,A,G,1846,490,106,2,382,2,650,20
K8RJW,NA,NA,OH,1,E,B,350,20,20,0,0,5,150,1
K8RSO,NA,Radio Society of Ohio,WPA,2,A,G,1018,324,0,0,324,2,370,4
K8RYU,NA,NA,OH,1,B1,G,3860,1052,703,0,349,2,350,1
K8SAS,NA,NA,OH,1,E,B,138,44,0,0,44,2,50,1
K8SB,NA,NA,MI,1,D,C,2052,486,465,0,21,2,150,2
K8SCH,N8YC,Oh-Ky-In ARS,OH,3,A,G,7956,2271,797,135,1339,2,1550,30
K8TKA,NA,20/9 RC,OH,5,A,G,2782,556,0,80,476,2,1510,45
K8TS,NA,NA,MI,1,D,C,224,102,10,0,92,2,0,1
K8UNS,K8UTT,LARC-FARL,MI,4,A,G,6816,2206,460,147,1599,2,1190,60
K8UO,NA,Utica Shelby EmComm Assn,MI,9,A,G,7870,1876,1175,9,692,2,1750,42
K8UU,NA,Drake RC,OH,5,AC,C,3440,1166,466,13,687,2,150,6
K8WHB,NA,Geauga ARA,OH,3,F,C,2424,765,0,162,603,2,570,32
K8WZY,NA,NA,OH,1,E,B,172,11,0,0,11,2,150,1
K8YE,NA,Hartwick Pines State Park,MI,1,A,G,828,189,0,0,189,2,450,3
K8YR,NA,Preble ARA,OH,2,A,G,2394,842,230,0,612,2,250,12
K8ZT,NA,NA,DE,2,B1B,B,1530,114,102,0,12,5,450,1
K9APD,W4DTX,Cherokee ARS,GA,5,A,G,3676,733,182,163,388,2,1520,40
K9BY,NA,Greater Beloit ARC,WI,3,A,G,4686,1278,588,102,588,2,750,13
K9DIY,AC9ML,Bloomington ARC,IN,4,A,G,1914,191,0,91,100,2,1350,27
K9DUR,NA,NA,IN,1,D,C,311,201,32,28,141,1,50,1
K9DWS,NA,NA,WI,1,D,C,104,104,0,0,104,1,0,1
K9EAM,NA,Green Bay Mike & Key Club,WI,2,A,G,1806,377,115,36,226,2,750,29
