call,gota_call,score,category,section,pwr_mult,club_name,participants,xmtrs,power_source,total_cw_qs_os,total_digital_qs_os,total_phone_qs_os,total_qs_os,bonus_points
K8JEH,NA,250,1D,MI,2,Utica Shelby Emergency Comms Assn,1,1,C,0,0,50,50,150
K8JGR,NA,104,1D,OH,2,Medina County ARC,1,1,C,0,0,27,27,50
K8KI,NA,646,1D,AL,2,Huntsville ARC,1,1,C,149,0,0,149,50
K8KR,NA,312,1D,OH,2,Northern Ohio DX Assn,1,1,C,31,0,69,100,50
K8KTO,NA,300,1B1B,OH,5,Findlay ARC,1,1,B,0,0,30,30,150
K8KZB,NA,926,1B1,MI,2,Genesee County RC,1,1,B,169,0,0,169,250
K8L,NA,490,4C,OH,2,Wood County ARC,1,4,G,0,0,20,20,450
K8LBH,NA,942,1B1C,MI,2,NA,1,1,C,0,223,0,223,50
K8LBQ,NA,1526,1D,GA,2,Columbus ARC,1,1,C,369,0,0,369,50
K8LBT,NA,330,1D,OH,2,Northern Ohio DX Assn,1,1,C,0,0,140,140,50
K8LE,NA,590,1D,OH,2,CRES ARC,1,1,C,135,0,0,135,50
K8LEF,NA,130,1D,ENY,2,Rip Van Winkle ARS,1,1,C,0,0,40,40,50
K8LJ,NA,708,1D,OH,2,CRES ARC,1,1,C,114,0,101,215,50
K8LJG,NA,360,1D,MI,2,Genesee County RC,1,1,C,90,0,0,90,0
K8LJK,NA,76,1D,AZ,2,Oro Valley ARC,1,1,C,0,0,13,13,50
K8LT,NA,346,1D,NH,2,NA,1,1,C,63,6,10,79,50
K8MA,NA,346,1D,OH,2,NA,1,1,C,74,0,0,74,50
K8MAL,NA,214,1D,OH,2,Cuyahoga Falls ARC,1,1,C,0,0,82,82,50
K8MC,NA,458,1B1,GA,2,Cherokee ARS,1,1,B,0,52,0,52,250
K8MJH,NA,217,1D,OH,1,Mound ARA,1,1,C,0,0,167,167,50
K8MP,NA,2918,1D,OH,2,Delaware ARA,1,1,C,692,0,0,692,150
K8MR,NA,2316,1D,OH,2,Mad River RC,1,1,C,564,0,5,569,50
K8MRT,NA,512,1E,MI,2,NA,1,1,B,46,0,39,85,250
K8MSH,NA,376,1E,OH,2,Mahoning Valley ARA,1,1,G,0,0,113,113,150
K8MU,NA,1834,1D,MI,2,Livonia ARC,1,1,C,446,0,0,446,50
K8NAP,NA,332,1D,OH,2,Madison County (OH) ARC,1,1,C,12,33,51,96,50
K8NGW,NA,598,1D,MI,2,NA,1,1,C,44,60,16,120,150
K8NOW,NA,738,3A,MI,2,Metropolitan ARC,4,3,G,0,26,92,118,450
K8NQ,NA,122,1D,OH,2,Newark Ohio ARA,1,1,C,0,0,36,36,50
K8NQW,NA,4722,2A,OH,2,Not Quite Workable Contest Club,4,2,G,385,558,100,1043,750
K8NVH,NA,470,1D,MI,2,L'Anse Creuse ARC,1,1,C,0,105,0,105,50
K8NVR,NA,2746,1E,OH,2,Medina County ARC,1,1,B,520,104,0,624,250
K8NWD,NA,1350,1D,MI,2,Oakland County ARS,1,1,C,325,0,0,325,50
K8OIP,NA,534,1D,NM,2,Totah ARC,1,1,C,71,25,0,96,150
K8OLS,NA,207,1D,OR,1,Central Oregon Coast ARC,1,1,C,0,0,57,57,150
K8PK,NA,1424,1D,OH,1,Milford ARC,1,1,C,687,0,0,687,50
K8QXO,NA,96,1D,OH,2,Lake County ARA,1,1,C,0,0,23,23,50
K8RDH,NA,330,1D,OH,2,Toledo Mobile Radio Assn,1,1,C,67,0,6,73,50
K8RER,NA,428,1D,OH,2,Bearcat DX Club,4,1,C,0,0,139,139,150
K8RGI,NA,3532,1B2,OH,2,Cuyahoga ARS,2,1,G,552,154,19,725,670
K8RJM,NA,94,1D,OH,1,Cuyahoga Falls ARC,1,1,C,0,0,44,44,50
K8RJW,NA,570,1D,OH,2,NA,1,1,C,130,0,0,130,50
K8RMC,NA,426,1D,OH,2,Wayne ARC,1,1,C,94,0,0,94,50
K8RRT,NA,804,1D,WV,2,West Virginia Amateur Radio,1,1,C,0,180,17,197,50
K8RSO,NA,1250,1B2,WPA,2,Radio Soc of Ohio,2,1,B,0,0,350,350,550
K8RYU,NA,4314,1B1,OH,2,Mad River RC,1,1,G,868,0,246,1114,350
K8SAS,NA,206,1D,OH,1,NA,1,1,C,0,0,156,156,50
K8SB,NA,730,1E,MI,2,Motor City RC,1,1,G,120,0,0,120,250
K8SIX,NA,778,1D,MI,1,Oakland County ARS,1,1,C,0,364,0,364,50
K8SJC,NA,604,3A,MI,2,St. Joseph County (MI) ARC,3,3,B,24,0,79,103,350
K8SJM,NA,1038,1D,OH,2,Bellbrook ARC,1,1,C,0,247,0,247,50
K8SLJ,NA,218,1D,OH,2,Cambridge ARA,1,1,C,0,0,84,84,50
K8SRR,NA,152,1D,OH,2,Portage County Amateur Radio Service,2,1,C,0,3,35,38,70
K8SWS,NA,66,1D,OH,2,Hocking Valley ARC,1,1,C,0,0,8,8,50
K8SYH,NA,1050,1E,VA,2,Fluvanna County ARES,1,1,B,196,0,8,204,250
K8TCS,NA,276,1B1,MI,2,Lowell ARC,1,1,B,0,0,13,13,250
K8TOM,NA,882,1E,WWA,2,Sky Valley ARC,1,1,B,0,133,0,133,350
K8TS,NA,848,1D,MI,2,Cascades ARS,1,1,C,194,0,11,205,50
K8TSG,NA,350,1B1,OH,2,NA,1,1,B,0,50,50,100,50
K8TW,NA,2798,1D,OH,2,Mountaineer ARA,1,1,C,687,0,0,687,50
K8UDH,NA,470,1D,NE,2,Prairie Dog ARC,1,1,C,105,0,0,105,50
K8UHL,NA,62,1D,KY,2,NA,1,1,C,0,3,0,3,50
K8USA,NA,382,1E,SC,2,Salkehatchie ARS,1,1,G,0,0,116,116,150
K8UT,NA,2366,1D,MI,2,South Lyon Area ARC,1,1,C,579,0,0,579,50
K8UU,NA,3172,3AC,OH,2,Drake Contest Club,7,3,C,0,563,235,798,450
K8VA,NA,310,1D,MI,2,SAARS,1,1,C,60,5,0,65,50
K8VAN,NA,100,1E,NNJ,2,Sussex County ARC,1,1,G,0,0,25,25,50
K8VT,NA,524,1D,MI,2,South Lyon Area ARC,1,1,C,118,0,1,119,50
K8WDA,NA,278,1D,KY,2,Northern Kentucky ARC,1,1,C,0,57,0,57,50
K8WMU,NA,322,1B1,MI,2,Blossomland ARA,1,1,G,0,0,111,111,100
K8WSR,NA,250,1E,MI,2,Midland (MI) ARC,1,1,B,0,0,50,50,150
K8WU,NA,206,1D,MI,2,Hazel Park ARC,1,1,C,28,6,10,44,50
K8WV,NA,1324,1D,WV,2,Monongalia Wireless Assn,1,1,C,304,0,29,333,50
K8WWS,NA,550,1D,OH,2,Dial RC of Middletown,1,1,C,100,0,0,100,150
K8WZY,NA,58,1D,OH,2,NA,1,1,C,0,0,4,4,50
K8YE,NA,1550,1D,MI,2,Barry Amateur Radio Assn,1,1,C,0,375,0,375,50
K8YHY,NA,164,1D,WV,2,Steubenville-Weirton ARC,1,1,C,0,0,57,57,50
K8YLK,NA,184,1D,OH,2,Portage County Amateur Radio Service,1,1,C,0,0,67,67,50
K8YMG,NA,52,1D,OH,2,CRES ARC,1,1,C,0,0,1,1,50
K8YR,NA,398,1F,OH,2,Preble ARA,1,1,C,0,0,174,174,50
K8YYY,NA,514,1D,WV,1,Mountaineer ARA,1,1,C,0,232,0,232,50
K8ZT,NA,5480,2E,OH,5,Cuyahoga Falls ARC,1,2,B,301,159,62,522,570
K9ABR,NA,176,1D,IL,2,NA,1,1,C,0,0,63,63,50
K9ACM,NA,244,1B2,MI,2,Hamfesters RC,2,1,G,3,0,31,34,170
K9AGR,NA,758,2A,KY,2,Eastern Shore ARC,4,2,G,0,77,0,77,450
K9AI,NA,462,2B2,IL,2,618 Comms,2,2,B,0,1,54,55,350
K9ASM,NA,380,1E,IL,2,Chicago Suburban Radio Assn,1,1,B,0,0,65,65,250
K9AVT,NA,2640,1B1,WY,5,Carbon County DXCC,1,1,S,0,229,0,229,350
K9BAZ,NA,122,1D,IL,2,Knox County ARC,1,1,C,0,18,0,18,50
K9BDH,NA,336,1D,IL,1,Woodford Repeater Assn,3,1,C,0,20,226,246,70
K9BLR,NA,1142,1E,IN,2,Southern IN ARA,1,1,B,0,248,0,248,150
K9BTQ,NA,452,1D,WI,2,West Allis RAC,1,1,C,100,0,1,101,50
K9BY,NA,992,1D,IL,2,Greater Beloit ARC,1,1,C,0,201,19,220,150
K9CHP,NA,1290,1D,WNY,2,Radio Amateurs of Greater Syracuse,1,1,C,0,260,0,260,250
K9CJ,NA,2458,1D,IL,2,Metro DX Club,1,1,C,602,0,0,602,50
K9CPO,NA,718,1E,WI,2,NA,1,1,G,140,0,4,144,150
K9CS,NA,1170,1D,IL,2,Metro DX Club,1,1,C,280,0,0,280,50
K9CT,NA,4442,1E,IL,1,Peoria Area ARC,1,1,G,2146,0,0,2146,150
K9CW,NA,2046,1D,IL,2,Twin City (IL) ARC,1,1,C,0,499,0,499,50
K9CWD,NA,708,2A,IN,2,Hoosier Lake RC,12,2,G,8,0,63,71,550
K9DEB,NA,434,1D,IL,2,Society of Midwest Contesters,1,1,C,0,96,0,96,50
K9DH,NA,910,1D,MI,2,Lowell ARC,1,1,C,57,158,0,215,50
K9DIY,NA,216,1D,IN,2,Bloomington ARC,1,1,C,0,0,83,83,50
K9DJT,NA,860,1B1,WI,2,Ozaukee RC,1,1,G,167,0,21,188,150
K9DNO,NA,328,1E,IL,2,Okaw Valley ARC,1,1,G,0,0,89,89,150
K9DOD,NA,678,1E,VA,2,King George Amateur Radio Operators,1,1,B,0,0,69,69,540
K9DRH,NA,96,1D,IL,2,Lake County RACES/ARES,1,1,C,0,0,23,23,50
K9DRW,NA,764,1D,IL,2,Lake County RACES/ARES,1,1,C,0,0,357,357,50
K9DUR,NA,310,1D,IN,2,Wabash Valley ARA,1,1,C,20,0,40,60,150
K9DWR,NA,66,1D,IL,2,PODXS 070,1,1,C,0,4,0,4,50
K9DXA,NA,1462,1D,IL,2,Fox River Radio League,1,1,C,353,0,0,353,50
K9EA,NA,222,1D,IN,1,Fort Wayne RC,1,1,C,0,30,112,142,50
K9EAM,NA,578,2A,WI,2,Green Bay Mike & Key Club,20,2,G,0,0,14,14,550
K9EDD,NA,214,1E,WI,2,Green Bay Mike & Key Club,1,1,B,0,0,82,82,50
K9EGS,NA,320,1B1,IL,2,Tri-Town Radio Amateur Club,1,1,B,0,16,3,19,250
K9EL,NA,165,1E,IL,5,Metro DX Club,1,1,B,0,0,3,3,150
K9ELF,NA,846,1D,IN,2,Lafayette DX Assn,1,1,C,0,171,6,177,150
K9ESV,NA,3946,2F,IL,2,McHenry County RACES/ARES,15,2,G,802,0,94,896,550
K9EW,NA,754,1D,IL,2,Dupage ARC,1,1,C,101,0,0,101,350
K9EXY,NA,1580,1B1B,IN,5,Tri State ARS,1,1,B,143,0,0,143,150
K9FAA,NA,82,1D,IN,2,NA,1,1,C,0,0,16,16,50
K9FBA,NA,94,1D,WCF,2,Aardvark Wireless Group,1,1,C,0,11,0,11,50
K9FE,NA,488,1D,IL,2,Fox River Radio League,1,1,C,0,28,163,191,50
K9FEH,NA,66,1D,IL,1,Dupage ARC,1,1,C,0,0,16,16,50
K9FI,NA,348,1E,WI,2,Milwaukee Radio Amateurs' Club,2,1,B,0,0,99,99,150
K9FLO,NA,786,1D,IL,2,Greater Beloit ARC,1,1,C,0,184,0,184,50
K9GA,NA,294,1E,IL,2,Metro DX Club,1,1,G,2,20,28,50,150
K9GB,NA,970,1D,WI,2,Green Bay Mike & Key Club,1,1,C,201,0,8,209,150
K9GDF,NA,2130,1D,WI,2,W/K ARC of Greater Milwaukee,1,1,C,490,0,0,490,170
K9GL,NA,626,1D,WI,2,W/K ARC of Greater Milwaukee,1,1,C,0,144,0,144,50
K9GY,NA,170,1B1,IL,2,Society of Midwest Contesters,1,1,B,0,0,10,10,150
K9HMX,NA,290,1D,IN,2,Muncie Area ARC,1,1,C,0,27,16,43,150
K9HRO,NA,198,1E,GA,2,Ellijay ARS,1,1,G,0,0,24,24,150
K9IA,NA,550,1D,NFL,2,The Villages ARC,1,1,C,125,0,0,125,50
K9ICP,NA,648,1D,IN,2,Mid-State ARC,1,1,C,0,0,299,299,50
K9IDQ,NA,290,1D,IL,2,Sangamon Valley RC,1,1,C,0,0,120,120,50
K9IJ,NA,418,1D,IL,2,Suburban UHF Am Repeater Soc,1,1,C,0,91,2,93,50
K9IL,NA,3190,1D,TN,2,Reelfoot ARC,1,1,C,785,0,0,785,50
K9IPO,NA,270,1E,NLI,5,Larkfield ARC,1,1,B,0,0,4,4,250
K9IU,NA,4506,1B2,IN,2,ARC at Indiana University,2,1,B,1039,0,0,1039,350
K9IZ,NA,1896,1A,IN,2,Iguana Air Corps Contest Club,3,1,G,156,0,611,767,50
K9JDM,NA,354,1B1,IL,2,Schaumburg ARC,1,1,B,0,44,14,58,150
K9JDN,NA,678,1D,IL,2,Lewis and Clark RC,1,1,C,0,132,0,132,150
K9JK,NA,570,1C,IL,5,McHenry County Wireless Assn,1,1,B,9,0,24,33,360
K9JP,NA,846,1E,MI,2,Straight Key Century Club,1,1,G,0,149,0,149,250
K9JWI,NA,1294,1D,IN,2,Tippecanoe Amateur Radio Assn,1,1,C,311,0,0,311,50
K9JX,NA,722,3A,IL,2,Jacksonville ARS,4,3,G,13,25,10,48,550
K9KE,NA,3004,1E,IL,2,York RC,1,1,B,55,46,1075,1176,450
K9KEU,NA,1646,1D,WI,2,Tri County ARC (WI),1,1,C,374,0,0,374,150
K9KM,NA,2078,1D,IL,2,Lake County RACES/ARES,1,1,C,507,0,0,507,50
K9KMS,NA,228,1D,WI,2,NA,1,1,C,0,0,89,89,50
K9KMV,NA,555,1B1B,IL,5,Schaumburg ARC,1,1,B,0,0,41,41,350
K9KTU,NA,300,1B1,WI,2,Chicago Suburban Radio Assc.,1,1,G,0,0,25,25,250
K9LAE,NA,470,1D,IL,2,Six Meter Club of Chicago,1,1,C,54,0,102,156,50
K9LCK,NA,294,1D,WI,2,Wisconsin Valley Radio Assn,1,1,C,36,0,0,36,150
K9LEZ,NA,72,1D,IL,2,Dupage ARC,1,1,C,0,0,11,11,50
K9LGU,NA,2246,1D,WI,2,Tri County ARC (WI),2,1,C,475,0,38,513,270
K9LH,NA,92,3D,IL,2,Six Meter Club of Chicago,2,3,C,0,0,21,21,50
K9LJN,NA,4926,1E,IL,2,Greater Beloit ARC,1,1,G,1219,0,0,1219,50
K9MD,NA,74,1D,IN,1,NA,1,1,C,0,0,24,24,50
K9MEV,NA,258,1E,IL,2,Fox River Radio League,1,1,G,0,25,4,29,150
K9MIX,NA,108,1D,WI,2,Wisconsin Valley Radio Assn,1,1,C,0,0,29,29,50
K9MJA,NA,96,1D,IN,2,NA,1,1,C,0,0,23,23,50
K9MMS,NA,2598,1D,IL,2,Fox River Radio League,1,1,C,612,0,0,612,150
K9MOT,NA,1250,1A,WI,2,Motorola ARC,3,1,G,1,0,248,249,750
K9MWM,NA,832,1B2,CO,2,Ski Country ARC,2,1,G,0,0,341,341,150
K9NO,NA,4238,2D,IL,2,Montgomery ARC/Damascus ECT,4,2,C,574,249,448,1271,50
K9NW,NA,882,1D,OH,2,Southwest Ohio DX Assn,1,1,C,208,0,0,208,50
K9NYO,NA,312,1D,IL,2,Bolingbrook ARS,1,1,C,0,30,71,101,50
K9OT,NA,1552,1D,WI,2,Hidden Valleys ARC,1,1,C,375,0,1,376,50
K9OZ,NA,1620,1E,AR,5,Four State QRP Group,1,1,B,157,0,0,157,50
K9PLX,NA,494,1D,IL,2,York RC,1,1,C,111,0,0,111,50
K9PMV,NA,2440,1B1B,IL,5,Tri-Town Radio Amateur Club,1,1,B,229,0,0,229,150
K9PW,NA,4126,1B1,IL,2,Fox River Radio League,1,1,B,650,0,638,1288,250
K9QJS,NA,722,1D,WWA,2,San Juan County ARS,1,1,C,0,158,20,178,50
K9QLP,NA,126,1D,WI,2,Ozaukee RC,1,1,C,0,0,38,38,50
K9RBH,NA,482,1E,IN,1,Patoka Valley ARC,1,1,B,0,0,132,132,350
K9RE,NA,250,1D,IL,2,North Shore (IL) RC,1,1,C,0,50,0,50,50
K9RN,NA,8930,2A,IL,2,McHenry County Wireless Assn,10,2,G,1448,431,127,2006,1160
K9ROM,NA,91,1D,IL,1,Dupage ARC,1,1,C,0,0,41,41,50
K9RST,NA,1126,1E,IL,2,North Shore (IL) RC,1,1,G,0,118,52,170,550
K9RZ,NA,105,1D,AZ,1,Fox River Radio League,1,1,C,0,5,45,50,50
K9SE,NA,336,1E,IN,2,Lafayette DX Assn,1,1,G,9,0,25,34,250
K9SH,NA,3030,1E,IN,2,NA,1,1,G,303,0,834,1137,150
K9SS,NA,218,1D,IL,2,North Shore (IL) RC,1,1,C,42,0,0,42,50
K9T,NA,1424,4A,IL,2,Northern Illinois Quad County Amateur Radio Group,8,4,G,0,52,83,135,1050
K9TA,NA,862,1D,IN,2,Wabash Valley ARA,1,1,C,203,0,0,203,50
K9TAD,NA,266,1D,LAX,2,PAPA System,1,1,C,0,53,2,55,50
K9TCD,NA,150,1D,IL,2,Fox River Radio League,1,1,C,0,0,50,50,50
K9THR,NA,70,1D,IN,2,Mid-State ARC,1,1,C,0,0,10,10,50
K9TJR,NA,250,1D,IL,2,Okaw Valley ARC,1,1,C,0,36,28,64,50
K9TPR,NA,72,1D,LAX,2,Topanga Disaster Radio Team,1,1,C,0,0,11,11,50
K9TWW,NA,166,1E,MN,2,NA,1,1,B,0,0,58,58,50
K9UQF,NA,224,1E,IL,2,Woodford Repeater Assn,1,1,B,3,0,31,34,150
K9UQN,NA,1538,1D,TN,2,Smoky Mountain ARC,1,1,C,347,0,0,347,150
K9US,NA,234,1D,IN,2,Hoosier Hills Ham Club,1,1,C,0,46,0,46,50
K9UXZ,NA,1064,4D,IL,2,National Trail ARC,15,4,C,0,0,347,347,370
K9VD,NA,1326,1D,WWA,2,Mike & Key ARC,1,1,C,55,240,48,343,50
K9VEG,NA,560,1E,VA,5,Ole Virginia Hams,1,1,B,21,0,0,21,350
K9VQA,NA,484,1E,IL,2,NA,1,1,G,0,0,117,117,250
K9WBS,NA,414,1B1,AZ,2,NA,1,1,B,0,0,32,32,350
K9WIS,NA,2610,1B1B,WI,5,W/K ARC of Greater Milwaukee,1,1,B,226,0,0,226,350
K9WPV,NA,228,1D,IN,2,Goshen ARC,1,1,C,0,0,89,89,50
K9WWT,NA,1260,1D,IN,1,NA,1,1,C,605,0,0,605,50
K9WWW,NA,242,1D,WWA,2,NA,1,1,C,0,0,46,46,150
K9WX,NA,4060,1D,IN,2,Lafayette DX Assn,1,1,C,852,50,1,903,450
K9WYF,NA,198,1D,IL,2,River Bend Wireless Operators Club,1,1,C,0,0,74,74,50
K9XE,NA,290,1D,IL,2,Woodford Repeater Assn,1,1,C,8,38,28,74,50
K9XN,NA,127,1D,IN,1,NA,1,1,C,0,0,77,77,50
K9XP,NA,320,1E,IL,2,Fox River Radio League,1,1,B,0,67,1,68,50
K9YNP,NA,640,1C,MT,2,Yellowstone RC,1,1,B,0,63,19,82,350
K9ZA,NA,5264,1A,IL,2,Federation of Amateur Radio Operators,3,1,G,992,0,203,1195,890
K9ZEV,NA,1764,4AC,IN,2,Miami County ARC,13,4,C,0,153,351,504,450
K9ZN,NA,822,1D,WI,2,W/K ARC of Greater Milwaukee,2,1,C,0,188,0,188,70
K9ZO,NA,5976,1D,IL,2,Metro DX Club,1,1,C,1130,0,703,1833,50
K9ZTV,NA,4474,1D,MO,2,Mid-MO ARC,1,1,C,1056,0,0,1056,250
K9ZU,NA,626,1B1,VA,2,NA,1,1,G,105,0,28,133,150
K9ZXO,NA,370,1B1,IL,2,Sangamon Valley RC,1,1,B,0,30,0,30,250
KA1AAR,NA,926,1A,ME,2,Androscoggin ARES/RACES,5,1,G,10,0,218,228,450
KA1AL,NA,146,1D,CT,2,NA,1,1,C,0,24,0,24,50
KA1BNO,NA,154,1D,RI,2,Coventry EMA,1,1,C,0,0,52,52,50
KA1BQP,NA,1450,1E,RI,2,Newport County RC,1,1,G,0,0,450,450,550
KA1BZE,NA,470,1D,EMA,2,3730 Group,1,1,C,7,0,146,153,150
KA1DJ,NA,1460,1D,WCF,2,Peace River Rado Assn,1,1,C,0,118,469,587,50
KA1EMH,NA,60,1D,RI,2,Blackstone Valley ARC,1,1,C,2,0,1,3,50
KA1EWN,NA,266,1D,EMA,2,Sturdy Mem Hospital ARC,1,1,C,0,0,108,108,50
KA1FAI,NA,110,1D,CT,2,Metro North Railroad ARA,1,1,C,0,0,30,30,50
KA1GCN,NA,204,1D,WMA,2,Mohawk ARC,1,1,C,0,0,22,22,160
KA1HPM,NA,156,1D,NC,2,Orange County Radio Amateurs & Durham FM Assn,1,1,C,0,0,53,53,50
KA1KNW,NA,48,1C,CT,2,NA,1,1,B,0,0,24,24,0
KA1LM,NA,116,1D,VT,2,Addison County ARA,1,1,C,0,0,33,33,50
KA1QYP,NA,560,1D,WMA,2,Blackstone Valley ARC,1,1,C,118,0,19,137,50
KA1RUE,NA,436,1D,OH,2,Northern Ohio DX Assn,1,1,C,0,70,53,123,50
KA1SG,NA,1700,1B1B,ME,5,Oxford County ARES,1,1,B,155,0,0,155,150
KA1ULN,NA,322,1D,EMA,2,NA,1,1,C,3,65,0,68,50
KA1VGM,NA,252,1E,NH,2,Cheshire County DX ARC,1,1,G,0,0,51,51,150
KA1WPM,NA,300,1D,CT,2,Wireless Operators of Winsted,1,1,C,31,0,63,94,50
KA1YQC,NA,1674,2D,EMA,2,NA,1,2,C,210,196,0,406,50
KA2AEY,NA,138,1D,WNY,2,NA,1,1,C,0,22,0,22,50
KA2BIG,NA,994,1B1,NV,2,NA,1,1,B,0,0,422,422,150
KA2BXH,NA,60,1D,SNJ,1,David Sarnoff ARC,1,1,C,0,0,10,10,50
KA2CGB,NA,280,1D,WNY,2,Rochester (NY) DX Assn,1,1,C,0,0,115,115,50
KA2CNN,NA,454,1D,RI,2,NA,1,1,C,0,101,0,101,50
KA2D,NA,1644,1D,NLI,2,Radio Central ARC and Order of Boiled Owls of NY,1,1,C,210,85,57,352,350
KA2ENE,NA,644,1D,WNY,2,NA,1,1,C,0,110,77,187,50
KA2F,NA,450,1D,SNJ,2,Garden State ARA,1,1,C,100,0,0,100,50
KA2FHN,NA,656,1E,WNY,2,NA,1,1,B,39,32,61,132,250
KA2FNK,NA,1102,1E,KS,2,Johnson County Radio Amateurs Club,1,1,G,0,238,0,238,150
KA2GQQ,NA,186,1E,NNJ,2,NA,1,1,G,9,0,0,9,150
KA2GVY,NA,430,1D,WNY,2,Radio Assn of Western New York,1,1,C,0,0,90,90,250
KA2IRQ,NA,620,1D,NNJ,2,Garden State ARA,1,1,C,20,69,7,96,250
KA2IWK,NA,950,1E,WNY,2,Radio Assn of Western New York,1,1,B,140,0,20,160,350
KA2IYU,NA,76,1D,AZ,2,Oro Valley ARC,1,1,C,0,0,13,13,50
KA2JAI,NA,322,2D,MDC,2,Maryland Mobileers ARC,2,2,C,0,47,42,89,50
KA2K,NA,1060,1D,SNJ,2,Frankford RC,1,1,C,0,0,505,505,50
KA2QOD,NA,72,1D,NNJ,2,Sussex County ARC,1,1,C,0,0,11,11,50
KA2QPG,NA,3430,1AB,WPA,5,Pennsylvania Knightlites,4,1,B,311,0,10,321,270
KA2QQQ,NA,270,1E,SNJ,2,Ocean Monmouth ARC,1,1,B,0,0,10,10,250
KA2R,NA,358,1D,ENY,2,QSY Soc,1,1,C,0,77,0,77,50
KA2S,NA,558,1D,NLI,2,Great South Bay ARC,1,1,C,102,0,0,102,150
KA2TQV,NA,290,1D,NLI,2,NA,1,1,C,0,60,0,60,50
KA2TSD,NA,174,1E,NNY,2,North Franklin ARS,1,1,G,0,0,12,12,150
KA2VLP,NA,844,2D,EPA,2,Pottstown Area ARC,2,2,C,0,57,233,290,150
KA2WIK,NA,568,1D,WNY,2,Niagara Frontier Radiosport,1,1,C,99,30,1,130,50
KA2YNH,NA,390,1D,SNJ,2,Old Barney ARC,1,1,C,60,0,0,60,150
KA2YRA,NA,326,1D,ENY,2,Fair Lawn ARC,1,1,C,0,69,0,69,50
KA3CZY,NA,174,1D,WV,1,Antietam Radio Assn,1,1,C,0,1,122,123,50
KA3DCO,NA,286,1E,MDC,2,Easton ARS,2,1,G,0,1,66,67,150
KA3HNK,NA,82,1D,MDC,2,Northeast Maryland Amateur Radio Contest Soc,1,1,C,0,0,16,16,50
KA3HSW,NA,182,1D,IL,2,Wheaton Community Radio Amateurs,1,1,C,0,0,16,16,150
KA3KSP,NA,114,1C,WPA,2,NA,1,1,G,0,0,32,32,50
KA3KST,NA,258,1D,WPA,2,Butler County AR Public Srvc Group,1,1,C,0,0,104,104,50
KA3LXM,NA,566,1D,MDC,2,Fort Washington ARC,1,1,C,100,4,0,104,150
KA3MTT,NA,3190,1D,KY,2,Oh-Ky-In ARS,1,1,C,785,0,0,785,50
KA3RLZ,NA,594,1D,WMA,2,Central Mass ARA,1,1,C,0,0,222,222,150
KA3RQR,NA,222,1D,VA,2,Vienna Wireless Soc,1,1,C,0,0,36,36,150
KA3SME,NA,142,1D,GA,2,ARC of Butts County,1,1,C,0,0,46,46,50
KA3TTT,NA,90,1D,EPA,2,Holmesburg ARC,1,1,C,10,0,0,10,50
KA3VEB,NA,106,1D,WPA,2,Monessen ARC,1,1,C,0,0,28,28,50
KA3YJM,NA,271,1D,MDC,1,Northeast Maryland Amateur Radio Contest Soc,1,1,C,0,60,1,61,150
KA3ZLS,NA,842,1D,DE,2,Kent County ARC,1,1,C,0,198,0,198,50
KA4APE,NA,76,1D,NC,2,Sparta ARC,1,1,C,0,0,13,13,50
KA4BKA,NA,340,1B1B,TN,5,Williamson County ARES,1,1,B,0,0,38,38,150
KA4CDN,NA,2115,1E,VA,5,Vienna Wireless Soc,1,1,B,174,0,25,199,250
KA4ERK,NA,70,1D,WNY,2,ARA of the Southern Tier,1,1,C,0,0,10,10,50
KA4FVE,NA,194,1D,SC,2,Grand Strand ARC,1,1,C,0,0,72,72,50
KA4GFY,NA,874,1E,VA,2,Alexandria RC,1,1,B,45,0,172,217,350
KA4HHM,NA,594,1B1,NFL,2,NA,1,1,B,0,61,0,61,350
KA4J,NA,1150,2D,TN,2,Cleveland ARC,9,2,C,0,132,186,318,250
KA4JJD,NA,54,1D,VA,2,Albemarle ARC,1,1,C,0,0,2,2,50
KA4KKF,NA,1358,1D,GA,2,Gwinnett ARS,1,1,C,0,302,0,302,150
KA4NDY,NA,166,1E,AL,2,Highlands Hams,1,1,B,0,0,8,8,150
KA4OTB,NA,314,1D,TN,1,Williamson County ARES,1,1,C,0,0,264,264,50
KA4R,NA,670,1D,TN,2,Bristol (TN) ARC,1,1,C,155,0,0,155,50
KA4RRU,NA,574,1D,VA,2,Woodbridge Wireless,1,1,C,118,13,0,131,50
KA4SFF,NA,458,1D,NC,2,Hampstead Hams,1,1,C,0,77,0,77,150
KA4SQN,NA,614,1D,NC,2,Hampstead Hams,1,1,C,0,75,32,107,250
KA4SWT,NA,256,1D,KY,2,Wilderness Road ARC,1,1,C,0,0,103,103,50
KA4WYC,NA,510,1E,SC,2,Charlotte ARC,1,1,B,0,0,30,30,450
KA4ZDR,NA,450,1D,TN,2,Maury ARC,1,1,C,0,0,200,200,50
KA4ZZQ,NA,114,1D,NE,2,Ak Sar Ben ARC,1,1,C,0,0,32,32,50
KA5B,NA,410,1D,NM,2,Eastern New Mexico ARC,1,1,C,0,90,0,90,50
KA5CJJ,NA,3360,2B2B,OK,5,NA,2,2,B,232,0,138,370,350
KA5CRL,NA,802,1B1C,NTX,2,NA,1,1,C,163,0,0,163,150
KA5D,NA,1610,1B2B,STX,5,Edge Lords,2,1,B,0,105,2,107,550
