call,gota_call,final_score,class,section,power_multiplier,club_name,number_of_participants,transmitters,power_source,total_cw_qsos,total_digital_qsos,total_phone_qsos,total_qsos,bonus_points,checklog_y_n
K7YMG,NA,1084,1D,SDG,2,Escondido ARS,1,1,C,0,246,0,246,100,NA
K7ZYV,NA,130,1D,MS,2,NA,1,1,C,20,0,0,20,50,NA
K8AC,NA,2766,1D,NC,2,NA,1,1,C,679,0,0,679,50,NA
K8ARY,NA,908,1D,SC,2,Splinter Grp. ARC,1,1,C,125,64,1,190,150,NA
K8BAY,KE8EAJ,2428,4A,MI,2,Bay Area ARC,20,4,G,145,93,78,316,1320,NA
K8BF,KP4VZ,11672,4A,OH,2,Portage Co. ARS,60,4,G,685,739,1893,3317,2190,NA
K8BMI,KC8SFQ,3058,6A,MI,2,Barry ARA,16,6,G,53,408,32,493,1150,NA
K8BRC,KE8TVR,2340,4A,MI,2,Black River ARC,12,4,G,4,221,225,450,990,NA
K8BSR,KE8UTX,8010,7A,OH,2,Black Swamp ARC,15,7,B,79,653,1721,2453,1640,NA
K8BTU,NA,3208,1B1,OH,2,NA,1,1,B,764,0,1,765,150,NA
K8BXQ,NA,1942,4A,OH,2,Fulton Co. (OH) ARC,5,4,G,23,165,170,358,850,NA
K8BZ,NA,590,1D,MI,2,NA,1,1,C,133,2,0,135,50,Y
K8CAD,NA,1232,3A,MI,2,Wexaukee ARC,14,3,G,184,12,49,245,350,Y
K8CHR,NA,960,2A,MI,2,Eaton Co. ARC,5,2,G,0,48,59,107,650,NA
K8CTR,NA,230,1E,MI,2,NA,1,1,B,6,14,0,20,150,NA
K8CY,NA,2444,3AC,OH,2,Ashtabula Co. ARC,4,3,C,213,0,621,834,350,NA
K8DAA,NA,4520,3A,MI,2,Holland ARC,37,3,G,137,510,491,1138,950,NA
K8DAC,NA,4448,7A,MI,2,Saginaw Valley ARA,8,7,G,366,265,77,708,1770,NA
K8DDV,NA,702,1B1,MI,2,NA,1,1,B,0,0,226,226,250,NA
K8DF,WV8HC,8629,3A,WV,2,Central WV Wireless Assn.,23,3,G,0,625,712,1337,4705,NA
K8DLD,NA,174,1E,MI,2,NA,1,1,B,0,0,12,12,150,NA
K8DRC,NA,598,1F,OH,2,ARC Miami Valley Chapter,2,1,C,0,87,0,87,250,Y
K8DSS,NA,890,1D,MI,2,Dial Radio Club of Middletown,1,1,C,210,0,0,210,50,NA
K8EEN,NA,2384,3A,OH,2,Mt. Vernon (OH) ARC,19,3,G,227,23,267,517,850,NA
K8EG,NA,1930,1B1B,OH,5,NA,1,1,B,154,0,28,182,250,NA
K8EP,NA,1470,2A,WV,2,Eastern Panhandle ARC,6,2,G,10,157,76,243,650,NA
K8EPV,NA,1828,2A,MI,2,Eastern MI ARC,15,2,G,233,5,163,401,550,NA
K8ES,W8JK,8825,3A,OH,2,Delaware ARA,25,3,G,1164,319,399,1882,2095,NA
K8G,K8KRG,1821,5A,OH,2,NOARS/LCARA,25,5,B,101,2,27,130,1355,NA
K8GB,NA,938,1E,MI,2,NA,1,1,B,140,32,0,172,250,NA
K8GC,NA,498,2A,MI,2,Garden City ARC,7,2,G,0,0,24,24,450,NA
K8GG,NONE,1252,2F,MI,2,Calhoun Co. Skywarn Grp.,13,2,G,165,0,121,286,350,NA
K8GNG,NA,554,1E,TN,2,WCARES-TN,1,1,B,0,101,0,101,150,NA
K8GT,NA,830,1D,MI,2,Hazel Park ARC,1,1,C,154,41,0,195,50,NA
K8HEF,NA,298,1E,OH,2,Mound ARA,1,1,G,0,0,74,74,150,NA
K8IJ,NA,734,1D,KY,2,Kentucky Contest Grp.,1,1,C,102,69,0,171,50,NA
K8LGN,NA,1254,3AC,OH,2,Hocking Valley ARC,15,3,C,75,0,152,227,650,NA
K8LL,NA,102,4D,OH,2,Wood Co. ARC,1,4,C,0,0,26,26,50,NA
K8LOW,NA,1674,4A,MI,2,Lowell ARC/Riverside Radio Amateurs,28,4,G,3,126,154,283,850,NA
K8MR,NA,350,1D,OH,2,NA,1,1,C,75,0,0,75,50,NA
K8MV,NA,1098,1D,SFL,2,Florida Contest Grp.,1,1,C,262,0,0,262,50,NA
K8NGW,NA,744,1D,MI,2,NA,1,1,C,57,74,35,166,150,NA
K8NOW,NA,678,3A,MI,2,Metropolitan ARC,4,3,G,0,13,88,101,450,NA
K8NQW,NA,6406,2AC,OH,2,Not Quite Workable Contest Club,6,2,C,631,664,138,1433,950,NA
K8ONT,NA,526,3A,MI,2,Ontonagon Co. ARA,4,3,B,43,0,2,45,350,NA
K8OS,NA,202,1D,MN,2,Minnesota Wireless Assn.,1,1,C,0,38,0,38,50,NA
K8PI,W8BLV,6248,3A,OH,2,Dial Radio Club of Middletown,24,3,G,509,438,150,1097,2160,NA
K8RTS,NA,150,1E,OH,2,NA,1,1,B,0,0,50,50,50,NA
K8RYU,NA,3676,1B1,OH,2,Mad River RC,1,1,G,746,0,221,967,250,NA
K8SCA,NA,186,1E,OH,2,NA,1,1,B,0,0,18,18,150,NA
K8SCH,N8YC,7533,3A,OH,2,Oh-Ky-In ARS,30,3,G,839,234,663,1736,1915,NA
K8SJC,NA,266,2A,MI,2,St. Joseph Co. MI ARC,5,2,B,0,0,8,8,250,NA
K8SRR,NA,834,1D,VA,2,NA,2,1,C,0,0,382,382,70,NA
K8SSN,NA,616,1E,TN,2,NA,1,1,B,0,0,83,83,450,NA
K8STU,NA,90,1D,OH,2,NA,1,1,C,0,0,20,20,50,NA
K8TIH,KG8FH,2827,6A,OH,2,Wood Co. ARC,12,6,G,89,210,263,562,1105,NA
K8UHL,NA,170,1B1C,KY,2,NA,1,1,C,30,0,0,30,50,NA
K8UNS,NA,8150,4A,MI,2,Livonia ARC/Ford ARL,70,4,G,427,634,1358,2419,1190,NA
K8UO,NA,1640,5A,MI,2,Utica Shelby EmComm Assn.,17,5,G,225,0,95,320,550,NA
K8UU,NA,2022,2AC,OH,2,Drake ARC,12,2,C,0,368,0,368,550,NA
K8V,W8UKE,4184,2F,OH,2,Athens Co. ARA,11,2,S,29,424,251,704,1870,NA
K8VNQ,AD8DA,3115,2AC,WV,2,Mountain State Transmitters,16,2,C,0,77,346,423,2115,NA
K8WDA,NA,190,1D,KY,2,Northern KY ARC,1,1,C,0,35,0,35,50,NA
K8WS,NA,450,1B1,OH,2,NA,1,1,B,70,0,10,80,150,NA
K8WSL,NA,466,3AC,OH,2,Wireless Soc. of Lorain Co.,3,3,C,21,5,56,82,250,NA
K8WU,NA,1218,1E,MI,2,Who Cares ARG,1,1,B,182,25,10,217,370,NA
K8YC,NA,82,1D,NC,2,Carolina DX Assn.,1,1,C,0,0,16,16,50,NA
K8YJ,NA,200,1E,OH,2,NA,1,1,B,0,0,75,75,50,NA
K8YR,NA,894,2F,OH,2,Preble ARA,10,2,C,60,0,102,162,450,NA
K8YYF,NA,142,1D,MI,2,NA,1,1,C,0,0,46,46,50,NA
K8YYY,NA,478,1D,WV,2,Mountaineer ARA,1,1,C,0,107,0,107,50,NA
K8ZT,NA,3345,2B1B,WV,5,Cuyahoga Falls ARC,1,2,B,176,62,15,253,890,NA
K9A,NA,8870,2AB,WI,5,QRP PALS,5,2,B,596,226,0,822,650,NA
K9ACM,NA,430,1D,IL,2,Hamfesters Radio Club,1,1,C,90,0,10,100,50,NA
K9BBV,NA,200,1B1B,WI,5,NA,1,1,B,0,0,10,10,150,NA
K9BEL,NA,2008,3A,WI,2,Greater Beloit ARC,10,3,G,250,43,143,436,550,NA
K9BRM,NA,196,1E,WI,2,NA,1,1,B,0,0,23,23,150,NA
K9BRS,NA,662,1E,IN,2,NA,1,1,B,101,0,4,105,250,NA
K9C,NA,1844,3A,IL,2,Kishwaukee ARC,6,3,B,152,71,51,274,850,NA
K9CBI,NA,62,1E,IL,2,NA,1,1,B,0,3,0,3,50,NA
K9CEW,NA,150,1D,IL,2,NA,1,1,C,25,0,0,25,50,NA
K9CI,NA,96,1D,IL,2,NA,1,1,C,0,0,23,23,50,NA
K9CPO,NA,570,1E,WI,2,NA,1,1,G,103,0,4,107,150,NA
K9CTS,NA,70,1D,WI,2,NA,1,1,C,5,0,0,5,50,NA
K9CU,KB9OFH,2174,3A,IL,2,Twin Cities ARC,14,3,G,0,212,258,470,810,NA
K9DCH,NA,440,1B1,ENY,2,NA,1,1,B,0,35,25,60,250,NA
K9DHC,NA,184,1B1C,WTX,2,Sun City ARC,1,1,C,0,0,7,7,170,NA
K9DUR,NA,322,1D,IN,2,Wabash Valley ARA,1,1,C,36,0,14,50,150,NA
K9E,W9AXD,1738,2A,IL,2,Rockford ARA,25,2,G,0,6,257,263,1200,NA
K9EAM,NA,1934,4A,WI,2,Green Bay Mike & Key Club,39,4,G,2,5,328,335,1250,NA
K9EEH,NA,794,1D,IL,2,NA,1,1,C,0,186,0,186,50,NA
K9EGS,NA,388,1B1,IL,2,Tri-Town RAC,1,1,B,0,0,19,19,350,NA
K9ELF,NA,368,1D,IN,2,Lafayette DX Assn.,1,1,C,0,62,10,72,100,NA
K9ESV,NA,4794,2F,IL,2,McHenry Co. RACES/ARES,10,2,G,956,0,110,1066,750,NA
K9GA,NA,546,1E,IL,2,Soc. of Midwest Contesters,1,1,S,5,94,0,99,150,NA
K9GXU,NA,2930,4A,IL,2,St. Clair ARC,15,4,B,0,338,164,502,1250,NA
K9HAM,NA,1686,3A,IL,2,Lewis and Clark RC,30,3,B,2,43,28,73,1450,NA
K9HD,NA,1306,2A,IN,2,Land of Lakes ARC,10,2,G,30,0,168,198,850,NA
K9HGX,NA,420,1A,IL,2,Cenois ARC,7,1,B,11,0,13,24,350,NA
K9ILS,NA,10406,3A,IL,2,Fulton Co. (IL) ARC,15,3,G,1741,594,158,2493,750,NA
K9IQP,W9QL,5218,3F,IL,2,Lake Co. RACES/ARES,10,3,C,433,155,913,1501,1040,NA
K9IU,KD9DIY,2545,2A,IN,2,Bloomington ARC/K9IU/SIARA,11,2,B,143,6,292,441,1365,NA
K9JP,NA,1640,1B1B,MI,5,NA,1,1,B,0,139,0,139,250,NA
K9JPP,NA,164,1D,IL,2,NA,1,1,C,0,0,7,7,150,NA
K9JX,NA,1178,4AC,IL,2,Jacksonville ARS,10,4,C,121,25,122,268,350,NA
K9K,NA,5372,6A,IL,2,Dupage ARC,65,6,G,713,15,255,983,1950,NA
K9KAW,NA,518,1E,WI,2,NA,1,1,B,0,82,20,102,150,NA
K9KJ/M,NA,326,1C,IL,2,Metro DX Club,1,1,B,44,0,0,44,150,NA
K9LGU,NA,1000,1D,WI,2,Tri Co. ARC (WI),1,1,C,210,0,0,210,160,NA
K9LV,NA,162,1C,IL,2,NA,1,1,B,0,0,6,6,150,NA
K9M,K9MCE,4657,3A,IL,2,Macoupin Co. ARC,24,3,G,29,162,1074,1265,1745,NA
K9MMS,NA,3200,1E,IL,5,NA,1,1,B,285,0,0,285,350,NA
K9MOT,NA,1620,1A,WI,2,Motorola ARC,9,1,B,0,38,209,247,1050,NA
K9MRT,NA,608,3AC,IN,2,Martin Co. ARC,6,3,C,0,0,129,129,350,NA
K9NW,NA,862,1D,OH,2,NA,1,1,C,103,100,0,203,50,NA
K9NYO,NA,220,1E,IL,2,Bolingbrook ARS,1,1,B,0,13,9,22,150,NA
K9O,AD9OV,4670,3A,IL,2,Okaw Valley ARC,60,3,G,214,281,540,1035,1610,Y
K9OM,NA,5238,1E,WI,2,NA,1,1,G,849,423,0,1272,150,NA
K9PAP,NA,64,1D,EB,2,South Bay ARA,1,1,C,0,0,7,7,50,NA
K9PLS,NA,376,1D,IL,2,NA,3,1,C,0,67,29,96,50,Y
K9PMV,NA,550,1B1,IL,2,Tri-Town RAC,1,1,B,100,0,0,100,150,NA
K9QA,NA,78,1D,IL,2,NA,1,1,C,0,0,14,14,50,NA
K9RCR,NA,736,2A,IN,2,Fulton Co. (IN) ARC,11,2,B,0,5,23,28,670,NA
K9RN,W9TD,10238,2A,IL,2,McHenry Co. Wireless Assn.,20,2,G,1392,766,33,2191,1540,NA
K9RZ,NA,424,1D,AZ,2,NA,1,1,C,0,92,3,95,50,NA
K9SAT,NA,438,1D,AZ,2,Arizona Outlaws Contest Club,1,1,C,0,97,0,97,50,NA
K9SCV,NA,600,1AB,WI,5,St. Croix Valley Radio Amateurs,11,1,B,15,0,0,15,450,NA
K9SG,NA,726,1D,IN,2,NA,1,1,C,13,7,298,318,50,Y
K9SGB,NA,438,1B1,IL,2,Tri-Town RAC,1,1,B,0,7,5,12,400,NA
K9SH,NA,2802,1D,IN,2,NA,2,1,C,286,0,794,1080,70,NA
K9SS,K9RE,12027,3A,IL,2,North Shore RC,117,3,G,2021,205,604,2830,1915,NA
K9TIT,NA,2822,1A,WI,2,Northeast WI ARC,9,1,B,401,139,36,576,590,NA
K9TSM,NA,1334,6A,IN,2,Goshen ARC,28,6,G,48,69,58,175,750,Y
K9TWW,NA,78,1E,MN,2,NA,1,1,B,0,0,14,14,50,NA
K9UQN,NA,470,1D,TN,2,NA,1,1,C,105,0,0,105,50,NA
K9UXZ,NA,1270,3F,IL,2,National Trail ARC,15,3,C,0,82,146,228,650,NA
K9VD,NA,850,1D,IL,2,Mike & Key ARC,1,1,C,200,0,0,200,50,NA
K9VND,NA,794,2A,IN,2,Blackford ARC,20,2,G,0,36,140,176,370,NA
K9VQA,NA,370,1E,IL,2,Fox River Radio League,1,1,G,0,0,110,110,150,NA
K9WBS,NA,330,1E,AZ,2,NA,1,1,B,0,0,40,40,250,NA
K9WD,NA,882,1B1,WI,2,NA,1,1,B,152,0,62,214,150,NA
K9WKJ,NA,90,1E,WI,2,NA,1,1,B,0,10,0,10,50,NA
K9WPV,NA,70,1D,IN,2,Goshen ARC,1,1,C,5,0,0,5,50,NA
K9WRA,NA,1706,7A,IL,2,Woodford Co. Repeater Assn.,20,7,G,35,16,66,117,1370,NA
K9YC,NA,5180,1E,SCV,5,NA,1,1,B,503,0,0,503,150,NA
K9ZIP,NA,194,1D,WI,2,NA,1,1,C,0,36,0,36,50,NA
K9ZXO,NA,276,1E,IL,2,NA,1,1,B,0,15,33,48,150,NA
KA0AIG,NA,212,1A,MO,2,Show Me Ham Radio Grp.,3,1,B,0,0,31,31,150,NA
KA0CSW,NA,698,1B1,MN,2,NA,1,1,G,137,0,0,137,150,NA
KA0DOS,NA,82,1D,IA,2,Des Moines Radio Amateurs Assn.,1,1,C,0,0,16,16,50,NA
KA0NC,W0NEU,1082,3A,IA,2,Otoe Co. ARA,3,3,B,0,10,121,131,800,NA
KA0OSN,NA,1110,2B1B,KS,5,NA,1,2,B,0,66,0,66,450,NA
KA0WS,NA,878,1D,AL,2,Gloucester Co. ARC,1,1,C,0,207,0,207,50,NA
KA1BMF,NA,138,1D,CT,2,NA,1,1,C,0,17,0,17,70,NA
KA1CTL,NA,156,1D,EMA,2,Barnstable ARC,1,1,C,0,0,53,53,50,NA
KA1GG,NA,3384,4F,EMA,2,Pilgrim Amateur Wireless Assn.,14,4,C,93,221,729,1043,670,NA
KA1GL,NA,184,1D,EMA,2,NA,1,1,C,0,0,67,67,50,NA
KA1KNW,NA,100,1C,CT,2,NA,1,1,B,0,0,50,50,0,NA
KA1PPV,NA,150,1D,CT,2,NA,1,1,C,0,25,0,25,50,NA
KA1SG,NA,2365,1B1B,ME,5,Oxford Co. ARES,1,1,B,200,0,1,201,360,NA
KA1ULN,NA,210,1E,EMA,5,PART of Westford,1,1,B,16,0,0,16,50,NA
KA2BEO,NA,640,1B1B,SNJ,5,NA,1,1,B,44,0,0,44,200,NA
KA2BXH,NA,280,1E,SNJ,2,David Sarnoff ARC,1,1,G,5,0,5,10,250,NA
KA2ENE,NA,924,1D,WNY,2,NA,1,1,C,8,193,35,236,50,NA
KA2FHN,NA,276,1D,WNY,2,NA,1,1,C,23,0,17,40,150,NA
KA2IWK,NA,230,1D,WNY,2,Radio Assn. of Western NY,1,1,C,20,0,0,20,150,NA
KA2JAI,NA,978,1D,MDC,2,NA,1,1,C,0,157,0,157,350,NA
KA2MGE,NA,3566,1D,WNY,2,Radio Assn. of Western NY,1,1,C,522,357,0,879,50,NA
KA2OEE,NA,338,1B1,AR,2,NA,1,1,G,0,0,94,94,150,NA
KA2OUO,NA,1888,1B1,NC,2,NA,1,1,B,359,0,101,460,250,NA
KA3BZO,NA,52,1D,WV,2,NA,1,1,C,0,0,1,1,50,NA
KA3EHL,NA,2794,4A,NFL,2,Orange Park ARC,37,4,G,135,108,86,329,1650,NA
KA3KSP,NA,120,1C,WPA,2,NA,1,1,O,0,0,35,35,50,NA
KA3PMW,NA,532,1D,WPA,2,NA,2,1,C,0,108,0,108,100,NA
KA3TTT,NA,688,1D,EPA,2,Holmesburg ARC,1,1,C,104,0,11,115,250,NA
KA4GFY,NA,650,1B1,VA,2,NA,1,1,B,59,0,82,141,250,NA
KA4HHM,NA,770,1E,NFL,2,NA,1,1,B,0,99,12,111,350,NA
KA4J,NA,6904,6E,TN,2,Cleveland ARC,86,6,G,441,712,296,1449,1700,NA
KA4LTC,NA,120,1D,GA,2,NA,1,1,C,0,17,1,18,50,NA
KA4NDY,NA,318,1B1,AL,2,Highlands Hams,1,1,B,0,0,84,84,150,NA
KA5B,NA,146,2AC,NM,2,Eastern NM ARC,10,2,C,4,0,40,44,50,NA
KA5CJJ,NA,5365,3AB,NTX,5,NE TX QRP Contest Fed.,3,3,B,246,198,115,559,350,NA
KA5D,NA,6195,1AB,NTX,5,South Texas Rovers,3,1,B,188,323,67,578,750,NA
KA5FDX,NA,162,1D,AR,2,NA,2,1,C,0,25,6,31,50,NA
KA5JTM,NA,1104,1D,STX,2,NA,1,1,C,0,226,0,226,200,NA
KA5M,NA,1358,1E,LA,2,CWops,1,1,G,302,0,0,302,150,NA
KA6BJR,NA,252,1B1,SJV,2,NA,1,1,B,0,0,51,51,150,NA
KA6LJR,NA,90,1D,SFL,2,Palos Verdes ARC,1,1,C,0,10,0,10,50,NA
KA6W,NA,458,1D,SV,2,Northern CA Contest Club,1,1,C,102,0,0,102,50,NA
KA7BVS,NA,610,1E,WWA,2,Sky Valley ARC,1,1,B,0,65,0,65,350,NA
KA7EYX,NA,728,1E,ID,2,Bonner Co. ARC,4,1,G,110,0,69,179,150,NA
KA7RON,NA,180,1B1,OR,2,NA,1,1,B,0,0,15,15,150,NA
KA7RRA,NA,166,1D,WWA,2,NA,1,1,C,0,0,58,58,50,NA
KA7X,NA,258,1D,OR,2,NA,1,1,C,0,0,104,104,50,NA
KA8JIL (+W4ORH),NA,1374,1B2,WCF,2,NA,2,1,B,1,166,128,295,450,NA
KA9GDW,NA,246,1D,IN,2,Patoka Valley ARC,1,1,C,0,0,48,48,150,NA
KA9NNR,NA,150,1D,IL,2,NA,1,1,C,0,0,50,50,50,NA
KA9OZP,NA,150,1D,IA,2,NA,1,1,C,0,0,50,50,50,NA
KA9RVJ,NA,74,1D,IN,2,Northeastern IN ARA,1,1,C,0,0,12,12,50,NA
KA9W,NA,564,1D,IL,2,NA,1,1,C,0,96,65,161,50,NA
KB0EOC,NA,76,1A,SD,2,Pennington Co. Radio Auxilliary,3,1,B,0,0,13,13,50,NA
KB0LF,NA,190,1D,NE,2,NA,1,1,C,35,0,0,35,50,NA
KB0MQX,NA,220,1B1,KS,2,NA,1,1,G,0,0,35,35,150,NA
KB0SMX,NA,1534,2A,NE,2,Plattsmouth ARC,22,2,G,150,0,32,182,870,NA
KB0SNI,NA,52,1B1,WWA,2,NA,1,1,B,0,0,1,1,50,NA
KB0TUA,NA,602,1D,MO,2,NA,1,1,C,138,0,0,138,50,NA
KB0VHA,NA,0,1E,CO,0,NA,1,1,G,0,304,0,304,0,Y
KB0YH,NA,406,1E,CO,2,NA,1,1,B,11,0,56,67,250,NA
KB0ZOM,NA,234,1D,NE,2,NA,1,1,C,45,0,2,47,50,NA
KB1AWM (+WB4EWY),NA,2018,1B2,SC,2,NA,2,1,B,383,84,0,467,150,Y
KB1EFS,NA,0,1D,NNY,0,NA,1,1,C,723,0,0,723,0,Y
KB1EHE,NA,574,1E,CT,2,NA,2,1,B,0,0,212,212,150,NA
KB1EWM,NA,100,1D,CT,2,NA,1,1,C,0,0,25,25,50,NA
"KB1NTA (KB1JDX, KC1UXW, ops)",NA,370,1B2,CT,2,Quiet Corner ARC,2,1,G,0,0,100,100,170,NA
KB1RS,NA,316,1B1,MDC,2,NA,1,1,B,0,10,13,23,250,NA
KB1RZA,NA,276,1B1,VT,2,NA,1,1,B,0,0,63,63,150,NA
KB1SL,NA,70,1D,CT,2,NA,1,1,C,0,0,10,10,50,NA
KB1SO,NA,2034,1E,NH,2,NA,1,1,G,0,471,0,471,150,NA
KB1UJS,NA,84,1D,ME,2,NA,1,1,C,0,0,17,17,50,NA
KB1YO,NA,130,1E,CT,2,NA,1,1,B,0,0,40,40,50,NA
KB2BIT,NA,2260,2E,NFL,5,NA,1,2,S,1,188,0,189,370,NA
KB2BRD,NA,496,1B1,CO,2,NA,1,1,B,0,0,173,173,150,NA
KB2DSR (+KB2DSQ),NA,1630,2B2B,WNY,5,Getman AR Guild,2,2,B,0,89,58,147,450,NA
KB2DX,NA,90,1D,ENY,2,NA,1,1,C,0,0,20,20,50,NA
KB2MN,NA,950,1D,SNJ,2,Southern Counties ARA,1,1,C,200,0,0,200,150,NA
KB2RTI,NA,434,1D,NNJ,2,Garden State ARA,1,1,C,0,96,0,96,50,NA
KB2TDH,NA,236,1E,WNY,2,Keuka Lake ARA,1,1,G,0,42,9,51,50,NA
KB2TDT,NA,142,1D,WNY,2,NA,1,1,C,0,0,46,46,50,NA
KB2URI,NA,2400,4E,WNY,2,Niagra Frontier Radiosport,1,4,B,22,353,25,400,850,NA
KB3AOL,NA,318,1E,WPA,2,NA,1,1,B,0,0,84,84,150,NA
KB3BFM,NA,114,1D,WPA,2,NA,1,1,C,0,16,0,16,50,NA
KB3CAN,NA,1412,3D,MDC,2,Charlestown ARC,4,3,C,0,255,21,276,350,NA
KB3GJE,NA,992,2E,MDC,2,NA,3,2,G,0,168,0,168,320,NA
"KB3HLL (N3RPB, KE0TTL, ops)",NA,278,2B2C,EPA,2,Bald Eagle Repeater Assn.,2,2,C,0,0,14,14,250,NA
KB3KOC,NA,308,1D,MDC,2,NA,1,1,C,0,0,129,129,50,NA
KB3LTT,NA,420,1B1,EPA,2,NA,1,1,B,0,0,85,85,250,NA
KB3NSH,NA,350,1D,WPA,2,NA,1,1,C,0,75,0,75,50,NA
KB3RN,NA,0,1D,EPA,0,Phil-Mont Mobile RC,1,1,C,0,0,37,37,0,Y
KB3SPH,NA,194,1B1,MDC,2,NA,1,1,B,0,0,22,22,150,NA
KB3SRU,NA,380,1E,WCF,5,Zephyrhills Area ARC,1,1,B,0,23,0,23,150,NA
KB3VAV,NA,586,1D,EPA,2,NA,1,1,C,0,134,0,134,50,NA
KB3Z,NA,1866,1D,EPA,2,Potomac Valley RC,1,1,C,0,454,0,454,50,Y
KB4CG,NA,3866,1B1,VA,2,Potomac Valley RC,1,1,G,821,0,66,887,450,NA
KB4DE,NA,550,1D,SC,2,Columbia ARC,1,1,C,125,0,0,125,50,NA
KB4ENQ,NA,66,1D,KY,2,Woodford Co. ARC,1,1,C,0,0,8,8,50,NA
KB4FB,NA,0,1D,WCF,1,NA,1,1,C,12,0,0,12,0,Y
KB4FHA,NA,160,1D,SC,2,Swamp Fox Contest Grp.,1,1,C,0,0,55,55,50,Y
KB4KC,NA,2222,1D,KY,2,NA,1,1,C,0,543,0,543,50,NA
KB4MOX,NA,1518,2E,GA,2,Piedmont ARC,1,2,B,0,154,1,155,900,NA
KB4P,NA,560,1B1B,WCF,5,Sarasota Em. RC,1,1,B,30,1,0,31,250,NA
KB4XT,NA,1440,1E,AL,5,Wiregrass ARC,1,1,B,0,129,0,129,150,NA
KB4YKC,NA,464,2E,NFL,2,NA,20,2,G,0,17,23,40,350,NA
KB5A,KJ5KEU,2412,3AC,NTX,2,Metrocrest ARS,28,3,C,218,124,22,364,1000,NA
KB5ILY,NA,228,1E,AR,2,NA,1,1,B,0,0,14,14,200,NA
KB5MAR,NA,1280,3F,NTX,2,Marshall ARC,12,3,G,22,33,55,110,950,NA
KB5TX,NA,2208,4A,STX,2,Kendall ARS,15,4,B,0,278,23,301,1050,NA
KB5WBH,NA,542,1E,AR,2,NA,1,1,G,0,98,0,98,150,NA
KB6A,NA,506,1D,ORG,2,NA,1,1,C,114,0,0,114,50,NA
KB6C,NA,822,2D,SB,2,NA,1,2,C,0,193,0,193,50,NA
KB6CA,NA,266,1D,ORG,2,San Gorgonio Pass ARC,1,1,C,29,0,0,29,150,NA
KB6DKK,NA,138,1D,LAX,2,NA,1,1,C,0,0,44,44,50,NA
KB6JFL,NA,406,1D,SJV,2,Kern Co. Central Valley ARC,1,1,C,44,41,8,93,50,NA
KB6QPI,NA,230,1D,WCF,2,NA,1,1,C,0,0,90,90,50,NA
KB6YYH,NA,70,1D,EB,2,NA,1,1,C,0,0,10,10,50,NA
KB6ZA,NA,158,1C,EB,2,NA,1,1,B,2,0,0,2,150,NA
KB7AWG (+KB7MLK),NA,310,1B2,NV,2,Red Mountain Radio Amateurs,2,1,B,0,0,80,80,150,NA
KB7GFL,NA,450,1D,WWA,2,Sky Valley ARC,1,1,C,0,75,0,75,150,NA
KB7HDX,NA,322,1D,EWA,2,NA,1,1,C,0,0,136,136,50,NA
KB7KDT,NA,440,1B1B,WWA,5,NA,1,1,B,29,0,0,29,150,NA
KB7LJP,NA,890,1B1B,WWA,5,NA,1,1,B,54,0,0,54,350,NA
KB7QVG,NA,122,1E,SC,2,NA,1,1,B,0,0,36,36,50,NA
KB7U,NA,442,1E,AZ,2,NA,1,1,B,2,71,0,73,150,NA
KB8DDZ,NA,136,1E,OH,2,NA,1,1,G,0,0,43,43,50,NA
KB8MYC,NA,254,1D,OH,2,Oh-Ky-In ARS,1,1,C,0,51,0,51,50,NA
KB8QGR,NA,114,1D,MI,2,NA,1,1,C,0,0,32,32,50,NA
KB8RTB,NA,790,1B1B,OH,5,NA,1,1,B,0,44,0,44,350,NA
KB8U,NA,500,1C,MI,5,NA,1,1,B,25,0,0,25,250,NA
KB8W,NA,370,1E,MI,5,Copper Country Radio Amateur Assn.,1,1,B,22,0,0,22,150,NA
KB8ZR,NA,510,1D,OH,2,NA,1,1,C,0,115,0,115,50,NA
KB8ZYE,NA,152,1D,OH,2,NA,1,1,C,17,0,17,34,50,NA
KB9ELW,NA,58,1B1C,IN,2,NA,1,1,C,0,2,0,2,50,NA
KB9FU,NA,304,1E,STX,2,NA,1,1,S,0,0,27,27,250,NA
KB9GYO,NA,644,3A,IN,2,Laughery Valley ARC,3,3,G,0,34,29,63,450,NA
KB9JDP,NA,160,1E,OH,2,NA,2,1,B,0,0,5,5,150,NA
KB9JMJ,NA,370,1D,WI,2,NA,1,1,C,0,80,0,80,50,NA
KB9LHT,NA,338,1D,AZ,2,NA,1,1,C,0,7,130,137,50,NA
KB9OHY,NA,2232,4A,IN,2,Orange Co. (IN) ARC,19,4,B,97,13,121,231,1550,NA
KB9S,NA,1606,1E,WI,2,Eau Claire ARC,1,1,B,272,67,0,339,250,NA
KB9SCT,NA,986,1D,WI,2,NA,1,1,C,0,183,2,185,250,NA
KB9SDA,NA,554,1B1,IN,2,NA,1,1,B,0,0,102,102,350,NA
KB9ZYX,NA,218,1E,IL,2,NA,1,1,B,0,17,0,17,150,NA
KC0DWZ,NA,266,1D,MN,2,Anoka Co. RC,1,1,C,43,0,22,65,50,NA
KC0INP,NA,498,1D,MN,2,Mining ARC/St. Paul RC,1,1,C,87,0,50,137,50,NA
KC0JQO,NA,138,1D,MN,2,NA,1,1,C,1,21,0,22,50,NA
KC0NOX,NA,662,1B1,MO,2,MikeOscar Contesting Club,1,1,B,0,6,39,45,560,NA
