call,gota_call,final_score,qst_class_plus,section,power_multiplier,club_name,number_of_participants,number_of_transmitters,power_source,total_cw_qs_os,total_digital_qs_os,total_phone_qs_os,total_qsos,bonus_points
K4LKL,NA,5154,4A,WCF,2,Lakeland ARC,60,4,G,497,53,687,1237,1580
K4LRA,NA,6570,4A,SFL,2,Lighthouse Radio Alliance,8,4,G,816,15,1098,1929,1050
K4LRG,WB8WKU,10758,4A,VA,2,Loudoun ARG,19,4,G,993,183,2212,3388,1630
K4MN,K4CFB,6408,2A,NC,2,Cape Fear ARS,25,2,G,727,0,855,1582,1790
K4MSU,W4GZ,3430,3A,KY,2,Murray State University ARC,70,3,G,111,58,592,761,1570
K4MUS,NA,192,1B1,TN,2,NA,1,1,B,0,0,21,21,150
K4MX,NA,812,1D,VA,2,NA,1,1,C,203,0,0,203,0
K4NAB,KK4AMJ,8876,5A,SC,2,N Augusta Belvedere RC,30,5,G,1190,18,1227,2435,1590
K4NRC,NA,2174,3A,GA,2,Bill Gremillion Memorial RC,40,3,G,132,0,253,385,1140
K4NVA,NQ4K,3754,3A,VA,2,Sterling Park ARC,20,3,G,243,0,656,899,1470
K4OGB,NA,1092,2A,NC,2,Stanly Co. ARC,16,2,B,7,0,7,14,1050
K4OO,NA,5814,2E,NC,2,NA,12,2,G,1162,0,358,1520,450
K4PAR,K4P,3492,2AC,GA,2,Piedmont ARES,16,2,C,0,205,611,816,1450
K4PH,NA,276,1E,NC,2,NA,1,1,G,0,0,63,63,150
K4PJ,NA,2710,2AC,TN,2,Oak Ridge ARC,27,2,C,342,0,196,538,950
K4PMH,NA,3478,1A,VA,2,Page Valley ARC,16,1,G,174,14,778,966,1170
K4QD,NA,1113,1E,SFL,1,NA,1,1,G,180,0,703,883,50
K4QR,NA,108,1D,NFL,2,NA,1,1,C,0,0,29,29,50
K4R,KB4MG,3900,5A,GA,2,Cherokee ARS,41,5,G,187,77,377,641,2090
K4RAN,NA,2084,3A,AL,2,Randolph Co. Emerg RC,14,3,G,258,17,167,442,650
K4RC,AI4WU,7292,2A,VA,2,Williamsburg Area ARC,52,2,B,937,0,1052,1989,1440
K4RCA,NA,2262,1E,VA,2,NA,1,1,G,0,0,956,956,350
K4RDU,NA,374,1D,VA,2,NA,1,1,C,70,11,0,81,50
K4RFT,N4MJ,5348,3A,TN,2,Reelfoot ARC,18,3,G,445,378,103,926,1850
K4RY,KA4KBX,1445,1AB,AL,5,Auburn University ARC,8,1,B,0,0,75,75,1070
K4SNE,NA,58,1D,AL,2,NA,1,1,C,0,0,4,4,50
K4SV,W4EEY,6606,2A,SC,2,NA,25,2,G,1163,0,602,1765,750
K4SWL,NA,385,1B2B,NC,5,NA,2,1,B,21,1,3,25,150
K4TAK,NA,286,2D,TN,2,NA,1,2,C,0,21,26,47,150
K4TG,KY4LAW,5140,4F,KY,2,Anderson RC,18,4,C,400,135,605,1140,1790
K4TLH,NA,6160,3A,NFL,2,Tallahassee ARS,30,3,G,1086,107,169,1362,1050
K4TN,KC4MMR,2780,2A,WCF,2,Brandon ARS,36,2,G,158,0,379,537,1390
K4TNS,NA,1312,2A,AL,2,Jim Bell Wrls Assn.,4,2,B,0,75,31,106,950
K4TS,NX4Q,8590,6A,VA,2,Rappahannock Valley ARC,25,6,G,1127,44,1308,2479,1290
K4TSO,NA,42,1D,SC,2,NA,1,1,C,0,0,21,21,0
K4V,NA,3314,4A,NC,2,Union Co. ARS,14,4,G,123,339,258,720,950
K4VBM,NA,280,1D,GA,2,NA,1,1,C,0,0,115,115,50
K4VRC,NA,1687,1A,NFL,1,The Villages ARC,24,1,G,464,9,391,864,350
K4W,W4HCA,3242,4F,WCF,2,Highlands Co. ARC,20,4,C,270,82,172,524,1490
K4WAK,NA,2478,2A,NFL,2,Sportsmans Paradise ARC,6,2,G,387,29,182,598,450
K4WO,NC4EC,2824,2AC,NC,2,The Albemarle ARS,35,2,C,22,11,871,904,950
K4WOC,NA,1308,4A,GA,2,Cherokee Capital ARS,15,4,G,55,20,69,144,870
K4WW,NA,2310,1E,KY,2,NA,1,1,G,565,0,0,565,50
K4XY,K4HTA,8638,5A,VA,2,Vienna Wrls Soc.,100,5,G,926,87,1368,2381,1850
K4Y,NA,1744,3A,KY,2,River Cities ARA,9,3,G,0,38,271,309,1050
K4YHB,NA,1318,4F,SFL,2,ARASWF,15,4,C,91,0,247,338,460
K4YTZ,KE4PLT,5932,3A,SC,2,York Co. ARS,14,3,G,610,16,889,1515,1650
K4ZM,NA,922,1D,AL,2,NA,1,1,C,218,0,0,218,50
K5AEM,NA,1582,1E,NTX,2,NA,4,1,G,47,0,622,669,150
K5ARN,NA,344,1A,MS,2,NA,5,1,B,0,0,47,47,250
K5BAY,NA,970,2F,STX,2,Baytown Area ARC,6,2,C,10,0,40,50,850
K5BED,NA,2002,3A,NTX,2,Bedford ARC,18,3,G,0,118,190,308,1150
K5BIU,NA,1024,1B1,LA,2,NA,1,1,G,218,0,1,219,150
K5BS,NA,988,1A,STX,2,Tidelands ARS,12,1,B,0,0,144,144,700
K5BWD,N5AG,1972,3A,NTX,2,Brownwood ARC,5,3,G,260,15,121,396,630
K5BZH,NA,462,1D,WTX,2,NA,1,1,C,103,0,0,103,50
K5CCL,NA,944,1F,NTX,2,Cedar Creek ARC,29,1,C,0,0,147,147,650
K5CM,K5I,8240,2A,OK,2,Muskogee ARC,8,2,G,1528,126,417,2071,790
K5COW,NA,2664,4A,NTX,2,Cowtown ARC,51,4,G,237,0,123,360,1470
K5DW,NA,850,1B1B,CO,5,NA,1,1,B,75,0,0,75,100
K5EBY,NA,160,1B1,STX,2,NA,1,1,B,0,0,5,5,150
K5EC,NA,814,2B2C,STX,2,NA,2,2,C,119,0,94,213,150
K5EEE,NA,450,1D,SFL,2,NA,1,1,C,0,0,200,200,50
K5ELF,NA,1756,2B2,STX,2,NA,2,2,B,249,4,147,400,450
K5EOK,NA,6572,7A,OK,2,Edmond ARS,94,7,G,660,62,867,1589,1950
K5FD,W5RSH,6888,2A,WTX,2,Big Bend ARC,26,2,G,937,0,830,1767,1480
K5GCC,NA,1766,3A,NTX,2,Grayson Co. ARC,15,3,G,198,0,62,260,850
K5GDX,NA,6900,4E,MS,2,NA,14,4,G,1064,168,541,1773,890
K5GN,NA,7374,1B1,STX,2,NA,1,1,G,1806,0,0,1806,150
K5HH,NA,580,1EB,MS,5,NA,1,1,B,0,11,4,15,450
K5HLA,NA,428,1F,STX,2,Highland Lakes ARC,24,1,C,0,0,14,14,400
K5HO,NA,1140,1AC,NC,2,The DIRTS,3,1,C,92,3,155,250,450
K5IX,NA,576,2D,STX,2,NA,2,2,C,103,0,7,110,150
K5JPB,NA,67,1D,NM,1,NA,1,1,C,0,3,61,64,0
K5JTB,NA,314,1B2,AR,2,NA,2,1,B,0,0,32,32,250
K5KG,NA,8960,2E,WCF,2,NA,3,2,G,1740,0,825,2565,350
K5KMS,NA,155,1E,NTX,1,NA,1,1,G,0,0,55,55,100
K5KWR,NA,308,1B2,STX,2,NA,2,1,B,0,0,29,29,250
K5LRK,NA,1360,2A,NTX,2,Lake Area AR Klub,14,2,G,0,0,105,105,1150
K5MDX,NA,2058,3A,MS,2,Magnolia DXA,17,3,G,0,133,263,396,1000
K5MKS,NA,70,1D,NTX,2,NA,1,1,C,0,0,10,10,50
K5MLY,NA,206,1B1,STX,2,NA,1,1,B,0,0,28,28,150
K5NAX,NA,90,1D,LA,2,NA,1,1,C,0,0,20,20,50
K5NE,NA,3070,1A,AR,2,Benton ARS,16,1,G,11,0,878,889,1270
K5NEA,NA,518,3AC,AR,2,NE AR ARC,16,3,C,14,0,46,60,370
K5O,N5CST,1714,2A,OK,2,NA,7,2,G,219,0,44,263,750
K5OUR,KC5OUR,2442,2A,NM,2,NA,69,2,B,180,0,156,336,1410
K5PLD,NA,794,2A,STX,2,Pearland ARC,13,2,G,0,44,34,78,550
K5PN,W5CJR,6498,2A,MS,2,Hattiesburg & Lamar ARC,64,2,G,779,0,886,1665,1610
K5PRK,K5F,3782,6A,NTX,2,Plano AR Klub,78,6,G,321,74,256,651,1690
K5PX,NA,5338,1A,OK,2,Boomer Contest Club,5,1,G,1272,0,0,1272,250
K5PXP,KB5FLA,4360,3A,AR,2,ARVARF,8,3,G,761,38,97,896,970
K5QHD,NA,2292,2A,NTX,2,Garland ARC,65,2,G,120,0,321,441,1170
K5QR,NA,950,1B1B,NTX,5,NA,1,1,B,70,0,0,70,250
K5QY,NA,4242,1A,NTX,2,Murphys Law FD Grp,6,1,B,455,0,686,1141,1050
K5RWK,NA,4680,2F,NTX,2,The Richardson Wrls Klub,60,2,C,126,2,1409,1537,1350
K5S,NA,1446,2A,NTX,2,Sachse ARA,38,2,G,14,0,170,184,1050
K5SL,NA,5400,1B1B,LA,5,NA,1,1,B,515,0,0,515,250
K5SLD,W5FJB,2764,3A,NTX,2,Arlington ARC,48,3,G,222,38,197,457,1330
K5T,NA,3760,1AB,NTX,5,Hunt Co. Packet Club,3,1,B,321,0,0,321,550
K5TAE,NA,206,1B1,LA,2,NA,1,1,G,0,0,28,28,150
K5TMH,NA,262,1D,OK,2,NA,1,1,C,0,0,106,106,50
K5TSK,NA,1440,1EB,AR,5,NA,1,1,B,109,0,0,109,350
K5TUP,NA,1370,2A,MS,2,Tupelo ARC,15,2,B,25,0,310,335,650
K5TYR,NA,4294,5A,NTX,2,Tyler ARC,50,5,G,259,17,960,1236,1270
K5URU,NA,374,1D,STX,2,NA,1,1,C,81,0,0,81,50
K5UTA,NA,676,2A,CO,2,Maverick Radio Mentors,5,2,G,0,0,43,43,590
K5UZ,NA,5620,1A,AR,2,Batesville ARC & Brock Mtn Contest Grp,5,1,G,917,183,0,1100,1220
K5VOP,NA,86,1D,NTX,2,NA,1,1,C,0,0,18,18,50
K5WI,NA,840,1B1B,NTX,5,NA,1,1,B,49,0,0,49,350
K5WPH,NA,1976,3E,WTX,2,NA,25,3,G,101,6,399,506,750
K5WRN,NA,39,1D,STX,1,NA,1,1,C,0,2,35,37,0
K5ZD,NA,2538,1D,WMA,2,NA,1,1,C,469,3,300,772,50
K6AA,NA,2142,4A,LAX,2,United Radio Amateur Club,20,4,G,261,0,99,360,900
K6AAI,NA,132,1D,SV,2,NA,1,1,C,0,0,41,41,50
K6AGF,AG6YS,1158,3A,LAX,2,Tri-County ARA,33,3,G,2,0,150,152,850
K6AKW,NA,4444,1A,SB,2,NA,4,1,B,900,15,17,932,750
K6ARC,NA,862,1A,SV,2,Amador Co. ARC,13,1,B,0,5,146,151,550
K6ATH,NA,892,1F,SCV,2,Menlo Park Fire CERT,8,1,G,16,0,19,35,790
K6BB,NA,1412,4A,ORG,2,Big Bear RC,15,4,G,42,12,273,327,650
K6BLY,NA,500,1B1,SDG,2,NA,1,1,G,0,100,0,100,100
K6CAW,NA,354,2B2,ORG,2,NA,2,2,B,0,0,52,52,250
K6CCR,AJ7C,1278,3F,LAX,2,CCARES,16,3,C,1,120,172,293,450
K6D,NA,512,2A,ORG,2,Eastern Sierra Travelers FD,3,2,G,0,0,81,81,350
K6DLB,NA,22,1D,LAX,1,NA,1,1,C,0,0,22,22,0
K6EAG,NA,1152,3A,EB,2,Hayward RC,11,3,G,21,2,105,128,850
K6EI,W6ZZZ,19720,14AB,SCV,5,West Valley ARA,40,14,B,1166,204,654,2024,2750
K6EM,NA,448,1D,ORG,2,NA,1,1,C,112,0,0,112,0
K6FW,NA,286,1D,ORG,2,NA,1,1,C,0,0,68,68,150
K6GPB,NA,120,1EB,SV,5,NA,1,1,B,7,0,0,7,50
K6GTE,NA,320,1B1B,ORG,5,NA,1,1,B,4,0,6,10,250
K6IJ,NA,728,1E,SV,1,NA,1,1,G,339,0,0,339,50
K6JW,NA,710,1EB,LAX,5,NA,1,1,B,46,0,0,46,250
K6K,NA,324,1D,SJV,2,NA,1,1,C,0,0,87,87,150
K6KNR,NA,280,2E,ORG,2,NA,1,2,B,0,0,15,15,250
K6KP,AG6GX,1356,3F,SCV,2,Cupertino ARES,20,3,G,0,0,53,53,1250
K6KQV,NA,680,1D,SCV,2,NA,1,1,C,91,29,25,145,150
K6KS,NA,350,1B1,SV,2,NA,1,1,G,0,0,50,50,250
K6LI,NA,2594,8A,EB,2,North Bay ARA,50,8,G,182,36,136,354,1450
K6LY,NA,1096,2F,SCV,2,Naval Postgraduate School ARC,8,2,C,38,0,287,325,370
K6MAN,NA,516,3F,SJV,2,Manteca ARC,11,3,C,8,0,167,175,150
K6MBD,NA,166,1D,SV,2,NA,1,1,C,0,0,58,58,50
K6MCS,NA,110,1B1,SV,2,NA,1,1,B,0,0,30,30,50
K6MEP,NA,2218,9A,SB,2,Ventura Co. ARC,19,9,G,30,42,190,262,1550
K6MH,NA,366,1B1,LAX,2,NA,1,1,B,0,0,8,8,350
K6MI,NA,4785,1AB,SCV,5,Chews Ridge Gang,8,1,B,276,0,131,407,1370
K6MMM,N6OTA,3736,3A,SCV,2,San Lorenzo Valley ARC & Santa Cruz Co. ARC & UCSC ARC,68,3,G,357,46,347,750,1430
K6NBR,NA,1154,2A,ORG,2,Newport Beach Rptr Club,20,2,G,82,0,138,220,550
K6NV,NA,1592,4A,SV,2,Sierra Chapter of NCCC,6,4,G,229,0,313,542,50
K6ODS,NA,1105,1E,SV,1,NA,2,1,G,0,0,855,855,250
K6ORI,NA,1048,3A,EB,2,Lamorinda Area Radio Interest Grp,15,3,G,0,8,83,91,850
K6OX,K6A,2574,3A,LAX,2,Antelope Valley ARC,30,3,G,229,0,144,373,1370
K6P,NA,770,2A,SDG,2,NA,4,2,B,70,0,70,140,350
K6PV,NA,4288,2A,LAX,2,Palos Verdes ARC,23,2,G,640,0,454,1094,820
K6QLF,NA,1080,3A,EB,2,ARC of Alameda,39,3,B,21,21,31,73,850
K6QWR,NA,628,3A,ORG,2,Victor Valley ARC,27,3,G,0,0,39,39,550
K6R,NA,1274,2A,LAX,2,Alhambra High School ARC,3,2,G,0,0,112,112,1050
K6RC,NA,2171,2E,SV,1,NA,9,2,G,652,0,617,1269,250
K6RCR,KA6D,2058,4A,ORG,2,Rancho Cucamonga AuxComms Svc,35,4,G,0,115,124,239,1350
K6SB,NA,1345,1B2B,SJV,5,NA,2,1,B,99,0,1,100,350
K6SEE,NA,1088,4E,SDG,2,NA,11,4,G,0,0,269,269,550
K6SIS,NA,1600,2A,SV,2,Siskiyou ARA,4,2,G,2,0,571,573,450
K6SNY,NA,1066,2AC,SCV,2,Sunnyvale ARES,80,2,C,39,0,145,184,620
K6SOA,K6WO,3992,3A,ORG,2,S Orange ARA,79,3,G,464,62,369,895,1150
K6SON,NA,2892,4A,SF,2,Sonoma Co. Radio Amateurs,65,4,G,192,88,161,441,1450
K6SRA,NA,1308,3A,SCV,2,Bay-Net Grp,27,3,B,34,9,43,86,1050
K6ST,NA,80,1D,NV,2,NA,1,1,C,0,4,7,11,50
K6TI,NA,4628,6F,LAX,2,Topanga Disaster Radio Team,30,6,B,739,6,139,884,1370
K6TUO,NA,2628,7A,SJV,2,TCARES,20,7,G,205,18,93,316,1550
K6TY,NA,1338,1B2,SJV,2,NA,2,1,B,173,5,38,216,550
K6TZ,K6SBZ,2236,2A,SB,2,Santa Barbara ARC,60,2,G,0,0,553,553,1130
K6UZB,NA,410,1B1B,SCV,5,NA,1,1,B,16,0,0,16,250
K6WSC,NA,850,1D,AZ,2,NA,2,1,C,200,0,0,200,50
K6YA,W6VYC,2532,3A,SCV,2,Foothills ARS,20,3,G,157,0,462,619,980
K7A,NA,1200,1B1,MT,2,NA,1,1,G,130,0,65,195,550
K7AWA,NA,2250,2AB,AZ,5,America West ARC,3,2,B,150,0,0,150,750
K7B,K7JSG,644,2A,WWA,2,Bothell Stake Hams,4,2,B,0,7,23,30,570
K7BFL,NA,308,1B2,EWA,2,NA,2,1,B,27,0,0,27,200
K7BIK,NA,58,1E,OR,2,NA,1,1,B,0,0,4,4,50
K7BNR,NA,2300,6A,ID,2,Bonner Co. ARES/RACES,60,6,G,0,179,117,296,1350
K7BSK,NA,728,1A,UT,2,Skyline RC,12,1,B,2,0,205,207,310
K7BWC,NA,614,1C,UT,2,NA,1,1,G,0,0,232,232,150
K7C,NA,2248,2A,WWA,2,Maple Valley ARC,30,2,G,0,50,469,519,1110
K7CAR,NA,2308,1B1,UT,2,NA,1,1,B,0,0,1029,1029,250
K7CCH,NA,2880,3A,OR,2,Coos Co. RC,30,3,G,346,66,41,453,1150
K7CEM,NA,1042,5F,WWA,2,Centrlia ARES & Lewis Co. ARES & Chehalis Valley ARS,20,5,C,118,0,110,228,350
K7CMT,WA7ODR,6554,2A,MT,2,BARK,9,2,G,1270,0,482,1752,510
K7DAA,W6KRK,1802,4A,SCV,2,Morgan Hill ARS & Garlic Valley ARC & San Benito ARA,20,4,B,8,45,200,253,1190
K7DAV,N7CN,7258,4A,UT,2,Davis Co. ARC,55,4,G,422,110,1540,2072,2050
K7DBN,NA,186,1D,UT,2,NA,1,1,C,23,0,22,45,50
K7E,NA,1380,3A,EWA,2,Rodeo City RC,25,3,G,0,0,65,65,1250
K7EA,NA,458,1E,UT,2,NA,1,1,G,37,40,0,77,150
K7EAR,AF7EF,3242,3A,AZ,2,Eastern AZ ARS,11,3,G,306,87,100,493,1470
K7EAW,NA,68,1D,ID,2,NA,1,1,C,0,0,9,9,50
K7ECI,NA,996,4A,ID,2,Elmore Co. ARC,14,4,G,0,0,98,98,800
K7EFS,NA,200,1D,EPA,2,NA,1,1,C,0,0,75,75,50
K7FYI,NA,418,1E,NV,2,NA,1,1,B,0,0,134,134,150
K7IA,NA,1628,1E,NM,2,NA,1,1,B,343,0,3,346,250
K7JAR,NA,1256,2E,EWA,2,NA,20,2,G,0,0,153,153,950
K7JKM,NA,110,1D,OR,2,NA,1,1,C,0,0,30,30,50
K7JQ,NA,424,1D,AZ,2,NA,1,1,C,78,0,31,109,50
K7KC,NA,5192,1D,UT,2,NA,4,1,C,851,0,719,1570,350
K7KXO,NA,358,1E,WWA,2,NA,1,1,G,0,0,54,54,250
K7LED,AE7G,13038,6A,WWA,2,Mike & Key ARC,45,6,G,1450,125,2024,3599,2690
K7LTF,NA,74,1D,WWA,2,NA,1,1,C,1,0,37,38,-4
K7LWH,NA,1470,4E,WWA,2,NA,25,4,G,220,0,0,220,590
K7M,KG7MFC,2348,3A,ID,2,Central ID ARC,13,3,G,102,63,249,414,1190
K7MM,NA,1262,2A,EWA,2,Hells Gate ARC,3,2,B,42,0,17,59,1060
K7MPR,AD7GU,2682,5A,AZ,2,Mohave ARC,25,5,G,114,98,342,554,1150
K7MVA,NA,1806,3A,ID,2,Magic Valley ARC,14,3,G,186,0,126,312,810
K7N,W7DTA,4264,3A,OR,2,RVARC & CARE & JCARES,51,3,G,396,51,813,1260,850
K7PCB,NA,124,1E,UT,2,NA,1,1,B,0,11,15,26,50
K7PEO,NA,176,1D,EWA,2,NA,1,1,C,0,0,63,63,50
K7PNX,NA,214,2E,AZ,2,NA,8,2,G,0,30,22,52,50
K7Q,NA,1654,3A,MT,2,Musselshell ARC,7,3,G,182,0,38,220,850
K7QDX,NA,156,1D,SV,2,NA,1,1,C,0,0,53,53,50
K7RBT,NA,230,1D,OR,2,NA,1,1,C,0,45,0,45,50
K7RDG,NA,2210,3AB,AZ,5,Cochise ARA,17,3,B,50,6,100,156,1150
K7RFW,NA,384,1E,UT,2,NA,1,1,B,0,19,29,48,250
K7RL,NA,1986,1D,WWA,1,NA,1,1,C,650,0,636,1286,50
K7SEL,WI7EOC,1006,3A,EWA,2,SEL ARC,12,3,B,17,0,144,161,650
K7SI,NA,2700,5AB,ID,5,Snake River ARC,16,5,B,58,38,120,216,1140
K7SVX,NA,604,1B2,ID,2,NA,2,1,G,0,0,227,227,150
K7T,W7AI,5896,3A,AZ,2,NA,54,3,B,887,120,149,1156,1570
K7TH,NA,954,1E,MI,2,NA,1,1,B,0,101,100,201,350
K7UAZ,NA,646,3A,AZ,2,NA,11,3,G,0,0,48,48,550
K7UB,NA,248,3F,UT,2,Golden Spike ARC,19,3,C,0,0,89,89,70
K7UM,NA,4134,2A,UT,2,UT DXA,13,2,G,785,0,272,1057,450
K7UVA,K7GSL,5212,3A,UT,2,UT Valley ARC,60,3,G,192,129,1199,1520,1530
K7UWR,NA,558,1A,GA,2,Radio Activity,3,1,B,0,2,0,2,550
K7XC,NA,960,1D,NV,1,NA,1,1,C,177,39,378,594,150
K7YJ,NA,34,1D,AZ,2,NA,1,1,C,0,0,17,17,0
K7YL,NA,484,3A,OR,2,Bear Mountain,3,3,G,0,0,67,67,350
K7ZD,NA,934,1D,AZ,2,NA,1,1,C,221,0,0,221,50
K7ZYV,NA,250,1D,MS,2,NA,1,1,C,50,0,0,50,50
K8AI,NA,1790,1B1,MI,2,NA,1,1,B,410,0,0,410,150
K8AO,NA,456,1D,MI,2,NA,1,1,C,0,0,228,228,0
K8BF,AC8NT,10926,4A,OH,2,Portage Co. ARS,87,4,G,964,193,2294,3451,1710
K8BLP,NA,1502,2A,OH,2,Triangle ARC,4,2,G,240,0,46,286,450
K8BMI,NA,2884,7A,MI,2,NA,10,7,G,146,50,425,621,1250
K8BRC,NA,1152,3A,MI,2,Black River ARC,16,3,G,0,74,203,277,450
K8BTU,NA,6982,2B2,OH,2,NA,2,2,G,1517,0,332,1849,250
K8BXQ,NA,2668,5A,OH,2,Fulton Co. ARC,6,5,G,59,225,291,575,950
K8BZ,NA,2764,3A,MI,2,Gladwin Area ARC,8,3,G,382,0,193,575,850
K8CAD,NA,914,2A,MI,2,Wexaukee ARC,15,2,G,39,0,44,83,670
K8CGE,NA,994,2D,OH,2,NA,2,2,C,236,0,0,236,50
K8CY,KE8JXW,1716,3AC,OH,2,Ashtabula Co. ARC,16,3,C,61,22,287,370,810
K8DAA,KE8BSL,4874,5A,MI,2,Holland ARC,37,5,B,149,265,804,1218,1610
K8DAC,KD8KDP,1562,6A,MI,2,Saginaw Valley ARA,20,6,G,56,0,84,140,1170
K8DF,WV8HC,6982,3A,WV,2,Central WVA Wrls Assn.,37,3,G,384,0,1828,2212,1790
K8EEN,NA,4832,4A,OH,2,Mt. Vernon ARC,15,4,G,558,165,445,1168,1050
K8EG,NA,985,1B1B,OH,5,NA,1,1,B,68,0,11,79,250
K8EMA,NA,2400,2F,OH,2,Shelby Co. OH ARES,14,2,G,250,70,185,505,750
K8EP,NA,1816,2A,WV,2,NA,10,2,G,1,17,547,565,650
K8ER,NA,3810,1B1,MI,2,NA,1,1,B,890,0,0,890,250
K8ES,W8JK,9864,4F,OH,2,Delaware ARA,50,4,G,1427,0,1173,2600,1810
K8ESQ,NA,3230,3A,MI,2,The FPL Grp,6,3,G,549,24,284,857,370
K8FAY,NA,1050,1F,OH,2,Fayette ARA,4,1,C,0,0,350,350,350
K8GC,NA,1002,3F,MI,2,Garden City ARC,33,3,C,57,10,192,259,350
K8GLC,NA,786,2AC,OH,2,NA,4,2,C,0,0,168,168,450
K8GQB,AD8AP,1132,2F,OH,2,Lisbon Area ARA,26,2,C,40,1,129,170,710
K8GT,NA,178,1D,MI,2,NA,1,1,C,32,0,0,32,50
K8KRG,NA,2336,7A,OH,2,NOARS - LCARA,24,7,G,122,10,129,261,1550
K8LGN,NA,604,3AC,OH,2,Hocking Valley ARC,15,3,C,37,0,103,140,250
K8NEO,NA,528,1AC,OH,2,NE OH ARC,3,1,C,0,0,139,139,250
K8NGW,NA,336,1D,MI,2,NA,1,1,C,30,0,33,63,150
K8NOW,NA,992,3A,MI,2,Metropolitan ARC,6,3,G,0,47,177,224,450
K8NQW,AA8BV,2584,2A,OH,2,Not Quite Workable Contest Club,4,2,G,305,0,297,602,770
K8PA,NA,1740,4A,MI,2,Thunder Bay ARC,41,4,G,40,30,175,245,1110
K8PI,W8BLV,7726,3A,OH,2,Dial RC,34,3,G,928,55,992,1975,1810
K8PJK,NA,464,1D,OH,1,NA,1,1,C,207,0,0,207,50
K8PXR,NA,616,1E,OH,2,NA,1,1,B,0,0,258,258,100
K8QIK,NA,1920,6A,OH,2,Lancaster & Fairfield Co. ARC,14,6,G,81,0,323,404,950
K8RJW,NA,566,2D,OH,2,NA,2,2,C,76,0,96,172,70
K8RSO,KE8BQV,1934,2A,WPA,2,Radio Soc. of OH,5,2,G,0,19,584,603,690
K8RYU,NA,3780,1B1,OH,2,NA,1,1,G,695,0,325,1020,350
K8SAS,NA,898,1D,OH,2,NA,1,1,C,0,212,0,212,50
K8SCH,N8YC,7744,3A,OH,2,Oh-Ky-In ARS,30,3,G,818,173,1045,2036,1690
K8TIH,NA,2642,5A,OH,2,Wood Co. ARC,14,5,G,301,119,56,476,850
K8TKA,NA,1790,3A,OH,2,20/9 RC,30,3,G,0,2,236,238,1310
K8UNS,K8UTT,8992,4A,MI,2,LARC-FARL,51,4,G,750,61,2039,2850,1670
K8UO,NA,6826,10A,MI,2,Utica Shelby EmComms Assn.,47,10,G,803,39,834,1676,1790
K8UU,NA,2058,4AC,OH,2,Drake ARC,6,4,C,150,0,604,754,250
K8WHB,NA,2676,3F,OH,2,Geauga ARA,18,3,C,72,39,691,802,850
K8WZY,NA,158,1E,OH,2,NA,1,1,B,0,0,4,4,150
K8YOJ,NA,694,2A,OH,2,AmRad Pub Svc Corps of Hamilton Co. OH,8,2,G,0,0,22,22,650
K8YR,AA8DC,1768,2F,OH,2,Preble ARA,12,2,C,227,0,275,502,310
K8ZT,NA,2825,2B1B,DE,5,NA,1,2,B,192,34,23,249,450
K9ABR,NA,236,1D,IL,2,NA,1,1,C,0,0,93,93,50
K9AVE,NA,3852,2A,IL,2,IL Valley RA,5,2,G,754,0,218,972,400
K9AWM,NA,62,1D,IN,2,NA,1,1,C,0,0,6,6,50
K9BEC,NA,152,1D,IN,2,NA,1,1,C,0,0,76,76,0
K9BY,NA,4770,3A,WI,2,Greater Beloit ARC,12,3,G,522,5,906,1433,850
K9BZ,NA,56,1B1,SV,2,NA,1,1,B,0,0,3,3,50
K9CEW,NA,284,1D,IL,2,NA,1,1,C,0,33,1,34,150
K9DDS,NA,1175,1B1B,IL,5,NA,1,1,B,0,0,165,165,350
K9DIY,AC9ML,1444,2A,IN,2,Bloomington ARC,44,2,G,0,32,103,135,1110
K9DJT,NA,1228,2A,WI,2,Camp Trouten,3,2,G,0,0,489,489,250
K9DVB,NA,214,1D,WI,2,NA,1,1,C,0,0,82,82,50
K9EAM,NA,2680,3A,WI,2,Green Bay Mike & Key Club,29,3,G,263,0,244,507,1140
K9EGS,NA,428,1B1,IL,2,NA,1,1,B,0,0,14,14,400
K9ELF,NA,70,1D,IN,2,NA,1,1,C,0,0,10,10,50
K9ESV,NA,4894,2F,IL,2,McHenry Co. RACES/ARES,15,2,G,987,0,148,1135,650
K9FOH,NA,2170,1B1B,IN,5,NA,1,1,B,182,0,0,182,350
K9GDF,NA,1506,1D,WI,2,NA,1,1,C,364,0,0,364,50
K9GX,NA,630,1D,IN,2,NA,1,1,C,0,0,315,315,0
K9GXU,NA,1938,3A,IL,2,St. Clair ARC,7,3,B,28,74,240,342,1050
K9HAM,NA,1970,3A,IL,2,Lewis & Clark RC,25,3,B,90,0,320,410,970
K9HC,NA,1070,2A,IN,2,Huntington Co. ARS,12,2,G,0,0,185,185,700
K9HD,NA,1530,2A,IN,2,Land of Lakes ARC LLC,8,2,G,41,0,308,349,750
K9ILS,NA,2854,3E,IL,2,NA,22,3,G,318,4,498,820,570
K9IQP,W9QL,6348,3F,IL,2,NA,25,3,C,645,0,1289,1934,1190
K9IU,K9SOU,5644,13A,IN,2,ARC at IN Univ & Bloomington High School S ARC,32,13,G,606,1,273,880,2670
K9JDM,NA,94,1D,IL,2,NA,1,1,C,0,0,22,22,50
