call,final_score,class,total_qsos,power_multiplier,gota_call,section,number_of_participants,club_name,transmitters,year,power_source,total_cw_qsos,total_digital_qsos,total_phone_qsos,bonus_points,checklog_y_n,x17
VE3AIR,1102,3A,226,2,NA,ON,4,Manotick ARG,3,2012,NA,NA,NA,NA,NA,NA,NA
VE3AR,260,1AC,55,2,NA,ON,7,Sudbury ARC,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3BA,320,1F,160,2,NA,ON,6,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3CJ,2225,1AB,212,5,NA,ON,10,Burlington ARC,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3DC,4384,4A,1599,2,VE3DF,ON,62,Hamilton ARC,4,2012,NA,NA,NA,NA,NA,NA,NA
VE3DTI,385,2B2B,27,5,NA,ON,2,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
VE3EDX,642,1B1,102,2,NA,ON,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3EEE,656,1B2,105,2,NA,ON,2,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3FME,360,1B1,40,2,NA,ON,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3FRG,2090,5AC,684,2,NA,ON,5,Hay Bay ARC,5,2012,NA,NA,NA,NA,NA,NA,NA
VE3GCB,1692,2A,346,2,NA,ON,19,Barrie ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
VE3HB,6442,3A,1540,2,NA,ON,17,Oakville ARC,3,2012,NA,NA,NA,NA,NA,NA,NA
VE3JJF,1204,1A,212,2,NA,ON,8,LOWARS,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3KI,6060,1E,581,5,NA,ON,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3KP,2994,1D,711,2,NA,ON,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3LC,1376,2A,358,2,NA,ON,3,X Mounties Ottawa Group,2,2012,NA,NA,NA,NA,NA,NA,NA
VE3LCA,1862,1A,412,2,NA,ON,5,Lanark and North Leeds ARES,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3LM,1915,2AB,220,5,NA,ON,3,Head Lake Group,2,2012,NA,NA,NA,NA,NA,NA,NA
VE3LON,2490,5A,630,2,NA,ON,26,London ARC,5,2012,NA,NA,NA,NA,NA,NA,NA
VE3MIS,6736,11A,1689,2,VE3ETG,ON,65,Mississauga ARC,11,2012,NA,NA,NA,NA,NA,NA,NA
VE3NAR,1230,4A,590,2,NA,ON,8,Nortown ARC,4,2012,NA,NA,NA,NA,NA,NA,NA
VE3NSR,3556,6A,700,2,NA,ON,20,North Shore ARC,6,2012,NA,NA,NA,NA,NA,NA,NA
VE3OD,1602,1A,249,2,NA,ON,10,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3ORF,3500,4A,963,2,NA,ON,15,3730 GROUP,4,2012,NA,NA,NA,NA,NA,NA,NA
VE3OSR,413,3AC,238,1,NA,ON,12,Georgian Bay ARC,3,2012,NA,NA,NA,NA,NA,NA,NA
VE3OW,4286,5A,1585,2,NA,ON,30,SPRARC / BCRC,5,2012,NA,NA,NA,NA,NA,NA,NA
VE3PRD,1114,1A,201,2,NA,ON,10,Prescott-Russell ARC Inc.,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3QDR,4095,6AB,374,5,NA,ON,6,Durham Region QRP Club,6,2012,NA,NA,NA,NA,NA,NA,NA
VE3RAM,1114,2A,208,2,NA,ON,17,Ottawa Valley Mobile RC,2,2012,NA,NA,NA,NA,NA,NA,NA
VE3RB,3018,3A,1010,2,VE3KRG,ON,20,Peterborough ARC,3,2012,NA,NA,NA,NA,NA,NA,NA
VE3RC,3982,2A,796,2,VE3NCR,ON,75,Ottawa ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
VE3RCN (+VE3WIZ),960,1B2C,275,2,NA,ON,2,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3RL,1668,2A,487,2,NA,ON,15,Quinte ARC / Prince Edward RC,2,2012,NA,NA,NA,NA,NA,NA,NA
VE3RSA,426,1D,94,2,NA,ON,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3RSE,3165,4AB,251,5,NA,ON,10,Elgin ARS,4,2012,NA,NA,NA,NA,NA,NA,NA
VE3SAR,2700,2A,569,2,VE3CGC,ON,22,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
VE3SDF,56,1A,28,2,NA,ON,8,St. Marys ARC,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3SGB,3964,2A,1332,2,NA,ON,16,South Georgian Bay ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
VE3SOO,2364,2A,605,2,NA,ON,3,Algoma ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
VE3SPC,3792,5A,940,2,NA,ON,15,South Pickering ARC,5,2012,NA,NA,NA,NA,NA,NA,NA
VE3SWA,4242,5A,950,2,NA,ON,5,Cambridge ARC,5,2012,NA,NA,NA,NA,NA,NA,NA
VE3TNC,2660,3A,601,2,VE3BGD,ON,25,Toronto ARC,3,2012,NA,NA,NA,NA,NA,NA,NA
VE3TU,220,1D,61,2,NA,ON,2,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3VID,400,1E,69,2,NA,ON,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3VM,6008,7A,1863,2,VA3NRS,ON,40,"Niagra Peninsula ARC, Inc.",7,2012,NA,NA,NA,NA,NA,NA,NA
VE3VSW,542,2A,121,2,NA,ON,12,Seaway Valley ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
VE3WE,1544,7A,294,2,NA,ON,12,Scarborough ARC,7,2012,NA,NA,NA,NA,NA,NA,NA
VE3XAT,736,1D,172,2,NA,ON,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3XB,1160,1D,555,1,NA,ON,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE3XR,9118,4A,2539,2,VA3SOP,ON,55,Peel ARC,4,2012,NA,NA,NA,NA,NA,NA,NA
VE3YAA,4642,3E,1229,2,NA,ON,8,NA,3,2012,NA,NA,NA,NA,NA,NA,NA
VE3YRA,5232,5A,1273,2,VE3YRK,ON,78,York Region ARC,5,2012,NA,NA,NA,NA,NA,NA,NA
VE3ZW,102,1D,51,2,NA,ON,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE4BB,2292,3A,523,2,NA,MB,87,Winnipeg ARC,3,2012,NA,NA,NA,NA,NA,NA,NA
VE4MEC,1644,2A,527,2,NA,MB,18,Mobile Emergency Communication,2,2012,NA,NA,NA,NA,NA,NA,NA
VE5JZ,1880,1E,168,5,NA,SK,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE5KC,164,1B1C,57,2,NA,SK,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE5LA,750,2A,108,2,NA,SK,8,Wolseley Repeater Group,2,2012,NA,NA,NA,NA,NA,NA,NA
VE5MA,1358,2A,428,2,NA,SK,9,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
VE5MX,380,1E,165,1,NA,SK,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE5NN,1732,3A,386,2,NA,SK,29,Regina ARA,3,2012,NA,NA,NA,NA,NA,NA,NA
VE6AO,1461,1E,1307,1,NA,AB,7,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE6FT,1646,1A,723,1,NA,AB,11,Mayerthorpe Flying Tigers,1,2012,NA,NA,NA,NA,NA,NA,NA
VE6KC,4074,1B2,956,2,NA,AB,2,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE6MRF,532,3AC,50,1,NA,AB,10,NA,3,2012,NA,NA,NA,NA,NA,NA,NA
VE6SKY,245,1B1B,29,5,NA,AB,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE6TL,5664,1A,1289,2,NA,AB,4,Alberta Clippers CC,1,2012,NA,NA,NA,NA,NA,NA,NA
VE6WP,1730,4A,541,2,NA,AB,10,Sask Alta RC,4,2012,NA,NA,NA,NA,NA,NA,NA
VE6ZC,755,1B1B,55,5,NA,AB,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE7BQO,1365,1AB,114,5,NA,BC,5,Terrace ARC,1,2012,NA,NA,NA,NA,NA,NA,NA
VE7CMR,2636,4A,612,2,VE7CML,BC,12,Maple Ridge ARC,4,2012,NA,NA,NA,NA,NA,NA,NA
VE7CVA,3798,4F,1230,2,NA,BC,27,NA,4,2012,NA,NA,NA,NA,NA,NA,NA
VE7IHL,514,1A,157,2,NA,BC,3,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE7LSY,5536,3A,1227,2,NA,BC,30,SEPAR / LARA / SARC,3,2012,NA,NA,NA,NA,NA,NA,NA
VE7NA,990,1A,212,2,NA,BC,26,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE7NI,3720,1E,315,5,NA,BC,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE7NSR,2016,2A,469,2,NA,BC,31,North Shore ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
VE7OGO,1674,2A,427,2,NA,BC,12,Orchard City ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
VE7PCE,3096,2A,1013,2,NA,BC,25,EPCOM,2,2012,NA,NA,NA,NA,NA,NA,NA
VE7RAR,2978,2A,659,2,VA7ODY,BC,25,Richmond ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
VE7RC,1016,2A,148,2,NA,BC,10,Shuswap ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
VE7SCC,4418,3A,1229,2,NA,BC,40,Coquitlam/Burnaby/New West ARCs,3,2012,NA,NA,NA,NA,NA,NA,NA
VE7SUN,2460,8A,378,2,NA,BC,17,Delta ARS,8,2012,NA,NA,NA,NA,NA,NA,NA
VE7UT,2130,2A,341,2,NA,BC,18,Kamloops ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
VE7VCC,2794,4A,551,2,NA,BC,14,NA,4,2012,NA,NA,NA,NA,NA,NA,NA
VE8NE,704,1A,81,2,NA,NWT,3,Inuvik AR Group,1,2012,NA,NA,NA,NA,NA,NA,NA
VE8YK,1590,2AB,66,5,NA,NWT,10,Yellowknife ARS,2,2012,NA,NA,NA,NA,NA,NA,NA
VE9CRM,624,2A,162,2,NA,MAR,24,Club de Radio Amateur du Madawaska,2,2012,NA,NA,NA,NA,NA,NA,NA
VE9EMM,1880,2A,379,2,VE9DDK,MAR,30,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
VE9HF,1616,1D,1435,1,NA,MAR,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VE9ND,2286,3A,445,2,NA,MAR,22,NA,3,2012,NA,NA,NA,NA,NA,NA,NA
VO1BRK,248,1A,67,2,NA,NL,8,Baccalieu AR Klub,1,2012,NA,NA,NA,NA,NA,NA,NA
VO1MRC,1025,1AB,17,5,NA,NL,9,Marconi RC of Newfoundland Signal Hill Splinter Group,1,2012,NA,NA,NA,NA,NA,NA,NA
VO1VON,1436,2A,143,2,NA,NL,9,Soc Of Newfoundland Radio Amateurs,2,2012,NA,NA,NA,NA,NA,NA,NA
VY2DM,620,1D,155,2,NA,MAR,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VYØ/AH6EZ,501,1B1C,315,1,NA,NWT,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
VYØ/K9DXA,704,1B1C,139,2,NA,NWT,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W1ACT,4638,2A,1303,2,N1JOY,EMA,13,Bristol Cty RA,2,2012,NA,NA,NA,NA,NA,NA,NA
W1AQ,4562,1A,1464,2,NA,RI,13,ARA of So New England,1,2012,NA,NA,NA,NA,NA,NA,NA
W1AW,1607,2F,1055,1,NA,CT,10,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
W1BAA,2126,3A,316,2,K1LEE,ENY,28,Southern Berkshire ARC,3,2012,NA,NA,NA,NA,NA,NA,NA
W1BBV,242,2AC,21,2,NA,EMA,6,Brooksby Radio Amateur Group,2,2012,NA,NA,NA,NA,NA,NA,NA
W1BCG,436,1F,18,2,NA,CT,8,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W1BIM,5984,7A,1537,2,NA,WMA,31,Central Mass ARA,7,2012,NA,NA,NA,NA,NA,NA,NA
W1BOS,1628,3A,353,2,NA,EMA,15,Boston ARC,3,2012,NA,NA,NA,NA,NA,NA,NA
W1BRS,4156,9F,924,2,K9OEM,CT,12,NA,9,2012,NA,NA,NA,NA,NA,NA,NA
W1C,2412,3F,630,2,NA,WMA,23,NA,3,2012,NA,NA,NA,NA,NA,NA,NA
W1CLA,4896,3A,1443,2,W1MHL,EMA,50,NA,3,2012,NA,NA,NA,NA,NA,NA,NA
W1CUM,1488,2A,486,2,NA,NH,8,NHRC ARS,2,2012,NA,NA,NA,NA,NA,NA,NA
W1CWA,2280,3A,374,2,AB1OD,CT,45,Bloomfield ARC,3,2012,NA,NA,NA,NA,NA,NA,NA
W1DDD,3556,2A,762,2,W1TBR,RI,37,Blackstone Valley ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
W1ECH,5655,1E,600,5,NA,VT,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W1EDH,2622,5F,727,2,NA,CT,10,NA,5,2012,NA,NA,NA,NA,NA,NA,NA
W1EE,9940,3A,2961,2,K1FC,CT,81,Stamford ARA,3,2012,NA,NA,NA,NA,NA,NA,NA
W1GLO,1908,3A,207,2,NA,EMA,45,Cape Ann ARA,3,2012,NA,NA,NA,NA,NA,NA,NA
W1GZ,1022,3A,156,2,NA,WMA,12,Montachusett ARA,3,2012,NA,NA,NA,NA,NA,NA,NA
W1HFN,70,1D,10,2,NA,WMA,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W1HP,6988,2A,1631,2,KD1NA,EMA,20,PARC & PRA,2,2012,NA,NA,NA,NA,NA,NA,NA
W1IE,1090,2B2B,142,5,NA,VA,2,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
W1IS,6345,3AB,587,5,NA,EMA,50,PART of Westford,3,2012,NA,NA,NA,NA,NA,NA,NA
W1JCW,1265,1B1B,243,5,NA,OK,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W1JY,2796,6A,428,2,NA,NH,18,Central NH ARC,6,2012,NA,NA,NA,NA,NA,NA,NA
W1KJ,4782,3A,1282,2,NA,NH,25,White Mountain ARC,3,2012,NA,NA,NA,NA,NA,NA,NA
W1KVI,755,2AB,49,5,NA,ME,16,Portland Amateur Wireless Assn,2,2012,NA,NA,NA,NA,NA,NA,NA
W1KX,2076,1A,429,2,NA,ME,8,Bass Hill Rep Group,1,2012,NA,NA,NA,NA,NA,NA,NA
W1LAS,1772,2F,657,2,NA,CT,7,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
W1LY,9388,2A,2655,2,W1SYE,RI,38,Sakonnet 49'ers,2,2012,NA,NA,NA,NA,NA,NA,NA
W1MB,2430,2A,549,2,K1NQG,RI,7,Fidelity ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
W1MX,1466,2A,357,2,W1AF,EMA,11,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
W1N,3572,6A,1113,2,NA,EMA,45,"Whitman ARC, Inc.",6,2012,NA,NA,NA,NA,NA,NA,NA
W1NRG,3694,2A,791,2,NA,CT,20,Meriden ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
W1NVT,14802,2A,4639,2,W1PU,VT,28,Radio Amateurs of Northern Vermont,2,2012,NA,NA,NA,NA,NA,NA,NA
W1NY,10236,8A,2904,2,WB1Z,WMA,60,Hampden Cty RA,8,2012,NA,NA,NA,NA,NA,NA,NA
W1OCA,1306,2A,314,2,NA,ME,12,Oxford Cty ARES / CERT Comm,2,2012,NA,NA,NA,NA,NA,NA,NA
W1ON,550,2A,62,2,NA,EMA,4,Mitre Bedford ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
W1OP,5854,2A,1801,2,W1PRA,RI,12,Providence RA,2,2012,NA,NA,NA,NA,NA,NA,NA
W1ORS,312,2D,141,2,NA,CT,6,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
W1PBR,3580,2A,835,2,NA,ME,10,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
W1PNS,1240,1E,109,5,NA,EMA,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W1QI,4142,2A,893,2,NA,CT,25,Candlewood ARA,2,2012,NA,NA,NA,NA,NA,NA,NA
W1REP,1410,1E,105,5,NA,NC,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W1RO,234,1C,47,2,NA,SDG,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W1SAT,2474,7F,320,2,NA,ORG,50,NA,7,2012,NA,NA,NA,NA,NA,NA,NA
W1SMH,4118,3A,1008,2,NA,EMA,20,Sturdy Memorial Hospital ARC,3,2012,NA,NA,NA,NA,NA,NA,NA
W1TKZ,558,2A,36,2,NA,EMA,23,Wellesley ARS,2,2012,NA,NA,NA,NA,NA,NA,NA
W1TU,3084,2A,665,2,N1MEA,ME,32,Ellsworth Am Wireless Assn,2,2012,NA,NA,NA,NA,NA,NA,NA
W1UR,4100,2A,1337,2,W1BST,NH,9,Lakes Region Rep Assn,2,2012,NA,NA,NA,NA,NA,NA,NA
W1VCM,218,2D,30,2,NA,CT,4,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
W1WAB,78,1D,7,2,NA,WCF,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W1WIU,512,1D,177,2,NA,RI,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W1XH,1225,1B1B,108,5,NA,WMA,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W1YAR,765,1AB,43,5,NA,ME,7,Yarmouth RC Inc,1,2012,NA,NA,NA,NA,NA,NA,NA
W2AE,3400,4A,729,2,NA,WNY,32,Radio Amateurs of Greater Syracuse,4,2012,NA,NA,NA,NA,NA,NA,NA
W2AJW,130,1D,40,2,NA,AZ,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W2AMC,2504,3A,662,2,NA,NLI,25,Peconic ARC,3,2012,NA,NA,NA,NA,NA,NA,NA
W2CM,3968,4A,889,2,K9CHP,WNY,42,Liverpool Am Rep Club,4,2012,NA,NA,NA,NA,NA,NA,NA
W2CRA,3518,4A,766,2,NA,NNJ,28,Cherryville Repeater Assn,4,2012,NA,NA,NA,NA,NA,NA,NA
W2DQ,1500,4A,261,2,NA,NLI,28,Suffolk Cty RC,4,2012,NA,NA,NA,NA,NA,NA,NA
W2EB,510,1B1B,26,5,NA,WNY,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W2EF,2736,1F,568,2,NA,NNJ,10,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W2EGB,2166,2A,708,2,NA,ENY,22,East Greenbush ARA,2,2012,NA,NA,NA,NA,NA,NA,NA
W2EOC,1794,2F,427,2,NA,WNY,10,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
W2EUP,1316,3A,409,2,NA,WNY,15,Buffalo AR Repeater Assn,3,2012,NA,NA,NA,NA,NA,NA,NA
W2FHA,2182,5A,347,2,NA,WNY,16,Fort Herkimer ARA,5,2012,NA,NA,NA,NA,NA,NA,NA
W2GSA,3011,2F,1360,1,W2XYZ,NNJ,21,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
W2GSB,5136,5F,1195,2,W2TOB,NLI,75,NA,5,2012,NA,NA,NA,NA,NA,NA,NA
W2HO,3522,5A,838,2,K2ULZ,ENY,44,Orange Cty ARC,5,2012,NA,NA,NA,NA,NA,NA,NA
W2IMU,2478,1E,632,2,NA,SNJ,8,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W2IR,1728,3A,443,2,KC2UTE,ENY,25,Schenectady Museum ARA,3,2012,NA,NA,NA,NA,NA,NA,NA
W2LK,424,1D,115,2,NA,ENY,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W2LV,8518,4A,2168,2,W2FDB,NNJ,17,Sussex Cty ARC,4,2012,NA,NA,NA,NA,NA,NA,NA
W2LZ,3190,2AB,285,5,W2CD,WNY,8,Walton RA,2,2012,NA,NA,NA,NA,NA,NA,NA
W2MMD,12746,8A,3394,2,NA,SNJ,70,Gloucester Cty ARC,8,2012,NA,NA,NA,NA,NA,NA,NA
W2MO,1088,2A,160,2,NA,WNY,16,Madison-Oneida ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
W2MPX,1066,4F,121,2,NA,NNJ,21,NA,4,2012,NA,NA,NA,NA,NA,NA,NA
W2MRD,410,1E,80,2,NA,ENY,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W2NRC,500,1AC,75,2,NA,NNJ,14,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W2NYW,2920,2A,968,2,NA,ENY,15,Peekskill/Cortlandt ARA,2,2012,NA,NA,NA,NA,NA,NA,NA
W2OFQ,2614,3A,531,2,N2MG,WNY,14,Rome RC,3,2012,NA,NA,NA,NA,NA,NA,NA
W2ORC,4394,2F,973,2,WA2DQL,WNY,33,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
W2OW,2554,3A,750,2,NA,WNY,28,Binghamton ARA,3,2012,NA,NA,NA,NA,NA,NA,NA
W2PE,1704,4AC,420,2,NA,WNY,28,Radio Assn of WNY,4,2012,NA,NA,NA,NA,NA,NA,NA
W2PQG,224,1D,37,2,NA,NNJ,4,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W2RC,7684,2AC,2336,2,KW2O,NLI,21,Radio Central ARC / Order of Boiled Owls of NY,2,2012,NA,NA,NA,NA,NA,NA,NA
W2RDX,7102,2A,2024,2,W2AN,WNY,20,Rochester DX Assn,2,2012,NA,NA,NA,NA,NA,NA,NA
W2RME,4040,3A,995,2,NA,WNY,14,Chenango Valley ARA,3,2012,NA,NA,NA,NA,NA,NA,NA
W2RR,9228,2E,2164,2,NA,WNY,7,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
W2RUI,1286,4A,110,2,NA,WNY,24,LARA,4,2012,NA,NA,NA,NA,NA,NA,NA
W2SEX,2436,4F,482,2,K2LED,WNY,35,NA,4,2012,NA,NA,NA,NA,NA,NA,NA
W2SO,3634,8A,969,2,NA,WNY,12,Lancaster NY ARC,8,2012,NA,NA,NA,NA,NA,NA,NA
W2TZ,7632,2E,2520,2,NA,WNY,2,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
W2VL,3666,4A,783,2,WV2LI,NLI,120,Long Island Mobile ARC,4,2012,NA,NA,NA,NA,NA,NA,NA
W2XRX,4136,3A,1021,2,NA,WNY,10,Xerox ARC,3,2012,NA,NA,NA,NA,NA,NA,NA
W2YD,3006,2A,693,2,NA,NNJ,7,Morris RC,2,2012,NA,NA,NA,NA,NA,NA,NA
W2YRC,5544,3A,1327,2,KF2FK,ENY,37,Yonkers ARC,3,2012,NA,NA,NA,NA,NA,NA,NA
W2ZJ,824,2A,37,2,NA,WNY,23,ARA of the Southern Tier,2,2012,NA,NA,NA,NA,NA,NA,NA
W2ZQ,1612,2F,211,2,NA,SNJ,30,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
W3ACH,1856,3A,332,2,NA,WPA,46,Cumberland Valley ARC,3,2012,NA,NA,NA,NA,NA,NA,NA
W3AG,2280,1E,203,5,NA,WPA,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W3AI,4286,5A,1010,2,NA,EPA,20,RF Hill ARC,5,2012,NA,NA,NA,NA,NA,NA,NA
W3AO,35984,27A,11116,2,KE3Q,MDC,80,Potomac Valley RC & Columbia ARA,27,2012,NA,NA,NA,NA,NA,NA,NA
W3BAL,1104,1F,288,2,NA,MDC,8,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W3BN,2106,3A,403,2,NA,EPA,45,"Reading RC, Inc.",3,2012,NA,NA,NA,NA,NA,NA,NA
W3BSA,224,1AC,17,2,NA,VA,5,BSA Venturing Crew #80,1,2012,NA,NA,NA,NA,NA,NA,NA
W3CDI,1354,1A,272,2,NA,MDC,6,Poly Alumni RC,1,2012,NA,NA,NA,NA,NA,NA,NA
W3CSL,2780,3A,739,2,NA,WPA,25,Monessen ARC,3,2012,NA,NA,NA,NA,NA,NA,NA
W3CU,3324,4A,648,2,NA,MDC,25,Maryland Mobileers ARC,4,2012,NA,NA,NA,NA,NA,NA,NA
W3CWC,3744,6A,722,2,NA,MDC,39,Antietam RA,6,2012,NA,NA,NA,NA,NA,NA,NA
W3EM,4446,4A,1168,2,W3PSH,EPA,45,Phil-Mont Mobile RC,4,2012,NA,NA,NA,NA,NA,NA,NA
W3EOC,1544,2F,490,2,NA,EPA,14,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
W3FME,432,3E,29,2,NA,DE,3,NA,3,2012,NA,NA,NA,NA,NA,NA,NA
W3FT,1464,2D,410,2,NA,MDC,12,NA,2,2012,NA,NA,NA,NA,NA,NA,NA
W3GS (W3SQ & WB3IWC),366,1B2,101,2,NA,EPA,2,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W3GV,1958,4A,728,2,NA,WPA,21,Radio Assn of Erie,4,2012,NA,NA,NA,NA,NA,NA,NA
W3HA,2674,2A,679,2,NA,EPA,3,Carbon ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
W3HGT,3366,1E,1070,2,NA,NC,7,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W3HII,216,1E,33,2,NA,NFL,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W3HRK,1782,3E,448,2,NA,WPA,5,NA,3,2012,NA,NA,NA,NA,NA,NA,NA
W3IZ/2,992,1B1C,205,2,NA,ENY,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W3KDR,3596,1A,1046,2,NA,MDC,8,Dr. Loomis Memorial Junior Mechanics League,1,2012,NA,NA,NA,NA,NA,NA,NA
W3KGN,2568,3F,595,2,NA,EPA,14,NA,3,2012,NA,NA,NA,NA,NA,NA,NA
W3KS,896,1E,373,2,NA,DE,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
W3KWH,3380,3E,1016,2,NA,WPA,17,NA,3,2012,NA,NA,NA,NA,NA,NA,NA
W3LRC,1336,2A,342,2,NA,MDC,15,Laurel ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
W3LRS,712,2AC,31,2,NA,DE,3,Lewes ARS,2,2012,NA,NA,NA,NA,NA,NA,NA
W3M,5880,3A,1350,2,KV3B,MDC,46,Montgomery ARC,3,2012,NA,NA,NA,NA,NA,NA,NA
W3MIE,6292,2A,1636,2,N3QQH,WPA,39,Crawford ARA,2,2012,NA,NA,NA,NA,NA,NA,NA
W3NWA,1992,2A,478,2,N3MSS,EPA,33,Mid-Atlantic ARC,2,2012,NA,NA,NA,NA,NA,NA,NA
W3OC,3004,4A,844,2,KB3YRW,WPA,24,Two Rovers ARC,4,2012,NA,NA,NA,NA,NA,NA,NA
W3OK,4580,5A,1170,2,NA,EPA,60,DLARC,5,2012,NA,NA,NA,NA,NA,NA,NA
W3PBC,1905,2AB,172,5,NA,EPA,3,French Creek QRP Renegades,2,2012,NA,NA,NA,NA,NA,NA,NA
W3PGA,3130,3A,725,2,NA,MDC,15,Aero ARC,3,2012,NA,NA,NA,NA,NA,NA,NA
W3RA,2290,3A,601,2,NA,WPA,3,Allegheny Valley RA,3,2012,NA,NA,NA,NA,NA,NA,NA
W3RLO,90,1D,19,2,NA,DE,1,NA,1,2012,NA,NA,NA,NA,NA,NA,NA
