Call,GOTA CALL,FINAL SCORE,Category,Section,Power Multiplier,CLUB NAME,Participants,Transmitters,Power Source,TOTAL CW QSOs,TOTAL DIGITAL QSOs,TOTAL PHONE QSOs,TOTAL QSOs,BONUS POINTS
K9RBH,NA,328,1B1,IN,2,NA,1,1,B,0,0,39,39,250
K9RL,NA,594,1D,OR,2,NA,1,1,C,0,136,0,136,50
K9RN (+W9TD),W9TD,8298,2A,IL,2,McHenry Co. Wireless Assn.,16,2,G,1036,531,90,1657,1850
K9RWM,NA,905,1B1B,IN,5,NA,1,1,B,0,71,9,80,150
K9RZ,NA,408,1D,AZ,2,Okaw Valley ARC,1,1,C,0,17,145,162,50
K9SA,NA,884,1A,IL,2,Suburban UHF Amateur Repeater Soc.,11,1,B,24,23,23,70,650
K9SGB,NA,276,1B1,IL,2,Tri-Town RAC,1,1,B,0,0,13,13,250
K9SMM,NA,650,1D,IN,2,NA,1,1,C,0,149,2,151,50
K9SS (+NS9RC),NS9RC,11465,3A,IL,2,North Shore RC,102,3,G,1614,532,518,2664,1845
K9T,NA,1160,2A,IL,2,Northern IL Quad Co. ARG,8,2,G,0,123,9,132,650
K9TDB,NA,380,1E,IN,5,NA,1,1,B,0,13,0,13,250
K9TF,NA,278,1D,WI,2,5B WAS RC,1,1,C,2,55,0,57,50
K9TIT,NA,2230,2A,WI,2,Northeast WI ARC,10,2,G,172,212,52,436,590
K9TWW,NA,82,1E,MN,2,NA,1,1,B,0,0,16,16,50
K9UQN,NA,1494,1D,TN,2,NA,1,1,C,361,0,0,361,50
K9WPV,NA,190,1D,IN,2,Goshen ARC,1,1,C,29,0,12,41,50
K9WRA,NA,1346,4A,IL,2,Woodford Co. Repeater Assn.,18,4,G,25,0,48,73,1150
K9WX,NA,1322,1D,IN,2,Lafayette DX Assn.,1,1,C,270,0,1,271,240
KA0BOJ,NA,1846,2D,NE,2,NA,2,2,C,0,361,176,537,50
KA0CSW,NA,822,3AC,MN,2,NA,3,3,C,193,0,0,193,50
KA0DOS,NA,96,1D,IA,2,Des Moines Radio Amateurs Assn.,1,1,C,0,0,23,23,50
KA0EQP,NA,84,1D,NM,2,NA,1,1,C,0,0,17,17,50
KA0HCP,NA,256,1D,KS,2,NA,1,1,C,0,0,103,103,50
KA0SNL,NA,78,1D,IL,2,NA,1,1,C,0,7,0,7,50
KA0WS,NA,1222,1D,AL,2,NA,1,1,C,0,293,0,293,50
KA0YJE,NA,610,1D,MO,2,Heart of America RC,1,1,C,0,115,0,115,150
KA1AAR,NA,1890,1A,ME,2,Androscoggin ARES/RACES,38,1,G,136,5,138,279,1050
KA1CTL,NA,146,1D,EMA,2,Barnstable ARC,1,1,C,0,0,48,48,50
KA1EWN,NA,128,1D,EMA,2,Sturdy Memorial Hospital ARC,1,1,C,0,0,39,39,50
KA1KNW,NA,56,1C,CT,2,NA,1,1,B,1,0,26,27,0
KA1RUE,NA,422,1D,OH,2,NA,1,1,C,0,93,0,93,50
KA1RWY,NA,54,1D,CT,2,NA,1,1,C,0,0,2,2,50
KA2BEO,NA,650,1B1B,SNJ,5,NA,1,1,B,50,0,0,50,150
KA2BXH,NA,170,1D,SNJ,2,David Sarnoff ARC,1,1,C,0,0,10,10,150
KA2ENE,NA,1150,1D,WNY,2,NA,1,1,C,0,244,62,306,50
KA2FHN,NA,494,1E,WNY,2,NA,1,1,B,2,15,88,105,250
KA2FIR,NA,860,1D,NNJ,2,NA,1,1,C,154,0,97,251,50
KA2JAI,NA,858,1D,MDC,2,NA,1,1,C,0,177,0,177,150
KA2MGE,NA,1438,1D,WNY,2,Radio Assn. of Western NY,1,1,C,65,282,0,347,50
KA2OEE,NA,212,1B1,AR,2,NA,1,1,G,0,0,31,31,150
KA2SDD,NA,112,1D,ENY,2,NA,1,1,C,0,14,3,17,50
KA2TQV,NA,354,1D,NLI,2,NA,1,1,C,0,76,0,76,50
KA2YNH,NA,110,1D,SNJ,2,NA,1,1,C,15,0,0,15,50
KA3KSP,NA,128,1C,WPA,2,NA,1,1,G,0,0,39,39,50
KA3NUV,NA,746,1D,EPA,2,NA,1,1,C,0,174,0,174,50
KA3PCX,NA,342,2E,NC,2,NA,3,2,G,0,15,16,31,250
KA3PMW,NA,1202,1D,WPA,2,NA,1,1,C,0,263,0,263,150
KA3TTT,NA,990,1E,EPA,5,Phil-Mont Mobile RC,1,1,B,54,0,0,54,450
KA4EPB,NA,110,1D,NM,2,Echelon ARC,1,1,C,0,14,2,16,50
KA4HOT,NA,60,1D,IN,2,NA,1,1,C,0,0,5,5,50
KA4J,NA,4546,6E,TN,2,Cleveland ARC,73,6,G,154,548,184,886,1370
KA4JSQ,NA,260,1E,NTX,5,Southwest Dallas Co. ARC,1,1,B,0,0,22,22,150
KA4KBX,NA,334,1D,AL,2,NA,1,1,C,0,71,0,71,50
KA4NDY,NA,170,1B1,AL,2,Highlands Hams,1,1,B,0,0,10,10,150
KA4VQD,NA,162,1D,GA,2,Piedmont ARC,1,1,C,0,0,6,6,150
KA5B,NA,770,3A,NM,2,Eastern NM ARC,12,3,G,55,0,0,55,550
KA5CJJ,NA,7395,2AB,NTX,5,NETX QRP Contest Fed.,3,2,B,289,425,1,715,250
KA5D,NA,4670,1AB,STX,5,South TX Rovers,4,1,B,183,200,58,441,550
KA5FDX,NA,164,1D,AR,2,NA,1,1,C,0,13,31,44,50
KA5HSL,NA,398,1D,LA,2,Bayouland Em. ARS,1,1,C,0,0,24,24,350
KA5LMZ,NA,264,1D,LA,2,Bayouland Em. ARS,1,1,C,0,0,7,7,250
KA5M,NA,1538,1E,LA,2,CW Operators' Club,1,1,G,347,0,0,347,150
KA5NDH,NA,1198,1D,TN,2,NA,1,1,C,0,274,26,300,50
KA5ULE,NA,238,1D,WTX,2,NA,2,1,C,0,0,44,44,150
KA5VZG,NA,230,1D,TN,2,PODXS 070,1,1,C,0,45,0,45,50
KA6BMZ,NA,300,1D,ORG,2,NA,1,1,C,0,0,125,125,50
KA6JMR,NA,92,1D,LAX,2,Palos Verdes ARC,1,1,C,0,10,1,11,50
KA6JWR,NA,78,1D,LAX,2,Palos Verdes ARC,1,1,C,0,0,4,4,70
KA6LJR,NA,448,1D,LAX,2,Palos Verdes ARC,1,1,C,0,93,3,96,70
KA6MJR,NA,262,1D,LAX,2,Palos Verdes ARC,1,1,C,0,46,4,50,70
KA6ZTO,NA,158,1D,ORG,2,South Bay ARC,1,1,C,0,24,6,30,50
KA7BVS,NA,310,1D,WWA,2,Sky Valley ARC,1,1,C,0,40,0,40,150
KA7KRX,NA,166,1E,UT,2,NA,1,1,B,0,0,8,8,150
KA7NPQ,NA,164,1E,AZ,2,NA,1,1,B,0,0,7,7,150
KA7RGW,NA,72,1D,AZ,2,NA,1,1,C,0,5,1,6,50
KA7ULD,NA,180,1B1B,MT,5,NA,1,1,B,3,0,0,3,150
KA7X,NA,160,1D,OR,2,NA,1,1,C,0,0,55,55,50
KA8G,NA,602,1E,OH,2,NA,1,1,B,138,0,0,138,50
KA8GKT,NA,1340,1B1B,OH,5,CW Band-Dits,1,1,B,109,0,0,109,250
KA8MMI,NA,2302,1D,KS,2,Santa Fe ARC,1,1,C,0,563,0,563,50
KA8ZEP,NA,534,1D,OH,2,NA,1,1,C,0,121,0,121,50
KA9BHD,NA,300,1D,IL,2,Dupage ARC,1,1,C,25,25,25,75,50
KA9CAR,NA,134,1D,IL,2,McHenry Co. Wireless Assn.,1,1,C,21,0,0,21,50
KA9GDW,NA,136,1D,IN,2,Patoka Valley ARC,1,1,C,0,0,43,43,50
KA9IUC,NA,354,1D,IL,2,Tri-Town RAC,1,1,C,0,51,0,51,150
KA9IVY,NA,120,1D,OH,2,NA,1,1,C,0,0,35,35,50
KA9VLC (+K9KVS),NA,178,1B2,IL,2,NA,2,1,B,32,0,0,32,50
KA9WPO,NA,460,1B1B,IL,5,NA,1,1,B,0,41,0,41,50
KA9ZXN,NA,94,1D,IL,2,Suburban Technical ARS,1,1,C,0,0,22,22,50
KB0ETC,NA,780,1B1B,SD,5,NA,1,1,B,0,0,82,82,370
KB0GT,NA,562,1D,MN,2,Rochester (MN) ARC,1,1,C,128,0,0,128,50
KB0MU,NA,312,1A,KS,2,Nemaha Co. AR Org.,4,1,B,0,2,27,29,250
KB0NES,NA,654,1E,MN,2,Twin Cities Repeater Club,1,1,B,105,0,42,147,150
KB0QGT,NA,302,1D,KS,2,NA,1,1,C,0,63,0,63,50
KB0SMX,NA,2786,4A,NE,2,Plattsmouth ARC,15,4,G,259,0,150,409,1450
KB0TLL,NA,922,3A,MO,2,Jefferson Co. (MO) ARC,3,3,B,38,1,58,97,650
KB0TUA,NA,334,1D,MO,2,NA,1,1,C,71,0,0,71,50
KB0VHA,NA,2322,1E,CO,2,NA,1,1,G,0,543,0,543,150
KB0YH,NA,400,1E,CO,2,NA,1,1,B,0,0,75,75,250
KB0ZAO,NA,262,1A,CO,2,Pueblo West ARC,3,1,B,0,0,6,6,250
KB1DGY,NA,802,1F,CT,2,Eastford EMCOMM,1,1,B,0,0,1,1,800
KB1EWM,NA,68,1D,CT,2,NA,1,1,C,0,0,9,9,50
KB1FDW,NA,146,1D,VT,2,Green Mountain Wireless Soc.,1,1,C,0,0,23,23,100
KB1HXO,NA,495,1B1B,WMA,5,NA,1,1,B,0,0,49,49,250
KB1NO,NA,650,1E,EMA,2,HP Alumni RC,1,1,B,100,0,0,100,250
KB1RJS,NA,122,1C,CT,2,NA,1,1,C,0,0,36,36,50
KB1RVU,NA,82,1D,CT,2,NA,1,1,C,0,0,16,16,50
KB1RZA (+KB1RA),NA,320,1B1,VT,2,NA,1,1,B,0,0,85,85,150
KB1VUN,NA,190,1D,NH,2,NA,1,1,C,35,0,0,35,50
KB1VXY,NA,252,1D,EMA,2,Framingham ARA,1,1,C,0,0,101,101,50
KB1YO,NA,150,1E,CT,2,NA,1,1,B,0,0,40,40,70
KB1YTR,NA,292,1E,MN,2,Wireless Soc. of Southern Maine,1,1,B,0,0,21,21,250
KB2BIT,NA,3260,2E,NFL,5,NA,1,2,B,26,253,0,279,470
KB2CDX,NA,120,1D,ENY,2,East Greenbush ARA,1,1,C,0,0,35,35,50
KB2DSR (+KB2DSQ),NA,1275,2B2B,WNY,5,NA,2,2,B,0,0,165,165,450
KB2DX,NA,150,1D,ENY,2,NA,1,1,C,0,2,46,48,50
KB2FA,NA,54,1D,SNJ,2,David Sarnoff ARC,1,1,C,0,0,2,2,50
KB2FCV,NA,1322,1D,NNJ,2,New Providence ARC,1,1,C,318,0,0,318,50
KB2MN,NA,994,1D,SNJ,2,Southern Counties ARA,2,1,C,200,0,22,222,150
KB2NGK,NA,306,1E,NNY,2,NA,1,1,B,0,39,0,39,150
KB2RTI,NA,950,1D,ME,2,Garden State ARA,1,1,C,0,221,8,229,50
KB2TDT,NA,200,1D,WNY,2,NA,1,1,C,0,0,75,75,50
KB2URI,NA,1472,3E,WNY,2,Niagara Frontier Radiosport,1,3,B,17,142,43,202,750
KB3AAY,NA,4760,1E,MDC,5,NA,1,1,B,461,0,0,461,150
KB3FW,NA,298,1D,SC,2,Sun City Hilton Head ARC,1,1,C,37,0,0,37,150
KB3GJE (+KB3RPC),NA,1062,2B2,MDC,2,NA,2,2,G,0,167,12,179,370
KB3GTN,NA,464,1B1,MDC,2,Bowie Wireless Assn.,1,1,B,0,0,157,157,150
KB3IAI,NA,284,1B1,MDC,2,Anne Arundel RC,1,1,B,0,6,5,11,250
KB3KOC,NA,520,1E,MDC,2,NA,1,1,B,0,0,185,185,150
KB3LTT,NA,560,1B2,EPA,2,NA,2,1,B,0,0,105,105,350
KB3NSK,NA,658,1D,WPA,2,NA,1,1,C,152,0,0,152,50
KB3P,NA,692,1D,EPA,2,NA,1,1,C,150,0,21,171,50
KB3RKM,NA,202,1D,EPA,2,NA,1,1,C,0,0,76,76,50
KB3SPH,NA,354,1B1,MDC,2,NA,1,1,B,0,0,52,52,250
KB4AHI,NA,454,1D,GA,2,Gwinnett ARS,1,1,C,0,101,0,101,50
KB4CC,NA,540,2F,GA,2,Camden Co. ARS,10,2,C,0,0,145,145,250
KB4CG,NA,3562,1B1,VA,2,Potomac Valley RC,1,1,G,727,76,0,803,350
KB4DE,NA,350,1D,SC,2,CARCSC,1,1,C,75,0,0,75,50
KB4ENQ,NA,102,1D,KY,2,Woodford Co. ARC,3,1,C,0,0,16,16,70
KB4KY,NA,210,6AC,KY,2,Nelson Co. Post 42 American Legion ARC,12,6,C,0,15,50,65,50
KB4RG,NA,2488,2E,WTX,2,NA,2,2,G,0,379,211,590,550
KB4VL,NA,498,1D,TN,2,Tellico Lake ARC,1,1,C,0,112,0,112,50
KB5A (+N5KRG),N5KRG,2451,3AC,NTX,2,Metrocrest ARS,30,3,C,0,133,262,395,1395
KB5CZH,NA,662,1D,NTX,2,Cove Repeater Assn.,1,1,C,0,150,1,151,60
KB5ILY,NA,174,1E,AR,2,NA,1,1,B,0,6,0,6,150
KB5MAR,NA,422,2F,NTX,2,Marshall ARC,6,2,G,0,0,86,86,250
KB5QR,NA,198,1D,AR,2,Benton ARS,1,1,C,0,31,12,43,50
KB5TX,NA,302,4AC,STX,2,Kendall ARS,4,4,C,0,0,16,16,270
KB5WBH,NA,254,1E,AR,2,NA,1,1,G,0,26,0,26,150
KB6A,NA,654,1D,ORG,2,NA,1,1,C,151,0,0,151,50
KB6C,NA,914,2D,SB,2,NA,2,2,C,0,216,0,216,50
KB6DKK,NA,92,1D,LAX,2,NA,1,1,C,0,1,19,20,50
KB6EOC,NA,1990,9A,EB,2,Benicia ARC,18,9,B,87,32,32,151,1450
KB6LEE,NA,94,1D,SCV,2,Santa Cruz Co. ARC,1,1,C,0,0,22,22,50
KB6ODH,NA,238,1E,SV,2,North Hills RC,1,1,B,0,0,44,44,150
KB7AVT,NA,1306,1D,MO,2,NA,1,1,C,0,314,0,314,50
KB7AWG (+KB7MLK),NA,340,1B2,NTX,2,Red Mountain Radio Amateurs,2,1,G,0,0,95,95,150
KB7GFL,NA,282,1D,WWA,2,Sky Valley ARC,1,1,C,0,33,0,33,150
KB7GK,NA,640,1E,ID,5,NA,1,1,B,0,0,98,98,150
KB7KDT,NA,490,1B1B,EWA,5,NA,1,1,B,24,0,0,24,250
KB7LJP,NA,780,1B1B,WWA,5,NA,1,1,B,43,0,0,43,350
KB7ONX,NA,74,1D,OR,2,NA,1,1,C,0,6,0,6,50
KB7QAG,NA,60,1D,WWA,2,NA,1,1,C,0,0,5,5,50
KB7VCO,NA,534,1D,AZ,2,NA,1,1,C,0,96,0,96,150
KB7WSD,NA,310,1D,WWA,2,NA,2,1,C,0,65,0,65,50
KB7XL (+W6AAE),NA,726,1B2,NV,2,NA,2,1,B,0,0,238,238,250
KB8AOB,NA,250,1E,WV,5,Mountaineer ARA,1,1,B,0,10,0,10,150
KB8BMY,NA,255,1B1B,WWA,5,PSRG/WSARC/Seattle ACS,1,1,B,0,0,1,1,250
KB8DX,NA,434,1D,WV,2,NA,1,1,C,0,96,0,96,50
KB8GUN,NA,202,1D,OH,2,Hocking Valley ARC,1,1,C,38,0,0,38,50
KB8M,NA,102,1B1,MI,2,NA,1,1,B,13,0,0,13,50
KB8RTB,NA,650,1B1B,OH,5,NA,1,1,B,0,60,0,60,50
KB8TL,NA,444,1D,MI,2,Livonia ARC,1,1,C,97,0,3,100,50
KB8U,NA,880,1C,MI,5,NA,1,1,B,83,0,0,83,50
KB8UIP,NA,182,1D,SDG,2,NA,1,1,C,0,33,0,33,50
KB8VJA,NA,82,1D,MN,2,Anoka Co. RC,1,1,C,0,8,0,8,50
KB8VOM,NA,654,1D,OH,2,Hocking Valley ARC,1,1,C,0,64,74,138,250
KB8W,NA,430,1E,MI,5,Copper Country Radio Amateur Assn.,1,1,B,28,0,0,28,150
KB9FU,NA,344,1E,STX,2,NA,1,1,S,0,0,97,97,150
KB9HGI,NA,566,1D,IL,2,NA,1,1,C,0,129,0,129,50
KB9KMB,NA,772,3B1,IN,2,NA,1,3,B,0,79,53,132,350
KB9LFZ,NA,476,1C,NTX,2,NA,1,1,B,0,0,163,163,150
KB9PA,NA,60,1D,WI,2,NA,2,1,C,0,0,5,5,50
KB9S,NA,1294,1C,WI,2,Eau Claire ARC,1,1,B,204,57,0,261,250
KB9SCT,NA,878,1D,WI,2,NA,1,1,C,0,207,0,207,50
KB9TYC,NA,400,1D,WI,2,Barron Co. ARA,2,1,C,0,22,21,43,270
KB9VMO,NA,1410,1D,IN,2,NA,1,1,C,0,315,0,315,150
KB9WBM,NA,130,1D,IL,2,NA,1,1,C,0,20,0,20,50
KB9ZDD,NA,182,1D,IL,2,NA,1,1,C,0,25,16,41,50
KC0CCR,NA,1120,1B1B,KS,5,NA,1,1,B,77,0,0,77,350
KC0CQD,NA,126,1D,MO,2,NA,1,1,C,0,0,38,38,50
KC0ERT,NA,2636,2A,MO,2,Raytown CERT ARC,8,2,G,0,216,241,457,1290
KC0FGX,NA,2434,1D,MO,2,NA,1,1,C,0,596,0,596,50
KC0INP,NA,214,1D,MN,2,Mining ARC/St. Paul RC,1,1,C,34,0,14,48,50
KC0M,NA,1696,2A,MO,2,Tri-Lakes ARC,14,2,B,222,0,79,301,650
KC0NSR,NA,558,1E,MN,2,NA,1,1,G,0,80,44,124,150
KC0RVS (+KF0BOB),KF0BOB,949,3A,CO,2,Village 7 ARC,20,3,B,0,11,70,81,765
KC0UJC,NA,564,1E,IA,2,NA,1,1,G,84,0,29,113,170
KC0WEI,NA,190,1E,MO,2,NA,2,1,B,0,0,20,20,150
KC1BDJ,NA,294,1B1,VT,2,NA,1,1,B,18,0,86,104,50
KC1CHJ,NA,334,1D,NH,2,NA,1,1,C,0,71,0,71,50
KC1CPA,NA,306,1E,ME,2,NA,1,1,B,0,0,78,78,150
KC1CUE (+N1YNI),N1YNI,7199,2F,RI,2,Coventry EMA,20,2,C,0,696,385,1081,3645
KC1DSQ,NA,846,1D,EMA,2,PART of Westford,1,1,C,0,199,0,199,50
KC1ETY,NA,138,1D,CT,2,Heritage Village Radio and Electronics Club,1,1,C,0,0,44,44,50
KC1FOZ,NA,184,1B1,NH,2,NA,1,1,S,0,0,17,17,150
KC1KVR,NA,390,1D,KS,2,NA,1,1,C,0,85,0,85,50
KC1LNL,NA,126,3A,WMA,2,Quaboag Valley ARC,3,3,B,0,0,38,38,50
KC1LWE,NA,400,1E,EMA,2,PART of Westford,1,1,B,0,0,75,75,250
KC1MIJ,NA,550,1B1,EMA,2,NA,1,1,B,0,100,0,100,150
KC1NBI,NA,382,2E,WMA,2,NA,2,2,B,0,0,66,66,250
KC1OT,NA,568,1E,CT,2,NA,1,1,B,0,0,149,149,270
KC1OXM,NA,170,1D,NH,2,Port City ARC,1,1,C,0,0,60,60,50
KC1PQX,NA,178,1E,EMA,2,PART of Westford,1,1,B,0,0,4,4,170
KC1QKU,NA,134,1D,EMA,2,BARS/Billerica CERT,1,1,C,0,17,8,25,50
KC1QMG,NA,62,1E,CT,2,NA,1,1,B,0,0,6,6,50
KC1QYD,NA,354,1D,RI,2,Providence Radio Assn.,1,1,C,0,76,0,76,50
KC1RDH,NA,255,1B1B,WMA,5,NA,1,1,B,0,0,1,1,250
KC1RFR,NA,1268,2AC,NH,2,Country Pond ARG,15,2,C,143,158,7,308,50
KC1RLS,NA,494,1D,NH,2,NA,1,1,C,0,111,0,111,50
KC1RVY,NA,100,1D,TN,2,NA,1,1,C,0,0,25,25,50
KC2FTD,NA,584,2F,ENY,2,New York State EOC,3,2,C,0,29,109,138,250
KC2HRO,NA,152,1D,ENY,2,East Greenbush ARA,1,1,C,0,0,51,51,50
KC2IGE,NA,670,1D,NLI,2,NA,1,1,C,0,150,0,150,70
KC2JPA,NA,534,2E,ID,2,NA,2,2,G,0,71,0,71,250
KC2JRQ,NA,164,1D,NLI,2,Nassau Co. Police ARC,1,1,C,0,0,7,7,150
KC2LEB,NA,440,1D,EPA,2,NA,1,1,C,0,0,195,195,50
KC2LM,NA,904,1E,NM,2,Amateur Radio Caravan Club,2,1,G,64,41,7,112,470
KC2NJ,NA,1686,1D,NNJ,2,NA,3,1,C,0,292,224,516,70
KC2OUV,NA,990,1E,SNJ,2,Southern Counties ARA,1,1,G,0,200,20,220,150
KC2RC (+KC2RC),KC2RC,1108,2A,NLI,2,Kings Co. RC,22,2,G,42,71,43,156,570
KC2UES,NA,58,1D,WNY,2,NA,1,1,C,1,1,0,2,50
KC2USA,NA,288,1B1,WNY,2,NA,1,1,G,0,0,69,69,150
KC2VTM,NA,68,1D,ENY,2,Orange Co. (NY) ARC,1,1,C,0,1,7,8,50
KC2WUF,NA,946,1D,NNJ,2,New Providence ARC,1,1,C,35,142,24,201,190
KC3BXN,NA,198,1B1,MDC,2,NA,1,1,G,0,0,24,24,150
KC3C,NA,2998,1D,EPA,2,NA,1,1,C,661,0,47,708,260
KC3DTE,NA,722,1A,WPA,2,Indiana Co. ARC,3,1,G,0,0,276,276,170
KC3EF,NA,1130,1D,NFL,2,NA,1,1,C,0,270,0,270,50
KC3EWJ,NA,174,1D,EPA,2,Reading RC,1,1,C,0,0,62,62,50
KC3FHC,NA,1950,2F,MDC,2,Harford Co. ARES RACES,11,2,G,112,26,124,262,1150
KC3FL,NA,534,1D,WCF,2,PODXS 070,1,1,C,0,121,0,121,50
KC3FVN,NA,566,1B1,EPA,2,NA,1,1,G,0,129,0,129,50
KC3GBU,NA,84,1D,EPA,2,Adams Co. ARS,1,1,C,0,0,17,17,50
KC3IEU,NA,280,1B1,VA,2,NA,1,1,B,0,0,15,15,250
KC3IZX (+WT2F),NA,318,1B2,UT,2,Potomac Valley RC,2,1,B,12,0,0,12,270
KC3LNB,NA,54,1D,EPA,2,NA,1,1,C,1,0,0,1,50
KC3M,NA,1150,1D,EPA,2,NA,1,1,C,275,0,0,275,50
KC3MAL,NA,370,1E,DE,2,Sussex ARA,1,1,B,53,2,0,55,150
KC3NFV,NA,150,1D,WPA,2,Washington Amateur Communications,1,1,C,0,0,50,50,50
KC3OQZ,NA,1316,2D,EPA,2,NA,5,2,C,0,243,77,320,190
KC3PIB,NA,1206,1E,WPA,2,NA,2,1,B,0,249,20,269,170
KC3QLX,NA,904,1E,EPA,2,NA,1,1,G,0,135,12,147,340
KC3RBB,NA,176,1D,EPA,2,NA,1,1,C,4,8,39,51,50
KC3RHQ,NA,1340,1D,WPA,2,Butler Co. Amateur Radio Public Svc. Grp,1,1,C,0,322,1,323,50
KC3RWU,NA,282,1B1,EPA,2,NA,1,1,B,0,0,66,66,150
KC3SDJ,NA,370,1D,WPA,2,NA,1,1,C,0,80,0,80,50
KC3SQI,NA,142,1D,EPA,2,985 Repeater Grp.,1,1,C,0,0,46,46,50
KC3STZ,NA,182,1D,WPA,2,Washington Amateur Communications,1,1,C,0,0,66,66,50
KC3SVR,NA,90,1D,MDC,2,Northeast MD AR Contest Soc.,1,1,C,10,0,0,10,50
KC3TKC (+KC3VST),KC3VST,991,2A,EPA,2,Perry Co. ARC,16,2,B,0,0,173,173,645
KC3TL,NA,818,2A,WPA,2,TLSC Amateur Radio Grp.,19,2,B,0,0,124,124,570
KC3UII,NA,1748,1D,ORG,2,Murgas ARC,1,1,C,0,339,161,500,70
KC3UWR,NA,94,1D,MDC,2,NA,1,1,C,0,11,0,11,50
KC3WX,NA,5534,2D,EPA,2,Koorvya Schlocky Field Day Grp.,3,2,C,926,73,694,1693,150
KC4FLT,NA,716,3AC,AL,2,NA,3,3,C,83,53,61,197,50
KC4GCK,NA,998,1D,GA,2,NA,1,1,C,0,237,0,237,50
KC4GIA,NA,1080,1B1B,VA,5,NA,1,1,B,73,0,0,73,350
KC4KZR,NA,398,1D,NC,2,NA,1,1,C,0,62,0,62,150
KC4MC,NA,1146,2A,TN,2,Meigs Co.  ARC,4,2,G,0,96,56,152,650
KC4RC (+K4KBI),K4KBI,925,2A,SC,2,Kershaw Co. ARC,19,2,B,1,0,23,24,875
KC4RSL,NA,278,1D,GA,2,NA,2,1,C,0,0,54,54,170
KC4TIE,NA,418,1D,KY,2,NA,1,1,C,0,92,0,92,50
KC4TNQ,NA,1042,1D,TN,2,NA,1,1,C,0,188,70,258,150
KC4UG,NA,1900,2A,AL,2,West Alabama ARC,20,2,G,0,0,395,395,1110
KC4WEB,NA,164,1B1,MS,2,NA,1,1,B,0,15,27,42,50
KC4WPS,NA,2254,1D,KY,2,Paducah ARA,1,1,C,0,526,0,526,150
KC5CMX,NA,238,1E,NFL,2,NA,1,1,B,0,22,0,22,150
KC5DR (+WA5WX),WA5WX,1755,3A,LA,2,Louisiana Delta RC,21,3,G,53,52,75,180,1185
KC5IMN,NA,92,2D,MS,2,NA,2,2,C,0,0,21,21,50
KC5LL,NA,256,1B1,NTX,2,Lake Area AR Klub,1,1,G,0,0,53,53,150
KC5NX,NA,3290,2AB,NTX,5,Club KC5NX,61,2,B,0,76,256,332,1250
KC5OLO (+W5CHS),W5CHS,1515,3F,WTX,2,Key City ARC,35,3,C,120,42,176,338,515
KC5PPG,NA,68,1E,STX,2,Cross Roads Ham RC,1,1,B,0,0,9,9,50
KC5QOC,NA,326,1B1,NM,2,Amateur Radio Caravan Club,1,1,B,0,19,0,19,250
KC5VAZ,NA,1220,1B1B,STX,5,NA,1,1,B,0,87,0,87,350
KC5WW,NA,600,2E,OK,2,NA,3,2,B,0,0,125,125,350
KC6ISS,NA,376,1E,VA,2,SPARK/HPT/PARC,1,1,B,0,0,63,63,250
KC6YIH,NA,266,1D,LAX,2,Crescenta Valley RC,1,1,C,0,54,0,54,50
KC6ZBE,NA,166,1D,STX,2,NA,1,1,C,29,0,0,29,50
KC6ZZT,NA,54,1D,EB,2,NA,1,1,C,1,0,0,1,50
KC7H,NA,136,1D,EWA,2,Panoramaland ARC,1,1,C,0,0,43,43,50
KC7KCN,NA,1164,3A,AZ,2,Coconino ARC,9,3,B,0,33,191,224,650
KC7KFF,NA,974,2D,AZ,2,Milky Way Wireless Club,2,2,C,108,34,178,320,50
KC7ND,NA,198,1E,TN,2,Delta/MARA/Nashoba/ARES,1,1,B,0,0,49,49,100
KC7O,NA,672,1E,LAX,2,CITARC/JPLARC/PRC/SPARC,1,1,B,0,0,261,261,150
KC7STU,NA,390,1D,EWA,2,NA,1,1,C,0,85,0,85,50
KC7TMC,NA,564,1B2,NV,2,Hams on the Hill Field Day,2,1,B,0,0,47,47,470
KC7V,NA,454,1D,AZ,2,Arizona Outlaws Contest Club,1,1,C,101,0,0,101,50
KC7WDL,NA,66,1E,WWA,2,NA,1,1,B,0,4,0,4,50
KC7Z,NA,1398,3F,WWA,2,Kitsap Co. ARC,30,3,C,112,59,132,303,450
KC8AAV,NA,1086,2A,OH,2,Sunday Creek ARF,6,2,G,0,4,360,364,350
KC8CNN,NA,1774,4A,MI,2,Tuscola Co. ARA,13,4,G,139,100,134,373,550
KC8J,NA,758,1D,SDG,2,NA,1,1,C,177,0,0,177,50
KC8MRC,NA,68,1D,OH,2,Cuyahoga ARS,1,1,C,0,0,9,9,50
KC8OH,NA,1544,3A,OH,2,Amigos RC Ashtabula,15,3,G,0,54,329,383,670
KC8QVR,NA,694,1D,OH,2,NA,1,1,C,0,161,0,161,50
KC8RJS,NA,456,1B1,OH,2,NA,1,1,B,0,0,53,53,350
KC8SQC,NA,530,1B1B,MI,5,NA,1,1,B,37,1,0,38,150
KC8SQQ,NA,1186,2A,OH,2,SCARS,7,2,G,0,69,180,249,550
KC8T,NA,166,1B1,EPA,2,NA,1,1,B,2,2,0,4,150
KC8VC (+W8JWN),W8JWN,1324,3A,MI,2,Mich-A-Con ARC,10,3,G,58,62,87,207,670
KC8WH,NA,246,1E,OH,2,Seneca RC,1,1,B,22,0,54,76,50
