CALL,FINAL SCORE,CLASS,TOTAL QSOS,Power Multiplier,GOTA CALL,SEC,Number of Participants,CLUB NAME
K6UD,1647,5A,387,1,NA,LAX,15,ARES LAX - Northeast Section
K6UF,880,1E,218,2,NA,SCV,1,NA
K6WSC,1222,1E,268,2,NA,AZ,2,NA
K6XN,1378,1E,408,2,NA,SV,1,NA
K6YA,4000,3A,1075,2,NE6RD,SCV,25,Foothills ARS
K6ZT,1176,3F,213,2,NA,ORG,19,NA
K7A,1870,1A,409,2,NA,MT,4,Bitterroot AR Contest Group
K7AUO,1112,1A,421,2,NA,WWA,4,TERAC
K7AV,322,1E,20,2,NA,AZ,1,NA
K7BIR,822,2A,311,2,NA,MT,18,Eureka Repeater Group
K7BX,770,1D,180,2,NA,WWA,1,NA
K7CCH,2530,4A,688,2,NA,OR,34,Coos Co RC
K7CEM,2636,5F,691,2,NA,WWA,25,NA
K7CST,1786,3A,187,2,N7MU,WWA,32,Kent Comm Support Team
K7CVO,675,2A,4,5,NA,OR,13,Benton Co ARES
K7DAV,4828,3A,1081,2,AL7AA,UT,104,Davis Co ARC
K7DCO,476,1E,163,2,NA,AZ,2,NA
K7DPS,2214,2F,736,2,NA,AZ,14,NA
K7DR,3128,1B2C,929,2,NA,MI,2,NA
K7E,826,1D,235,2,NA,AZ,1,NA
K7EA,1658,1E,352,2,NA,UT,1,NA
K7EUG,2166,2A,663,2,NA,OR,3,NA
K7EUR,832,2AC,121,2,NA,MT,16,Tobacco Valley ARC
K7EW,830,1B1B,63,5,NA,OR,1,NA
K7FA,1618,3A,328,2,NA,AZ,7,Arizona Outlaws CC
K7FDF,1810,2A,219,2,AC7VL,WWA,19,Renton Em Com Serv
K7FED,338,1E,119,2,NA,EB,1,NA
K7GGG,3230,1B2,1006,2,NA,AZ,2,NA
K7GL,2498,3A,804,2,K7NAL,UT,20,Wasatch Back Tri-Co AR Group
K7GUN,912,2AC,236,2,WB8UCD,OH,10,Champaign Cty ARES
K7HIO,130,1F,30,2,NA,OR,1,NA
K7HON,1516,3A,423,2,KC9TKC,AZ,5,Honeywell-Glendale ARC
K7IA,3110,1E,699,2,NA,NM,1,NA
K7ID,2380,2AC,534,2,NA,ID,49,Kootenai ARS
K7ING,240,1D,60,2,NA,AZ,1,NA
K7ISQ,1350,3A,137,2,NA,WWA,29,Issaquah Comm Support Team
K7JAN,590,1A,220,2,NA,OR,4,Mount Joseph Contest Group
K7JKM,102,1C,1,2,NA,OR,1,NA
K7KXO,326,1E,38,2,NA,WWA,1,NA
K7LED,14482,6A,4695,2,AE7G,WWA,64,Mike & Key ARC
K7LIX,1570,3A,324,2,WM7K,OR,26,Southern Oregon ARC
K7LWH,2310,5A,375,2,NA,WWA,60,Lake Washington Ham Club
K7MOO,610,2A,60,1,K7ICT,OR,10,TCARES
K7MPR,1544,4A,476,2,NA,AZ,25,Mohave ARC
K7NEW,610,1E,56,5,NA,WWA,1,NA
K7NWS,1876,2A,374,2,N7XTL,WWA,12,Boeing Employees ARS
K7PIR,408,1E,149,2,NA,AZ,1,NA
K7PSU,260,1E,80,2,NA,AZ,2,NA
K7RDG,286,2F,59,2,NA,AZ,6,NA
K7RE,2702,1B1,638,2,NA,WY,1,NA
K7RF,1588,1B2,411,2,NA,OR,2,NA
K7RL,1935,1D,1041,1,NA,WWA,1,NA
K7SDX,2210,2A,596,2,NA,EWA,20,Spokane DX Assn & Panoramaland ARC
K7SEL,1108,1E,267,2,(none),ID,8,SEL Amateur Radio Club
K7SI,876,4A,93,2,NA,ID,8,Snake River ARC
K7STU,172,1D,61,2,NA,NV,1,NA
K7SWE,282,1B1,66,2,NA,EWA,1,NA
K7TR,3590,3A,991,2,NA,AZ,10,Scottsdale ARC
K7UB,2368,4A,562,2,NA,UT,30,Golden Spike ARC
K7UM,16668,4A,5363,2,KF7P,UT,32,Utah DX Assn
K7UQH,534,1C,96,2,NA,WWA,1,NA
K7UWR,368,1C,109,2,NA,CO,1,NA
K7VBY,106,1D,14,2,NA,OR,1,NA
K7VGF,426,1E,69,2,NA,WWA,1,NA
K7VK,895,1B1B,78,5,NA,MT,1,NA
K7VO,1430,1C,590,2,NA,WWA,1,NA
K7WA,966,1B1C,207,2,NA,WWA,1,NA
K7YJ,162,1B2C,6,2,NA,EWA,2,NA
K8AB,3540,1B1B,339,5,NA,OH,1,NA
K8BF,10078,4A,3568,2,KD8VT,OH,220,Portage Co ARS
K8BLP,3320,4A,844,2,K8HGY,OH,8,Triangle ARC
K8BMI,1804,7A,297,2,NA,MI,42,NA
K8BRC,1364,4AC,331,2,NA,MI,28,Black River ARC
K8BTP,684,2A,57,2,NA,OH,23,Salem Area ARA
K8BXQ,4160,7A,1135,2,KD8JBS,OH,12,Fulton Co ARC
K8CAD,1072,2A,214,2,NA,MI,14,Wexaukee ARC
K8CHR,2302,3F,690,2,NA,MI,18,Eaton Cty ARC
K8CPA,326,1D,69,2,NA,MI,1,NA
K8CY,4982,3A,1445,2,KD8OSZ,OH,20,Ashtabula Co ARC
K8DAA,4058,5A,1077,2,NA,MI,15,Holland ARC
K8DAC,3346,6A,663,2,KD8KDP,MI,23,Saginaw Valley ARA
K8DDG,1170,2A,200,2,W4TLB,OH,33,NA
K8DF,4972,2A,1485,2,K8TPH,WV,27,Stonewall Jackson ARA
K8EEN,4892,4A,1209,2,NA,OH,22,Mt.Vernon ARC
K8EP,2608,1A,779,2,NA,WV,12,Eastern Panhandle ARC
K8ES,15172,4A,4445,2,W8JK,OH,76,Delaware ARA
K8ESQ,1782,3A,409,2,NA,MI,4,The FPL Group
K8FAY,1714,1F,432,2,NA,OH,10,NA
K8GC,4802,6F,1169,2,KD8PKI,MI,23,NA
K8HRC,1604,3AC,416,2,NA,MI,10,Hillsdale Cty ARC
K8KRG,2062,5A,545,2,NA,OH,32,Northern OH ARS
K8KSM,650,1E,100,2,NA,OH,1,NA
K8LGN,2312,3A,497,2,AA8BJ,OH,29,Hocking Valley ARC
K8LL,368,2C,59,2,NA,OH,1,NA
K8NOW,1342,3A,301,2,NA,MI,9,Metropolitan ARC
K8OAR,1484,5A,336,2,NA,MI,19,NA
K8PI,4964,3A,1350,2,W8BLV,OH,30,Dial RC
K8PL,2300,3A,490,2,NA,MI,20,DCARS
K8QQQ,430,1A,130,2,NA,OH,5,NA
K8RJW,302,2D,116,2,NA,OH,2,NA
K8SCH,2938,2A,798,2,N8YC,OH,35,Oh-Ky-In ARC
K8TKA,4200,5A,940,2,NA,OH,25,20/9 Radio Club
K8UNS,6802,4A,1995,2,NA,MI,59,LARC-FARL
K8UO,16410,14AB,1620,5,NA,MI,100,USECA ARC
K8UU,4106,4AC,1383,2,NA,OH,15,RL Drake ARC
K8YOJ,448,2A,49,2,NA,OH,7,Hamilton Co ARPSC
K8YR,2586,2F,568,2,KD8EJD,OH,20,NA
K8ZC,3838,4A,848,2,WD8CMD,OH,11,Tipp City AR Group
K8ZT,1340,1B1B,105,5,NA,WV,1,NA
K8ZUK,1920,2A,495,2,NA,OH,14,Shelby Co ARES
K8ZZU,556,1D,127,2,NA,MI,1,NA
K9AKG,1300,3AB,110,5,NA,WI,12,QCWA Chapter 162
K9AY,9170,2B2B,872,5,NA,WI,2,NA
K9BAR,3592,6A,1116,2,NA,IL,45,Bolingbrook ARS
K9CJ,3446,1B1,799,2,NA,IN,1,NA
K9CT,6522,1B2,1593,2,NA,IL,2,NA
K9DGS,1096,2A,163,2,NA,IN,12,Clinton Co ARC
K9DIY,2132,2A,377,2,K9SOU,IN,52,Bloomington ARC / Ind Univ ARC / Bloomington HS South ARC
K9EAM,1776,3A,372,2,NA,WI,12,Green Bay Mike and Key
K9ESV,4678,3F,1278,2,KB9BNY,IL,20,NA
K9GAJ/M,260,1C,80,2,NA,NM,1,NA
K9GXU,5250,4A,1724,2,NA,IL,12,St. Clair ARC/Prime ARA
K9HAM,1400,3A,210,2,NA,IL,23,Lewis and Clark RC
K9HC,2720,3A,709,2,NA,IN,20,Huntington Co ARS
K9HD,2034,4A,567,2,NA,IN,17,Land of Lakes ARC
K9IA,920,1B1B,67,5,NA,NFL,1,NA
K9ILS,1482,3A,318,2,NA,IL,18,Fulton Co ARC
K9IQP,5972,2F,1515,2,W9QL,IL,45,NA
K9IYP,1018,2A,184,2,NA,IL,9,Piatt Co Radio Amateurs
K9KLO,290,1D,120,2,NA,GA,2,NA
K9LDW,100,1D,25,2,NA,NTX,1,NA
K9LJN,3908,1D,1187,2,NA,IL,2,NA
K9MEV,358,1B2B,27,2,NA,IL,2,NA
K9MOT,4264,1A,1433,2,NA,IL,15,Motorola ARC-Schaumburg
K9MY,1626,1E,351,2,NA,IL,1,NA
K9NN,6660,2A,1528,2,W9DUK,IN,18,Delaware ARA
K9NO,3134,1A,1045,2,NA,WV,6,Tucker Co FD Group
K9OM,3030,1E,720,2,NA,WI,1,NA
K9OR,11976,3A,3239,2,K9RST,IL,75,North Shore RRC
K9OZ,662,1E,155,2,NA,IL,1,NA
K9PMV,2374,2B2,559,2,NA,IL,2,NA
K9SQG,22,1D,22,1,NA,OH,1,NA
K9UW,3402,1F,949,2,NA,WI,3,NA
K9UXZ,1814,4D,687,2,NA,IL,12,National Trail ARC
K9WM,2430,1F,553,2,NA,IL,16,NA
K9YA,6250,1A,1375,2,NA,IL,4,Robert F Heytow Memorial RC
K9ZA,5398,1A,1457,2,NA,IL,3,Federation of Am Radio Operators
KA1GYB,206,1D,14,2,NA,CT,1,NA
KA1KNW,134,1C,17,2,NA,CT,1,NA
KA1PPV,82,1D,8,2,NA,CT,1,NA
KA2FHN,810,1D,218,2,NA,WNY,1,NA
KA2IBN,40,1D,20,2,NA,ENY,1,NA
KA2OUO,2456,1B1B,693,2,NA,MDC,1,NA
KA2QPG,665,1AB,59,5,NA,WPA,12,Pennsylvania Knightlites
KA3KSP,320,1C,85,2,NA,WPA,1,NA
KA3PMW,1298,2A,524,2,NA,WPA,3,NA
KA3VFT,180,1B1B,6,5,NA,MDC,1,NA
KA5B,1830,3AC,504,2,NA,NM,25,Eastern NM ARC
KA5GIS,1210,1B1B,111,5,NA,AR,1,NA
KA5VZG,322,1D,68,2,NA,TN,1,NA
KA6T,290,1E,41,2,NA,OR,1,NA
KA6WBQ,18,1D,9,2,NA,NLI,1,NA
KA8JBY,1250,1E,110,5,NA,CO,1,NA
KA9FAJ,792,2F,146,2,NA,IL,5,Big Bend ARC
KA9QPH,64,1D,32,2,NA,WI,1,NA
KA9VHG,860,1B1B,71,5,NA,WI,1,NA
KAØAIG,316,1D,113,2,NA,MO,3,NA
KAØEIC,630,1E,58,5,NA,KS,1,NA
KB1CKT,320,1D,91,2,NA,NH,1,NA
KB1CTC,682,2C,33,2,NA,CT,2,NA
KB1MU,146,1D,48,2,NA,WMA,1,NA
KB1OIQ,800,1B1B,45,5,NA,EMA,1,NA
KB1QKB,165,1B1B,13,5,NA,NH,1,NA
KB1RDE,1164,2F,107,2,NA,RI,6,NA
KB2HSH,242,1E,46,2,NA,WNY,1,NA
KB2MN,650,1D,125,2,NA,SNJ,1,NA
KB2UGW,478,1B1,64,2,NA,EWA,1,NA
KB2UUL,484,1E,111,2,NA,NC,1,NA
KB3BHL,1166,3AC,445,2,NA,DE,20,Sussex ARA
KB3FJJ,2150,1E,180,5,NA,EPA,1,NA
KB3GMD,160,1E,55,2,NA,WPA,2,NA
KB3INE,70,2D,10,2,NA,SC,2,NA
KB3KKG,204,1D,47,2,NA,WPA,4,NA
KB3LIX,1946,1D,508,2,NA,WPA,1,NA
KB3OPP,82,1E,16,2,NA,EPA,1,NA
KB3ORR,572,1E,211,2,NA,WPA,1,NA
KB3RAZ,1750,2A,461,2,NA,MDC,7,The Spark Gaps
KB3TIJ,102,1B1,26,2,NA,EPA,1,NA
KB3WCE,680,3AC,120,2,NA,MDC,4,NA
KB4ACS,1014,2F,392,2,KK4CJH,TN,9,NA
KB4CC,1088,2F,243,2,NA,GA,6,NA
KB4QQJ,2325,1B1B,207,5,NA,NC,1,NA
KB5A,848,3F,115,2,NA,NTX,22,NA
KB5EZ,650,1E,150,2,NA,AL,1,NA
KB5FIO,1270,1B1B,82,5,NA,STX,1,NA
KB5MAR,1314,2F,229,2,NA,NTX,22,NA
KB5TX,4504,6A,1076,2,NA,STX,20,Kendall ARS
KB5URQ,645,1E,579,1,NA,STX,3,NA
KB6EOC,2328,2F,704,2,NA,EB,55,NA
KB7LJP,1260,1B1B,101,5,NA,WWA,1,NA
KB7PVU,124,1B1,12,2,NA,NM,1,NA
KB7RNX,134,1C,17,2,NA,ID,1,NA
KB7SKZ,90,1D,20,2,NA,AZ,1,NA
KB7TBT,41,1D,41,1,NA,GA,1,NA
KB7XP,572,1B2,161,2,NA,AZ,2,NA
KB8ELW,1702,1B2B,405,2,NA,MI,2,NA
KB8O,1362,1D,639,2,NA,OH,1,NA
KB8TWM,286,1D,118,2,NA,MI,1,NA
KB8UHN,1320,1B1,610,2,NA,OH,1,NA
KB9AFW,98,1D,49,2,NA,MI,1,NA
KB9BPF,159,1C,9,1,NA,MO,1,NA
KB9GEG,94,1B1C,44,1,NA,AR,1,NA
KB9NEJ,2374,5A,612,2,NA,IN,11,Southern IN Mobile Em Comm
KB9OFM,1844,1A,597,2,NA,WI,3,NA
KB9SZK,732,3A,141,2,NA,IL,7,Grundy Co ARC
KB9UIY,485,1B1B,67,5,NA,OH,1,NA
KB9YGD,258,1D,80,2,NA,IN,1,NA
KBØG,205,1B2B,7,5,NA,CO,2,NA
KBØLQJ,330,1E,16,5,NA,UT,1,NA
KBØNAS,252,1B2B,1,2,NA,CO,2,NA
KBØNHW,1882,2A,226,2,NØPVZ,MO,8,Oak Grove Hamsters
KBØSMX,2832,5A,446,2,NA,NE,25,Plattsmouth ARC
KBØSSR,1690,3A,264,2,KDØFEG,KS,19,NA
KBØTLL,684,1A,57,2,NA,MO,20,Jefferson Co ARC
KBØUAZ,100,1D,25,2,NA,MN,1,NA
KBØUFL,972,4F,126,2,KCØBNY,MO,31,Bootheel ARC
KBØVAC,1344,3A,246,2,NA,KS,7,Flint Hills ARC
KBØYTO,316,1B1,33,2,NA,NE,1,NA
KC2AUO,842,2A,271,2,NA,NNY,6,Mohawk Valley ARA
KC2CHN,90,1D,10,2,NA,SDG,1,NA
KC2JRQ,88,1D,19,2,NA,NLI,1,NA
KC2LNC,436,1E,143,2,NA,NC,1,NA
KC2LSA,158,1D,37,2,NA,VA,1,NA
KC2MBV,508,1D,153,2,NA,NLI,1,NA
KC2RA,1466,4A,284,2,NA,NLI,15,NA
KC2RXS,474,1D,81,2,NA,ENY,1,NA
KC2SVS,470,1AB,18,5,NA,NNJ,3,NA
KC2TND,216,1B1B,33,2,NA,WNY,1,NA
KC2TXB,150,1F,50,2,NA,SNJ,1,NA
KC2WI,1484,2AC,281,2,NA,NNY,8,Speculator ARC
KC2WMR,58,1D,4,2,NA,NLI,1,NA
KC2ZZO,1780,5A,322,2,NA,NNY,11,Bear Bait RC
KC4EM,2716,3F,557,2,K4DNG,TN,39,NA
KC4ERT,2728,5A,524,2,NA,NFL,30,Navarre CERT ARC
KC4H,228,1E,39,2,NA,VA,2,NA
KC4HW,1488,1A,255,2,NA,AL,5,Wiregrass Hams
KC5IMN,440,2A,75,2,NA,MS,4,NA
KC5JFO (+K5PAR),2372,2B2,804,2,NA,NTX,2,NA
KC5ORO,1568,2A,481,2,NA,NM,20,Tech ARA
KC5PXW,905,1B2B,107,5,NA,NC,2,NA
KC5UWS,130,1D,40,2,NA,NTX,1,NA
KC7KEY,1432,2A,307,2,NA,WWA,24,Maple Valley ARC
KC7LN,324,1E,87,2,NA,OR,1,NA
KC7O,622,1B1,209,2,NA,SB,1,NA
KC7PVD,206,1E,28,2,NA,UT,1,NA
KC7Z,2340,5A,539,2,NA,WWA,21,North Kitsap ARC
KC8ACO,174,1D,62,2,NA,MI,2,NA
KC8CNN,1084,3A,172,2,NA,MI,13,Tuscola Co ARA & ARES
KC8IMB,1170,1E,503,2,NA,OH,1,DXTech.org
KC8MLB,256,1B2B,3,2,NA,OH,2,NA
KC8VC,2044,2A,490,2,W8JWN,MI,10,Mich-A-Con ARC
KC9FTG,1172,3A,321,2,NA,IN,9,Spencer Co ARC
KC9LYF,1088,3A,9,2,KC9SDK,WI,18,Winnebago Co ARES/RACES
KC9MAK,934,3F,67,2,NA,IL,3,NA
KC9OLF,1224,5A,109,2,NA,IN,20,Tri-County Amateurs
KC9RNO,734,2F,241,2,NA,IN,4,NA
KC9TZO,270,1B2B,24,5,NA,WI,2,NA
KC9TZY,56,1D,3,2,NA,IL,1,NA
KCØFNS,385,1E,35,5,NA,CO,1,NA
KCØFUE,90,1D,15,2,NA,KS,1,NA
KCØIGT,270,2A,110,2,NA,MN,5,Lake of the Wood Repeater Assn
KCØQAS,336,1B1B,43,2,NA,KS,1,NA
KCØRNS,68,1D,9,2,NA,WI,1,NA
KCØRRS,380,1D,165,2,NA,KS,2,NA
KCØTDJ,158,1E,54,2,NA,IA,1,NA
KCØVFO,1178,1E,564,2,NA,CO,1,NA
KCØVFP,18,1D,18,1,NA,MN,1,NA
KCØVFP,90,1D,20,2,NA,MN,1,NA
KCØYCU,816,3A,173,2,NA,MO,39,Ozark Mtn ARC
KCØYNE,1464,2AC,250,2,K5EST,MO,7,Comunity Service RC
KD2JA,1160,3E,352,2,NA,SFL,4,NA
KD2JC,2330,1B1B,213,5,NA,NNJ,1,NA
KD2MU,1135,1B1B,97,5,NA,NLI,1,NA
KD2MX,606,1D,139,2,NA,NNJ,1,NA
KD3SB,472,1D,211,2,NA,WPA,1,NA
KD4K,70,1D,10,2,NA,GA,1,NA
KD4QMY,205,1D,155,1,NA,GA,1,NA
KD4RF,1376,2A,206,2,NA,NC,8,NA
KD4RLH,2030,1E,359,5,NA,NC,2,NA
KD5ARC,930,2A,90,2,NA,AR,8,DeGray ARC
KD5C,8094,3E,2461,2,NA,WTX,44,NA
KD5COL,354,1E,52,2,NA,TN,1,NA
KD5QHV,690,1E,256,2,NA,WTX,1,NA
KD5RSS,480,1E,38,5,NA,OK,1,NA
KD6LM,1486,3A,284,2,W6ZZK,SF,40,Humboldt ARC
KD7NNQ,186,1B2B,18,2,NA,OR,2,NA
KD7QJL,110,1E,21,2,NA,OR,1,NA
KD7SWL,46,1D,23,2,NA,UT,1,NA
KD8BNV,1912,3A,328,2,KF4HZV,OH,10,Wyandot Area Ham Operators Org
KD8COO,52,1D,1,2,NA,OH,1,NA
KD8DJB,250,1B1B,16,5,NA,MI,1,NA
KD8DKG,274,1D,61,2,NA,MI,1,NA
KD8DVR,64,1D,7,2,NA,OH,1,NA
KD8EPR,370,1B1B,24,5,NA,OH,1,NA
KD8EVL,56,1C,3,2,NA,OH,3,NA
KD8GRG,80,1D,40,2,NA,MI,1,NA
KD8LGV,1366,2A,229,2,NA,OH,15,Muskingum Co ARES
KD8LNM,386,1D,168,2,NA,MI,1,NA
KD8NJZ,425,1B1B,35,5,NA,OH,1,NA
KD8OAH,64,1D,7,2,NA,MI,1,NA
KD8SQ,1850,2A,775,2,NA,OH,7,OARS
KDØCI,556,2AC,80,2,NA,MN,10,Mora Open Repeater Assn
KDØCPA,146,1D,48,2,NA,CO,1,NA
KDØGUY,332,1B2,41,2,NA,CO,2,NA
KDØIXB,982,3A,116,2,NA,MN,14,Murray Co ARC
KDØKYR,156,1C,3,2,NA,NE,1,NA
KDØMXC,76,1D,13,2,NA,CO,1,NA
KDØMXT,3898,3A,1436,2,NA,CO,66,BARC Jr.
KDØNEB,1368,2AC,286,2,NØQIX,IA,40,Hiawatha ARC
KDØNQG,962,3A,56,2,NA,CO,11,Rocky Mountain Hamsters
KDØOTQ,150,1D,50,2,NA,IA,1,NA
KE1R,106,1D,28,1,NA,NM,1,NA
KE3FL,210,1B1B,6,5,NA,MDC,1,NA
KE3MX,354,1D,76,2,NA,SNJ,1,NA
KE4GC,1754,2A,458,2,NA,GA,25,Ellijay ARS
KE4KE,550,1B1B,80,5,NA,MN,1,NA
KE4PT,52,1D,1,2,NA,SFL,1,NA
KE4QZB,2060,1B1B,186,5,NA,NC,1,NA
KE4RUG,248,1D,99,2,NA,GA,1,NA
KE4ZIP,118,2D,34,2,NA,WCF,8,NA
KE5BWG,968,3A,77,2,NA,OK,9,Pontotoc Co ARA
KE5FSY,564,1A,32,2,NA,AR,50,Arkansas Diamond
KE5LOT,2298,2F,378,2,AK5RS,STX,24,NA
KE5TRB,582,2A,56,2,NA,STX,10,NA
KE5TSW,218,1C,34,2,NA,MO,1,NA
KE5UES,278,1F,32,2,NA,NTX,2,NA
KE6F,1056,2A,230,2,NA,SV,3,NA
KE6RN,4254,2A,1151,2,WA6KEK,SJV,3,California City RC
KE6VUS,540,1E,85,2,NA,SV,1,NA
KE7A,499,1D,449,1,NA,NTX,1,NA
KE7NCT,1981,5A,920,1,NA,OR,7,Maxim ARC
KE7NO,1856,1B1,658,2,NA,MT,1,NA
KE7UQL,600,2B2B,50,5,NA,NV,2,NA
KE7YLC,960,2A,109,2,NA,OR,13,Harney Cty RA
KE8E,147,1B2C,97,1,NA,OH,2,NA
KE8RV,1978,2F,482,2,NA,OH,11,NA
KE9EX,128,1D,39,2,NA,IL,1,NA
KE9G,450,1B1,93,2,NA,WI,1,NA
KEØCT,492,1B2B,121,2,NA,CO,2,NA
KEØG,5190,1B1B,504,5,NA,MN,1,NA
KEØRR,1532,1A,320,2,NA,MN,3,NA
KF4DVF,134,1D,42,2,NA,NFL,1,NA
KF4IBU,112,1D,28,2,NA,NFL,1,NA
KF4L,562,2A,106,2,NA,TN,8,Clarksville Amateur Transmitting Soc
KF4VRS,440,1B1,170,2,NA,NFL,1,NA
KF4WOD,1960,3A,515,2,NA,NC,12,Lenoir ARC
KF5ADC,1308,2A,295,2,NA,STX,10,Brazoria Cty ARES
KF5LFR,190,1D,60,2,NA,AR,1,NA
KF5SA,90,1D,10,2,NA,STX,1,NA
KF6EOJ,62,1D,6,2,NA,LAX,1,NA
KF6FIX,168,1D,20,2,NA,ORG,1,NA
KF6HTE,908,2A,227,2,NA,EB,25,Martinez ARC
KF6NNM,780,2F,215,2,NA,SV,3,NA
KF6ROE,268,1E,9,2,NA,SDG,1,NA
KF7CIA,768,4A,148,2,NA,WWA,18,NA
KF7HB,560,1B1B,31,5,NA,OR,1,NA
KF7PBM,190,1E,20,2,NA,EWA,1,NA
KF7PKL,56,1D,3,2,NA,AZ,1,NA
KF7PLA,175,1E,1,5,NA,UT,1,NA
KFØF,195,1E,19,5,NA,MO,1,NA
KFØQS,1160,1B1B,101,5,NA,CO,1,NA
KFØUR,6758,2E,1876,2,NA,CO,2,NA
KFØUU,900,1E,65,5,NA,MN,1,NA
KG2NI,332,1D,141,2,NA,WNY,1,NA
KG2V,1578,1E,614,2,NA,NLI,1,NA
KG4EOC,1446,5F,302,2,NA,SFL,53,NA
KG4GWB,326,1E,32,2,NA,SV,1,NA
KG4LKY,1158,3A,174,2,NA,KY,20,Laurel ARC
KG4OGC,176,2AC,38,2,NA,GA,7,Hinesville AR Emergency Society
KG4RUL,90,1D,20,2,NA,SC,1,NA
KG4ULP,1024,3F,387,2,WA8MKY,MI,19,NA
KG4VHV,165,1E,23,5,NA,OH,1,NA
KG6IYN,3530,2C,632,5,NA,SDG,2,NA
KG6LJO,254,1E,77,2,NA,NV,1,NA
KG6TDP,318,1E,21,2,NA,SDG,1,NA
KG6YOR,56,1D,3,2,NA,SCV,1,NA
KG6YPH,96,1D,23,2,NA,SCV,1,NA
KG7HQ,565,1AB,43,5,NA,WWA,3,NA
KG8CO,1292,2A,427,2,NA,MI,5,NA
KG8IU,1300,2E,432,2,NA,OH,3,NA
KH6E,1075,2A,225,1,NA,PAC,15,Kauai ARC
KH6EJ,3712,2A,1000,2,NH6PE,PAC,44,Big Island ARC
KH6EL,1552,1A,1102,1,NA,PAC,12,SPARC
KH6J,6878,2A,1846,2,KH6CE,PAC,106,NA
KH6RS,1070,1A,1020,1,NA,PAC,10,Maui ARC
KH6RZ,1838,1E,841,1,NA,PAC,3,Amador Six Meter DX Club
KI4CVU,220,1E,35,2,NA,TN,1,NA
KI4EBD,342,1E,23,2,NA,NFL,1,NA
KI4EXI,1378,2F,345,2,NA,VA,11,NA
KI4HUS,2468,2F,431,2,N4STW,KY,15,NA
KI4NJJ,1130,5AC,205,2,NA,TN,14,Bedford Co ARS
KI4OHR,125,1B1B,5,5,NA,VA,1,NA
KI4QIW (+KI4YVC),220,1B2,50,2,NA,SC,2,NA
KI4SLZ,1994,3A,653,2,NA,NC,68,Haywood Cty ARC
KI4VCT,75,1D,75,1,NA,VA,1,NA
KI6CYT,334,1E,11,2,NA,EB,1,NA
KI6EZ,458,1E,104,2,NA,ORG,1,NA
KI6J,2016,1A,720,2,NA,LAX,6,MalibuSix
KI6TPX,460,1B1B,42,5,NA,LAX,1,NA
KI6WD,598,1D,224,2,NA,ORG,7,NA
KI7T,96,1C,23,2,NA,WWA,1,NA
KIØE,1908,1B1,277,2,NA,ND,1,NA
KIØII,1800,1B1B,145,5,NA,CO,1,NA
KJ4DLP,174,1A,12,2,NA,SC,3,Transformers
KJ4HMV,648,1A,29,2,NA,VA,5,K9 Search and Rescue
KJ4IWZ,568,1D,142,2,NA,TN,1,NA
KJ4JXO,54,1C,2,2,NA,GA,1,NA
KJ4KTW,126,1D,19,2,NA,STX,1,NA
KJ4LOP,1056,3F,151,2,W4GMF,VA,6,NA
KJ4LQX,816,1B1C,128,2,NA,SFL,1,NA
KJ4LTC,236,1C,43,2,NA,KY,1,NA
KJ4QAN,152,1D,51,2,NA,NFL,1,NA
KJ4SRE,208,1B1C,29,2,NA,SFL,1,NA
KJ4SWD,1568,4AC,346,2,KA4BRG,AL,28,Sylvan Springs ARC
KJ4WD,446,1D,99,2,NA,NC,1,NA
KJ4WFS,250,1B1B,50,2,NA,AL,1,NA
KJ4YHC,96,1D,23,2,NA,VA,1,NA
KJ6BBS,186,1D,68,2,NA,ORG,1,NA
KJ6HCG,1196,3A,153,2,NA,SV,75,Glenn ARS
KJ6KTW,1090,3A,57,2,NA,ORG,21,Mile High RC
KJ6LCP,326,2F,18,2,NA,ORG,8,NA
KJ9D,5482,1A,1276,2,NA,IN,10,Hoosier DX & Contest Club
KJØP,355,1B1B,19,5,NA,MN,1,NA
KJØT,670,3A,35,2,NA,CO,20,Thunderbolt ARA
KK1F,1002,1D,476,2,NA,CT,1,NA
KK1J,465,1B1B,43,5,NA,AZ,1,NA
KK3ARC,1696,3A,203,2,NA,ID,34,3 Rivers ARC
KK4AWY,1022,4A,273,2,NA,SC,16,York Co ARS
KK4CME,70,1D,5,2,NA,WCF,1,NA
KK4CNM,54,1D,2,2,NA,GA,1,NA
KK4PQ,446,1C,71,2,NA,GA,1,NA
KK5E,4322,3A,1202,2,NA,STX,13,Hambuds
KK5JY,630,1E,156,2,NA,OK,1,NA
KK5K,1004,2A,186,2,NA,MS,15,Tupelo ARC
KK5W,7266,5A,1851,2,K5AUS,STX,45,NA
KK6I,1076,2A,413,2,NA,SDG,10,NA
KK6TV,930,1E,62,5,NA,SDG,2,NA
KK7BR,185,1C,35,1,NA,WY,1,NA
KK7CG,30,1D,30,1,NA,OR,2,NA
KK7PR,7454,2A,2534,2,NA,OR,10,Portland Radio Contester Club
KK7Z,362,1D,106,2,NA,IL,2,NA
KK9N,2216,2A,501,2,W9KXQ,IL,19,Okaw Valley ARC
KKØG,944,3A,247,2,NA,IA,6,Madison Co DX Club
KL2R,1634,4E,200,1,NA,AK,10,NA
KL7/WA4DOX,270,1B1B,12,5,NA,AK,1,NA
KL7AA,3599,3A,1417,1,KL7G,AK,31,Anchorage ARC
KL7AIR,220,1AC,110,2,NA,AK,3,Elmendorf ARS
