CALL,GOTA Call,FINAL SCORE,Category,Section,Power Multiplier,Club Name,Participants,Transmitters,Power Source,TOTAL CW QSOs,TOTAL DIGITAL QSOs,TOTAL PHONE QSOs,TOTAL QSOs,BONUS POINTS,Checklog Y/N
K6CAW,NA,182,1D,LAX,2,NA,1,1,C,0,31,4,35,50,NA
K6CCR,NA,256,1F,LAX,2,Culver City ARES,3,1,G,0,0,3,3,250,NA
K6CDJ,NA,298,1D,SJV,2,NA,1,1,C,62,0,0,62,50,NA
K6CES,NA,114,1D,SCV,2,NA,1,1,C,0,2,28,30,50,NA
K6CRW,NA,984,1E,LAX,2,Culver City ARES,1,1,B,0,190,37,227,150,NA
K6DF,NA,1010,1D,SF,2,South Bay ARA,1,1,C,214,1,0,215,150,NA
K6DMO,NA,132,1D,LAX,2,Palos Verdes ARC,1,1,C,0,0,41,41,50,NA
K6DWD,NA,174,1B1,SCV,2,Anritsu ARC,1,1,B,0,0,12,12,150,NA
K6EBN,NA,158,1E,SCV,2,Saratoga ARA,1,1,B,0,0,4,4,150,NA
K6EEN,NA,178,1D,NM,2,NA,1,1,C,0,0,64,64,50,NA
K6EI,W6ZZZ,21130,9AB,SCV,5,West Valley ARA,23,9,B,1170,456,552,2178,2110,NA
K6ERC,NA,275,1B1B,EB,5,NA,1,1,B,0,0,5,5,250,NA
K6ESS,NA,58,1D,SV,2,NA,1,1,C,0,0,4,4,50,NA
K6FEU,NA,532,1D,UT,2,NA,1,1,C,0,72,97,169,50,NA
K6GB,NA,758,1E,ORG,2,NA,1,1,B,0,152,0,152,150,NA
K6GRL,NA,82,1D,SCV,2,NA,1,1,C,0,0,16,16,50,NA
K6GTE,NA,1018,1B1,ORG,2,Orange Co. (CA) ARC,1,1,B,158,0,18,176,350,NA
K6IPO,NA,694,1D,WMA,2,Mohawk ARC,1,1,C,0,161,0,161,50,NA
K6IS,NA,1112,4A,SV,2,North Hills Radio Club,11,4,G,0,110,111,221,450,NA
K6JFP,NA,300,1D,SV,2,Yuba-Sutter ARC,1,1,C,0,41,43,84,50,NA
K6JLL,NA,242,1D,SJV,2,Kern Co. Central Valley ARC,1,1,C,0,44,8,52,50,NA
K6JW,NA,1385,1E,LAX,5,Palos Verdes ARC,1,1,B,72,30,1,103,360,NA
K6KAL,NA,354,1D,AZ,2,NA,1,1,C,76,0,0,76,50,NA
K6KMH,NA,168,1D,SDG,2,SDGARES,1,1,C,26,0,7,33,50,NA
K6KP,NA,1242,1F,SCV,2,Cupertino ARES,12,1,G,0,0,26,26,1190,NA
K6KQV,NA,932,1D,SCV,2,NA,1,1,C,99,90,13,202,150,NA
K6KR,NA,110,1D,WWA,2,Western WA DX Club,1,1,C,13,0,4,17,50,NA
K6LDF,NA,1242,3A,ORG,2,Lee DeForest ARC,14,3,B,0,52,82,134,870,NA
K6LG,NA,454,1D,ORG,2,Riverside Co. ARA,1,1,C,96,0,10,106,50,NA
K6LI,NA,3298,8A,EB,2,North Bay ARA,25,8,G,241,94,104,439,1750,NA
K6LL,NA,1550,1D,AZ,2,Arizona Outlaws Contest Club,2,1,C,350,0,0,350,150,NA
K6LMR,NA,76,1D,ORG,2,South Orange ARA,1,1,C,0,0,13,13,50,NA
K6MEP,NA,2396,7A,SB,2,Ventura Co. ARC,22,7,G,4,161,43,208,1650,NA
K6MI,NA,10665,1AB,SCV,5,Chew's Ridge Gang,7,1,B,945,20,33,998,850,NA
K6MLE,NA,350,1D,SV,2,El Dorado Co. ARC,1,1,C,0,75,0,75,50,NA
K6MMM,W6B,3968,3A,SCV,2,Monkey Lover's Radio Consortium,73,3,G,200,357,195,752,1350,NA
K6MW,NA,218,1E,ORG,2,San Gorgonio Pass Amateur Club,1,1,B,42,0,0,42,50,NA
K6OLI,NA,155,1E,LAX,5,Pasadena RC/JPLARC/CITARC,1,1,B,0,0,1,1,150,NA
K6ORI,NA,1418,4A,EB,2,Lamorinda Area Radio Interest Grp.,13,4,G,2,2,76,80,1250,NA
K6OTT,NA,262,1E,SV,2,Sunnyvale ARES,1,1,B,0,0,6,6,250,NA
K6OX,NA,1260,2A,LAX,2,Antelope Valley ARC,15,2,G,20,0,65,85,1050,NA
K6PUD,NA,886,2E,SF,2,NA,3,2,G,0,3,162,165,550,NA
K6PV,NA,3314,1D,LAX,2,Palos Verdes ARC,3,1,C,448,0,736,1184,50,NA
K6PVJ,KN6TEI,1076,3A,SCV,2,San Bruno ARC,7,3,B,0,0,3,3,1070,NA
K6PVZ,NA,210,1D,IL,2,Lake Co. RACES/ARES,1,1,C,40,0,0,40,50,NA
K6QCB,NA,122,1D,ORG,2,NA,1,1,C,0,0,36,36,50,NA
K6RB,NA,0,1E,SCV,1,NA,1,1,G,226,0,0,226,0,Y
K6RC,NA,460,1D,SV,2,NA,1,1,C,90,0,25,115,50,NA
K6RMP,NA,546,1D,OR,2,Central OR Coast ARC,1,1,C,0,39,0,39,390,NA
K6RXD,NA,172,1E,NLI,2,NA,1,1,B,0,0,11,11,150,NA
K6SB,NA,1076,1A,SV,2,Conejo Valley Wireless Assn.,4,1,B,137,69,1,207,250,NA
K6SDW,NA,104,1D,SV,2,NA,1,1,C,13,0,1,14,50,NA
K6SEA,NA,10730,2D,OR,2,Tucker Family Radio Club,4,2,C,1464,1076,0,2540,570,NA
K6SEE,NA,828,4E,SDG,2,Lakeside ARC,12,4,G,0,20,99,119,550,Y
K6SOA,NA,4562,3A,ORG,2,South Orange ARA,71,3,G,481,170,304,955,1350,NA
K6SON,W6SON,1690,3A,SF,2,Sonoma Co. Radio Amateurs,43,3,G,44,41,50,135,1250,NA
K6STR,NA,1000,1B1B,SB,5,Pasadena RC/JPLARC/CITARC,1,1,B,23,0,64,87,450,NA
K6SV,NA,496,1B1,NV,2,Palo Alto ARA,1,1,B,0,0,73,73,350,NA
K6SW,NA,66,1D,SCV,2,San Jose ARES/RACES,1,1,C,0,0,8,8,50,NA
K6TI,W6DRT,2738,4F,LAX,2,Topanga Disaster Radio Team,10,4,B,45,305,144,494,1050,NA
K6TPS,NA,634,1E,SCV,2,SC4ARC,1,1,S,71,0,0,71,350,NA
K6TQ,NA,526,1D,SV,2,El Dorado Co. ARC,1,1,C,0,83,72,155,50,NA
K6TUO,NA,1472,7A,SJV,2,TCARES,12,7,G,95,13,35,143,970,NA
K6TY,NA,1866,1B2,SJV,2,Wistaria Wireless Soc.,2,1,B,82,247,0,329,550,NA
K6TZ,NA,502,2B2,SB,2,Santa Barbara ARC,2,2,G,0,1,24,25,450,NA
K6UF,NA,1342,1D,SCV,2,NA,1,1,C,54,269,0,323,50,NA
K6VNR,NA,485,1B1B,SV,5,Yuba-Sutter ARC,1,1,B,0,0,7,7,450,NA
K6VT,NA,1856,4A,SV,2,High Sierra Field Day Grp.,6,4,G,12,158,113,283,950,NA
K6WDE,NA,344,1B1,UT,2,NA,1,1,B,0,0,97,97,150,NA
K6WHP,NA,440,1B1B,LAX,5,Zuni Loop MEF,1,1,B,19,0,0,19,250,NA
K6WK,NA,144,1D,SV,2,Redding Veterans ARC,1,1,C,0,0,47,47,50,NA
K6WS,NA,570,1B1B,UT,5,4SQRP,1,1,B,42,0,0,42,150,NA
K6WSC,NA,2050,1D,AZ,2,Arizona Outlaws Contest Club,1,1,C,500,0,0,500,50,NA
K6WW,NA,410,1D,EB,2,South Bay ARA,1,1,C,0,43,44,87,150,NA
K6YA,NA,2398,2A,SCV,2,Foothills ARS (CA),15,2,G,267,0,290,557,750,NA
K6YD,NA,68,1E,SF,2,Valley of the Moon ARC,1,1,B,0,0,9,9,50,NA
K6YUL,NA,246,1E,LAX,2,NA,1,1,G,49,0,0,49,50,NA
K6ZGW,NA,318,1E,LAX,2,San Fernando Valley ARC,1,1,B,42,0,0,42,150,NA
K7AEZ,NA,152,1E,AZ,2,NA,1,1,B,0,0,1,1,150,NA
K7AGE,NA,370,1B1,OR,2,Foothills ARS Cycle 25,1,1,B,0,80,0,80,50,NA
K7AHS,NA,154,1E,WWA,2,Jefferson Co. (WA) ARC,1,1,B,0,0,2,2,150,NA
K7AVR,NA,168,1A,ID,2,Bonner Co. ARES,3,1,B,0,0,9,9,150,NA
K7AWA,NA,1770,2AB,AZ,5,America West ARC,3,2,B,152,0,0,152,250,NA
K7BNR,NA,2036,4A,ID,2,Bonner Co. ARES,6,4,G,81,118,45,244,1150,NA
K7BWC,NA,624,1B1C,UT,2,NA,1,1,C,23,85,21,129,150,NA
K7CCH,K7CCH,2640,3A,OR,2,Coos Co. Radio Club,25,3,G,104,124,199,427,1330,Y
K7CEM,NA,1524,4F,WWA,2,Centralia ARES,16,4,G,139,0,109,248,750,NA
K7D,NA,1744,2A,WWA,2,Maple Valley ARC,15,2,B,0,77,183,260,1070,NA
K7DAV,KV7LC,1744,3A,UT,2,Davis Co. ARC,51,3,G,99,60,49,208,1010,NA
K7DBN,NA,342,1E,UT,2,NA,1,1,B,40,0,16,56,150,NA
K7DCJ,NA,1362,1E,WWA,2,Jefferson Co. (WA) ARC,1,1,B,0,303,0,303,150,NA
K7DH,NA,154,1D,DE,2,NA,1,1,C,26,0,0,26,50,NA
K7DPR,NA,2738,2A,UT,2,Draper Ham Radio Assn.,42,2,B,28,142,404,574,1250,NA
K7DSC,NA,1162,2A,ID,2,Do Something ARC,13,2,B,49,8,42,99,850,NA
K7DTB,NA,1722,1D,AZ,2,Cochise ARA,1,1,C,0,393,0,393,150,NA
K7DWI,NA,440,1D,OR,2,PODXS 070,1,1,C,43,51,7,101,50,NA
K7EA,NA,474,1E,UT,2,NA,1,1,G,81,0,0,81,150,NA
K7EAR,NA,902,3A,AZ,2,Eastern AZ ARS,9,3,G,0,77,2,79,590,NA
K7EAZ,NA,502,1D,AZ,2,Tortolita Radio Club,1,1,C,0,113,0,113,50,NA
K7ECI,NA,808,3A,ID,2,Elmore Co. ARC,4,3,G,0,42,45,87,550,NA
K7ELS,NA,208,2D,MI,2,NA,7,2,C,0,0,19,19,170,NA
K7EUR,NA,582,1AC,MT,2,Tobacco Valley ARC,3,1,C,0,0,16,16,550,NA
K7F,NA,1274,3A,NV,2,Amateur Radio Of Churchill County,12,3,G,1,58,94,153,850,NA
K7FDF,NA,818,2A,WWA,2,Renton EmComm Svcs.,14,2,G,0,6,52,58,690,NA
K7FTQ,NA,450,1D,EWA,2,Spout Springs Repeater Assn.,1,1,C,0,100,0,100,50,NA
K7GS,NA,678,1D,EWA,2,Spokane DX Assn.,1,1,C,157,0,0,157,50,NA
K7GUD,NA,182,1B1,ID,2,NA,1,1,B,33,0,0,33,50,NA
K7HAM,NA,970,2D,AZ,2,NA,2,2,C,0,230,0,230,50,NA
K7HEH,NA,128,1D,MT,2,Hi-Line ARC,1,1,C,0,0,39,39,50,NA
K7HI,NA,570,1D,AZ,2,Thunderbird ARC,1,1,C,130,0,0,130,50,NA
K7HLN,NA,64,1D,MT,2,Capital City ARC,1,1,C,0,0,7,7,50,NA
K7HON,NA,880,2A,AZ,2,Honeywell-Glendale ARC,3,2,B,0,0,215,215,450,NA
K7ID,NA,1354,3AC,ID,2,Kootenai ARS,25,3,C,29,71,302,402,350,NA
K7IOL,NA,212,1D,NTX,2,NA,1,1,C,0,0,81,81,50,NA
K7JAR,KF7SYS,3548,3A,EWA,2,Panoramaland ARC,20,3,G,0,475,79,554,1490,NA
K7JEP,NA,1334,2A,ID,2,Bonner Co. ARC,20,2,G,4,0,174,178,970,NA
K7JGV,NA,330,1D,EB,2,Hayward Radio Club,1,1,C,0,70,0,70,50,NA
K7JKM,NA,146,1D,OR,2,Salem ARC,1,1,C,0,0,48,48,50,NA
K7JPN,NA,358,1B1,AZ,2,NA,1,1,B,0,52,0,52,150,NA
K7JQ,NA,564,1D,AZ,2,Arizona Outlaws Contest Club,1,1,C,115,0,27,142,50,NA
K7JRB,NA,820,1AB,OR,5,NA,4,1,B,65,0,4,69,150,NA
K7K,K7K,2412,4A,AZ,2,Superstition ARC,12,4,B,358,0,115,473,750,NA
K7KC,NA,4660,3A,UT,2,Great Salt Lake Contest Club,4,3,G,671,180,403,1254,450,NA
K7KEG,NA,340,1B1,OR,2,NA,1,1,B,0,0,45,45,250,NA
K7LED,AE7G,14216,6A,WWA,2,Mike and Key ARC,40,6,G,1555,366,2291,4212,1950,NA
K7LHC,NA,450,1A,AZ,2,London Bridge ARA,5,1,B,0,0,50,50,350,NA
K7LTF,NA,122,1D,WWA,2,NA,1,1,C,12,0,12,24,50,NA
K7LU,NA,266,1E,VA,2,NA,1,1,B,52,0,4,56,50,NA
K7MFR,NA,2784,2A,OR,2,Rogue Valley ARC,15,2,G,178,129,603,910,350,NA
K7MK,NA,1248,2B2,ID,2,NA,2,2,B,216,0,167,383,50,NA
K7MQV,NA,330,1D,EWA,2,Apple City ARC,1,1,C,70,0,0,70,50,NA
K7MVA,NA,1796,3A,ID,2,Magic Valley ARC,15,3,G,102,101,167,370,650,NA
K7NEW,NA,2438,1E,WWA,2,Clallam Co. ARC,1,1,B,572,0,0,572,150,NA
K7NHE,NA,190,1B1,WWA,2,San Juan Co. ARS,1,1,G,0,0,20,20,150,NA
K7NWF,NA,930,1D,AZ,2,NA,1,1,C,0,220,0,220,50,NA
K7NWS,NA,334,1F,WWA,2,Boeing Employees ARS,10,1,C,0,71,0,71,50,NA
K7OJL,NA,462,1B1,UT,2,West Desert ARC,1,1,G,53,0,0,53,250,NA
K7OPP,NA,196,1B1,WWA,2,NA,1,1,B,0,0,23,23,150,NA
K7ORZ,NA,110,1D,ID,2,NA,1,1,C,0,8,14,22,50,NA
K7OWW,NA,628,1D,OR,2,NA,1,1,C,0,135,19,154,50,NA
K7PWS,NA,52,1D,UT,2,NA,1,1,C,0,0,1,1,50,NA
K7RA,NA,136,1D,WWA,2,NA,1,1,C,27,0,14,41,0,NA
K7RDG,NA,3056,5F,AZ,2,Cochise ARA,28,5,C,144,168,379,691,1050,NA
K7RHT,NA,352,1B1,EWA,2,Kittitas Co. Amateur Radio Comm. Svc.,1,1,G,0,0,1,1,350,NA
K7RJ,NA,262,1D,AZ,2,NA,1,1,C,43,0,20,63,50,NA
K7RNJ,NA,204,1B1,OR,2,NA,1,1,B,0,3,21,24,150,NA
K7RQN,NA,228,1E,AZ,2,Thunderbird ARC,1,1,G,0,27,10,37,100,NA
K7SDF,NA,60,1D,MI,2,L'Anse Creuse ARC,1,1,C,0,0,5,5,50,NA
K7SDW,NA,1086,1D,SB,2,Conejo Valley ARC,1,1,C,259,0,0,259,50,NA
K7SHX,NA,372,1D,WWA,2,NA,1,1,C,0,61,39,100,50,NA
K7SI,NA,1445,3AB,ID,5,Snake River ARC,5,3,B,0,44,31,75,850,NA
K7SMX,NA,300,2A,EWA,2,Lake Chelan ARC,7,2,G,0,0,15,15,270,NA
K7STU,NA,86,1D,NV,2,NA,1,1,C,0,0,18,18,50,NA
K7SWI,WB7RWS,1886,3A,ID,2,South West ID ARC,18,3,B,12,162,200,374,790,Y
K7TDM,NA,76,1D,NV,2,Sierra Nevada ARS,1,1,C,0,0,13,13,50,NA
K7TM,NA,486,1E,ID,2,ID Renegades,1,1,B,52,14,36,102,150,NA
K7TQ,NA,570,1B1C,ID,2,NA,1,1,C,130,0,0,130,50,NA
K7UAZ,NA,990,2A,AZ,2,Univ. of Arizona ARC,7,2,G,0,72,76,148,550,NA
K7UB,NA,1358,4A,UT,2,Golden Spike ARC,26,4,G,19,85,146,250,650,NA
K7UD,NA,694,1D,STX,2,NA,1,1,C,161,0,0,161,50,NA
K7UGS,NA,178,1D,OR,2,West Valley ARC,1,1,C,0,0,64,64,50,NA
K7UIN,NA,520,1B1B,OR,5,NA,1,1,B,0,37,0,37,150,NA
K7UVA,K7GSL,4612,3A,UT,2,Utah Valley ARC,43,3,G,210,211,969,1390,990,NA
K7UWR,NA,558,1D,GA,2,Radio Activity of Savannah,1,1,C,0,102,0,102,150,NA
K7VOC,NA,192,1D,NV,2,NA,1,1,C,0,0,71,71,50,NA
K7VZ,NA,70,1D,AZ,2,NA,1,1,C,0,5,0,5,50,NA
K7WA,NA,678,1D,WWA,2,NA,1,1,C,157,0,0,157,50,NA
K7XE,NA,94,1D,SV,2,NA,1,1,C,0,0,22,22,50,NA
K7Z,NA,2468,2A,AZ,2,Hualapai ARC,15,2,G,110,111,167,388,1250,NA
K7ZX,NA,334,1D,OR,2,NA,1,1,C,71,0,0,71,50,NA
K8AC,NA,1646,1D,NC,2,NA,1,1,C,350,0,98,448,50,NA
K8AG,NA,770,1B1B,MI,5,NA,1,1,B,0,52,0,52,250,Y
K8AI,NA,414,1D,UT,2,NA,1,1,C,87,0,8,95,50,NA
K8AJS,NA,3430,1D,OH,2,Wayne ARC,1,1,C,845,0,0,845,50,NA
K8AJX,NA,1370,1D,AL,2,Montgomery (AL) ARC,1,1,C,330,0,0,330,50,NA
K8ALB,NA,1982,6A,OH,2,Toledo Radio Amateur Club,20,6,G,0,220,26,246,1050,NA
K8ARY,NA,1500,1E,SC,2,Splinter Grp. ARC,1,1,G,310,0,5,315,250,NA
K8AXZ,NA,132,1D,OH,2,NA,1,1,C,0,0,41,41,50,NA
K8BB,NA,1332,1D,MI,2,Mad River Radio Club,1,1,C,291,0,59,350,50,NA
K8BF,KD8WZS,11766,4A,OH,2,Portage Co. ARS,52,4,G,1059,612,1696,3367,1690,NA
K8BMI,NA,1040,5A,MI,2,Barry ARA,14,5,G,0,51,43,94,750,NA
K8BP,NA,156,1E,OH,2,Mound ARA,1,1,B,0,0,3,3,150,NA
K8BRC,KI8Z,3684,4A,MI,2,Black River ARC,44,4,G,124,368,183,675,1350,NA
K8BTU,NA,3002,1D,OH,2,DFW Contest Grp.,1,1,C,731,0,14,745,50,NA
K8BXQ,NA,2130,5A,OH,2,Fulton Co. (OH) ARC,6,5,G,0,200,140,340,1050,NA
K8CAD,NA,1764,2A,MI,2,Wexaukee ARC,13,2,G,239,0,109,348,590,NA
K8CGE,NA,968,2D,OH,2,Loren D Hayes Memorial ARC,2,2,C,207,20,5,232,50,NA
K8CHR,NA,602,2D,MI,2,Eaton Co. ARC,5,2,C,0,88,50,138,150,NA
K8CTR,NA,154,1D,MI,2,NA,1,1,C,0,26,0,26,50,NA
K8CY,NA,2596,3AC,OH,2,Ashtabula Co. ARC,18,3,C,0,393,327,720,370,NA
K8DA,NA,64,1D,MI,2,NA,1,1,C,0,0,7,7,50,NA
K8DAC,NA,2276,5A,MI,2,Saginaw Valley ARA,6,5,G,207,66,67,340,1050,NA
K8DF,WV8HC,6898,3A,WV,2,Central WV Wireless Assn.,25,3,G,0,97,2570,2667,1370,Y
K8DSS,NA,938,1D,MI,2,Dial Radio Club of Middletown,1,1,C,222,0,0,222,50,NA
K8EC,NA,342,1D,OH,2,NA,1,1,C,1,32,80,113,50,NA
K8EEN,NA,4380,4A,OH,2,Mt. Vernon (OH) ARC,10,4,G,542,257,267,1066,650,NA
K8EG,NA,1920,1B1B,OH,5,NA,1,1,B,167,0,0,167,250,NA
K8EMA,NA,2742,4F,OH,2,Shelby Co. (OH) ARES,17,4,C,73,250,250,573,950,NA
K8EP,NA,1118,2A,WV,2,Eastern Panhandle ARC,5,2,G,1,10,212,223,650,NA
K8EPV,NA,1678,2A,MI,2,Eastern MI ARC,16,2,G,160,0,94,254,850,NA
K8ER,NA,4010,1B1,MI,2,NA,1,1,G,940,0,0,940,250,NA
K8ES,W8JK,8124,4F,OH,2,Delaware ARA,25,4,G,1057,312,599,1968,1450,NA
K8ESQ,NA,472,1B2,MI,2,The FPL Grp.,2,1,G,0,0,101,101,270,NA
K8FAY,NA,1062,2F,OH,2,Fayette ARA,2,2,C,0,133,190,323,150,NA
K8GC,NA,1278,3A,MI,2,Garden City ARC,32,3,G,1,0,112,113,1050,NA
K8GE,NA,976,4A,OH,2,DeForest ARC,17,4,G,0,7,39,46,870,NA
K8GQB,K8BXT,1582,3A,OH,2,Lisbon Area ARA,15,3,G,48,55,140,243,890,NA
K8GT,NA,702,1D,MI,2,Hazel Park ARC,1,1,C,163,0,0,163,50,NA
K8HEF,NA,518,1E,OH,2,Mound ARA,1,1,G,0,81,22,103,150,NA
K8HF,NA,1558,1D,OH,2,Intercity ARC,1,1,C,0,377,0,377,50,NA
K8IJ,NA,102,1D,KY,2,Kentucky Contest Grp.,1,1,C,0,13,0,13,50,NA
K8KRG,NA,2384,5A,OH,2,NOARS-LCARA,9,5,G,131,104,67,302,1310,NA
K8LGN,NA,1380,3AC,OH,2,Hocking Valley ARC,15,3,C,150,0,65,215,650,NA
K8LL,NA,668,1C,OH,2,Wood Co. ARC,1,1,G,0,0,9,9,650,NA
K8MA,NA,494,1D,OH,2,NA,1,1,C,111,0,0,111,50,NA
K8MH,NA,250,1B1,MI,2,NA,1,1,B,0,0,100,100,50,NA
K8MP,NA,230,1D,OH,2,Delaware ARA,1,1,C,45,0,0,45,50,NA
K8MR,NA,360,1D,OH,2,Mad River Radio Club,1,1,C,73,0,9,82,50,Y
K8NBD,NA,155,1E,LAX,5,Pasadena RC/JPLARC/CITARC,1,1,B,0,0,1,1,150,NA
K8NGW,NA,656,1D,MI,2,NA,1,1,C,40,66,41,147,150,NA
K8NOW,NA,720,3A,MI,2,Metropolitan ARC,4,3,G,0,20,95,115,450,NA
K8NQW,NA,4696,3A,OH,2,Not Quite Workable Contest Club,4,3,G,356,523,165,1044,850,NA
K8OIP,NA,670,1E,NM,5,NA,1,1,B,48,0,8,56,150,NA
K8PA,NA,1566,4A,MI,2,Thunder Bay ARC,40,4,G,0,78,192,270,870,NA
K8PI,W8BLV,6308,3A,OH,2,Dial Radio Club of Middletown,22,3,G,796,342,213,1351,1330,NA
K8RAR,NA,114,1D,SFL,2,NA,1,1,C,0,0,32,32,50,NA
K8RSO,NA,2132,2A,OH,2,Radio Soc. Of OH,6,2,G,0,378,85,463,450,NA
K8RXB,NA,1780,1AB,MI,5,NA,4,1,B,143,0,0,143,350,NA
K8RYU,NA,4382,1B1,OH,2,NA,1,1,G,887,0,242,1129,350,NA
K8SCH,KE8PEQ,10270,3A,OH,2,OH-KY-IN ARS,30,3,G,953,552,1300,2805,1650,NA
K8SIX,NA,1046,1D,MI,2,Oakland Co. ARS,1,1,C,0,249,0,249,50,NA
K8SJC,NA,586,3A,MI,2,St. Joseph Co. (MI) ARC,4,3,B,0,0,118,118,350,NA
K8SJM,NA,150,1D,OH,2,Bellbrook ARC,1,1,C,0,0,50,50,50,NA
K8TIH,NA,1070,3A,OH,2,Wood Co. ARC,7,3,G,0,76,88,164,590,NA
K8TKA,NA,502,1B1,OH,2,20/9 Radio Club,1,1,B,0,0,26,26,450,NA
K8TR,NA,1818,2B2,EB,2,East Bay BBQ'ers,2,2,G,118,87,199,404,600,NA
K8UHL,NA,254,1E,KY,2,NA,1,1,B,0,0,52,52,150,NA
K8UNS,NA,9912,4A,MI,2,Livonia ARC,57,4,G,813,538,1609,2960,1290,NA
K8UO,NA,1630,5A,MI,2,Utica Shelby EmComm Assn.,18,5,G,157,0,226,383,550,NA
K8UT,NA,390,1D,MI,2,South Lyon Area ARC,1,1,C,85,0,0,85,50,NA
K8UU,NA,4076,3AC,OH,2,Drake ARC,12,3,C,0,548,707,1255,470,NA
K8VNQ,NA,1078,2AC,WV,2,Mountain State Transmitters,6,2,C,12,55,180,247,450,NA
K8VT,NA,854,1D,MI,2,South Lyon Area ARC,1,1,C,201,0,0,201,50,NA
K8VUS,NA,830,1AC,OH,2,Crooked River Contest Club,3,1,C,169,0,2,171,150,NA
K8WSR,NA,212,1B1C,MI,2,NA,1,1,C,0,0,81,81,50,Y
K8WZY,NA,102,1D,OH,2,NA,1,1,C,0,0,26,26,50,NA
K8YE,NA,1496,1B1,MI,2,Barry ARA,1,1,G,0,303,17,320,250,NA
K8YQ,NA,170,1D,OH,2,NA,1,1,C,0,16,28,44,50,NA
K8YR,NA,206,2F,OH,2,Preble ARA,10,2,C,20,0,38,58,50,NA
K8YYY,NA,1014,1D,WV,2,Mountaineer ARA,1,1,C,0,241,0,241,50,NA
K9ACM,NA,534,1B1,MI,2,Hamfesters Radio Club,1,1,G,92,0,8,100,150,NA
K9BY,NA,5558,3A,WI,2,Greater Beloit ARC,17,3,G,596,428,276,1300,910,NA
K9CPO,NA,842,1E,WI,2,NA,1,1,G,173,0,0,173,150,NA
K9CU,NA,2306,2AC,IL,2,Twin City ARC,12,2,C,448,0,82,530,350,NA
K9CW,NA,518,1D,IL,2,Twin City ARC,1,1,C,0,117,0,117,50,NA
K9DH,NA,546,1D,MI,2,Lowell ARC,1,1,C,24,100,0,124,50,NA
K9DIY,W9YW,1886,3A,IN,2,Bloomington ARC,20,3,G,175,0,108,283,970,NA
K9DJT,NA,1528,2B2,WI,2,NA,2,2,G,261,0,117,378,250,NA
K9DUR,NA,352,1D,IN,2,Wabash Valley ARA,1,1,C,38,6,13,57,150,NA
K9EAM,NA,2160,4A,WI,2,Green Bay Mike & Key Club,35,4,G,87,56,169,312,1250,NA
K9EEH,NA,850,1D,IL,2,NA,1,1,C,0,200,0,200,50,NA
K9EGS,NA,386,1B1,IL,2,Tri-Town Radio Amateur Club,1,1,B,0,34,0,34,250,NA
K9ELF,NA,60,1B1,IN,2,Lafayette DX Assn.,1,1,B,0,1,3,4,50,NA
K9ESV,NA,4002,2F,IL,2,McHenry Co. RACES/ARES,10,2,G,794,0,38,832,750,NA
K9GLM,NA,644,1E,IL,2,Bolingbrook ARS,1,1,B,0,0,247,247,150,NA
K9GXU,NA,2860,4A,IL,2,St. Clair ARC,18,4,B,0,143,369,512,1550,NA
K9HAM,NA,718,2A,IL,2,Lewis and Clark Radio Club,25,2,B,0,0,44,44,630,NA
K9HD,NA,760,2A,IN,2,Land of Lakes ARC,9,2,G,3,0,49,52,650,NA
K9ILS,NA,9718,3A,IL,2,Fulton Co. (IL) ARC,30,3,G,1735,224,406,2365,1070,NA
K9IMK,NA,194,1D,IL,2,NA,1,1,C,0,33,6,39,50,NA
K9IPO,NA,380,1B1B,NLI,5,NA,1,1,B,0,0,26,26,250,NA
K9IQP,W9QL,3660,2F,IL,2,Lake Co. RACES/ARES,20,2,C,106,0,1093,1199,1050,NA
K9IU,NA,3496,3A,IN,2,Indiana Univ. ARC,20,3,G,359,41,523,923,850,NA
K9IXS,NA,230,1D,LAX,2,South Pasadena ARC,1,1,C,45,0,0,45,50,NA
K9IZ,NA,1548,1A,IN,2,Iguana Air Corps Contest Club,3,1,G,348,0,3,351,150,NA
K9JAU,NA,84,1D,IL,2,Wheaton Community Radio Amateurs,1,1,C,0,0,17,17,50,NA
K9JFL,NA,94,1D,WI,2,Four Lakes ARC,1,1,C,0,11,0,11,50,NA
K9JX,NA,1376,4A,IL,2,Jacksonville ARS,10,4,B,70,4,15,89,1050,NA
K9KE,NA,3692,1E,IL,2,NA,6,1,G,280,76,1009,1365,250,NA
K9KEU,NA,2170,1D,WI,2,Tri-County ARC (WI),1,1,C,418,87,0,505,150,NA
K9KIP,NA,264,1B1,SV,2,NA,1,1,B,0,0,7,7,250,NA
K9LDW,NA,176,1D,NTX,2,NA,1,1,C,0,0,63,63,50,NA
K9LGU,NA,2488,1D,WI,2,Tri-County ARC (WI),1,1,C,552,0,0,552,280,NA
K9LJN,NA,4490,1D,IL,2,NA,1,1,C,1110,0,0,1110,50,NA
K9MCE,K9M,1672,3A,IL,2,Macoupin Co. ARC,22,3,G,11,33,63,107,1370,NA
K9MEV,NA,250,1D,IL,2,Fox River Radio League,1,1,C,0,50,0,50,50,NA
K9MMS,NA,2386,1D,IL,2,Fox River Radio League,1,1,C,502,0,114,616,150,NA
K9NAX,NA,130,1D,IL,2,Bolingbrook ARS,1,1,C,0,20,0,20,50,NA
K9NBG,NA,370,1B1B,IL,5,NA,1,1,B,0,0,4,4,350,NA
